secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
ABIO,TQBR,1d,2023-01-30 00:00:00+00:00,82.8,96.6,78.14,91.58,27662060,2477900999.2,
ABIO,TQBR,1d,2023-01-31 00:00:00+00:00,91.72,104.44,91.72,97.0,25848410,2580561082.4,
ABIO,TQBR,1d,2023-02-01 00:00:00+00:00,98.84,99.96,91.0,91.5,3693290,347519654.4,
ABIO,TQBR,1d,2023-02-02 00:00:00+00:00,91.8,100.84,88.84,92.56,7665050,737579103.0,
ABIO,TQBR,1d,2023-02-03 00:00:00+00:00,93.84,99.12,92.2,92.78,4752110,457303306.8,
ABIO,TQBR,1d,2023-02-06 00:00:00+00:00,93.96,98.3,93.22,95.5,3446810,331633132.0,
ABIO,TQBR,1d,2023-02-07 00:00:00+00:00,95.5,96.36,93.4,94.58,1219910,115585763.8,
ABIO,TQBR,1d,2023-02-08 00:00:00+00:00,95.4,95.98,91.5,93.84,1188900,111493625.6,
ABIO,TQBR,1d,2023-02-09 00:00:00+00:00,94.1,95.4,90.6,92.16,1167750,108349860.8,
ABIO,TQBR,1d,2023-02-10 00:00:00+00:00,93.0,94.1,91.5,91.5,838080,77554306.2,
