secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
ABIO,TQBR,1h,2023-01-03 09:00:00+00:00,62.06,62.06,62.06,62.06,70,4344.200000000001,
ABIO,TQBR,1h,2023-01-03 10:00:00+00:00,62.58,62.8,61.12,62.72,56070,3485205.2000000007,
ABIO,TQBR,1h,2023-01-03 11:00:00+00:00,62.72,63.0,62.7,63.0,16530,1038792.2,
ABIO,TQBR,1h,2023-01-03 12:00:00+00:00,63.0,64.32,63.0,63.62,124250,7923277.800000002,
ABIO,TQBR,1h,2023-01-03 13:00:00+00:00,63.7,63.76,63.0,63.36,14290,904769.8,
ABIO,TQBR,1h,2023-01-03 14:00:00+00:00,63.36,63.48,62.22,62.92,36560,2295445.1999999997,
ABIO,TQBR,1h,2023-01-03 15:00:00+00:00,62.98,63.62,62.92,63.08,12970,820885.6000000001,
ABIO,TQBR,1h,2023-01-03 16:00:00+00:00,63.28,63.3,62.86,62.94,11220,707774.2,
ABIO,TQBR,1h,2023-01-03 17:00:00+00:00,63.14,63.28,62.62,62.86,14580,917810.4,
ABIO,TQBR,1h,2023-01-03 18:00:00+00:00,63.06,63.14,62.78,62.8,7640,480534.39999999997,
ABIO,TQBR,1h,2023-01-04 09:00:00+00:00,62.84,62.84,62.84,62.84,10,628.4,
ABIO,TQBR,1h,2023-01-04 10:00:00+00:00,62.84,63.5,62.16,62.72,57680,3620322.999999999,
ABIO,TQBR,1h,2023-01-04 11:00:00+00:00,62.8,62.98,62.58,62.8,16470,1034132.2000000002,
ABIO,TQBR,1h,2023-01-04 12:00:00+00:00,62.88,63.36,62.8,62.8,35060,2209532.1999999997,
ABIO,TQBR,1h,2023-01-04 13:00:00+00:00,62.92,63.12,62.88,63.12,6810,429502.59999999986,
ABIO,TQBR,1h,2023-01-04 14:00:00+00:00,63.08,63.2,62.62,62.84,9930,623926.2000000002,
ABIO,TQBR,1h,2023-01-04 15:00:00+00:00,62.84,62.98,62.7,62.9,10930,687104.4000000001,
ABIO,TQBR,1h,2023-01-04 16:00:00+00:00,62.9,63.0,62.72,62.72,6590,413876.0,
ABIO,TQBR,1h,2023-01-04 17:00:00+00:00,62.78,62.8,62.62,62.8,5180,324709.3999999999,
ABIO,TQBR,1h,2023-01-04 18:00:00+00:00,62.78,62.9,62.7,62.86,10950,687888.0,
ABIO,TQBR,1h,2023-01-05 09:00:00+00:00,63.26,63.26,63.26,63.26,1000,63260.0,
ABIO,TQBR,1h,2023-01-05 10:00:00+00:00,63.24,63.26,62.6,62.88,28190,1774042.8,
ABIO,TQBR,1h,2023-01-05 11:00:00+00:00,62.9,63.06,62.7,62.8,12990,816435.2000000002,
ABIO,TQBR,1h,2023-01-05 12:00:00+00:00,62.8,63.0,62.72,62.8,7460,468940.5999999999,
ABIO,TQBR,1h,2023-01-05 13:00:00+00:00,62.94,63.1,62.78,63.1,6800,428044.0,
ABIO,TQBR,1h,2023-01-05 14:00:00+00:00,62.98,63.1,62.76,63.02,12670,797740.6000000001,
ABIO,TQBR,1h,2023-01-05 15:00:00+00:00,62.88,63.0,62.82,62.98,3710,233369.4,
ABIO,TQBR,1h,2023-01-05 16:00:00+00:00,62.98,62.98,62.84,62.96,3430,215825.80000000002,
ABIO,TQBR,1h,2023-01-05 17:00:00+00:00,62.88,62.96,62.74,62.74,10770,676567.6000000001,
