secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
ABIO,TQBR,1m,2023-02-27 09:59:00+00:00,89.0,89.0,89.0,89.0,1510,134390.0,
ABIO,TQBR,1m,2023-02-27 10:00:00+00:00,88.88,89.0,88.58,88.6,3500,310484.2,
ABIO,TQBR,1m,2023-02-27 10:01:00+00:00,88.6,88.6,85.06,86.66,65380,5665591.199999996,
ABIO,TQBR,1m,2023-02-27 10:02:00+00:00,86.32,87.46,86.3,87.2,17210,1495731.7999999993,
ABIO,TQBR,1m,2023-02-27 10:03:00+00:00,87.3,87.32,87.02,87.32,5230,455990.60000000003,
ABIO,TQBR,1m,2023-02-27 10:04:00+00:00,87.3,87.76,87.3,87.52,11810,1033304.8,
ABIO,TQBR,1m,2023-02-27 10:05:00+00:00,87.64,87.64,87.3,87.42,9450,826568.8,
ABIO,TQBR,1m,2023-02-27 10:06:00+00:00,87.3,87.48,87.3,87.48,1890,165161.0,
ABIO,TQBR,1m,2023-02-27 10:07:00+00:00,87.5,87.7,87.5,87.6,930,81515.40000000001,
ABIO,TQBR,1m,2023-02-27 10:08:00+00:00,87.54,87.7,87.52,87.56,2770,242540.4,
ABIO,TQBR,1m,2023-02-27 10:09:00+00:00,87.64,87.64,87.5,87.5,2650,231948.8,
ABIO,TQBR,1m,2023-02-27 10:10:00+00:00,87.5,87.5,87.28,87.28,9970,871159.2000000002,
ABIO,TQBR,1m,2023-02-27 10:11:00+00:00,87.3,87.44,87.3,87.42,1670,145940.40000000002,
ABIO,TQBR,1m,2023-02-27 10:12:00+00:00,87.46,87.54,87.42,87.54,760,66494.2,
ABIO,TQBR,1m,2023-02-27 10:13:00+00:00,87.54,87.54,87.44,87.5,1480,129512.40000000001,
ABIO,TQBR,1m,2023-02-27 10:14:00+00:00,87.52,87.74,87.5,87.74,7120,623644.0000000001,
ABIO,TQBR,1m,2023-02-27 10:15:00+00:00,87.76,87.94,87.58,87.74,5860,514312.6,
ABIO,TQBR,1m,2023-02-27 10:16:00+00:00,87.66,87.74,87.64,87.72,2640,231434.0,
ABIO,TQBR,1m,2023-02-27 10:17:00+00:00,87.72,87.74,87.68,87.68,180,15785.8,
ABIO,TQBR,1m,2023-02-27 10:18:00+00:00,87.68,87.76,87.68,87.76,500,43867.399999999994,
ABIO,TQBR,1m,2023-02-27 10:19:00+00:00,87.78,87.8,87.76,87.8,2680,235291.6,
ABIO,TQBR,1m,2023-02-27 10:20:00+00:00,87.8,87.88,87.8,87.84,6510,571907.2000000001,
ABIO,TQBR,1m,2023-02-27 10:21:00+00:00,87.84,87.98,87.84,87.98,5380,473017.19999999995,
ABIO,TQBR,1m,2023-02-27 10:22:00+00:00,87.98,88.16,87.96,88.0,5340,470272.5999999999,
ABIO,TQBR,1m,2023-02-27 10:23:00+00:00,88.14,88.5,88.14,88.44,7000,618537.8,
ABIO,TQBR,1m,2023-02-27 10:24:00+00:00,88.34,88.44,88.34,88.44,1190,105236.8,
ABIO,TQBR,1m,2023-02-27 10:25:00+00:00,88.38,88.44,88.28,88.44,1470,129935.79999999999,
ABIO,TQBR,1m,2023-02-27 10:26:00+00:00,88.28,88.36,88.14,88.3,2670,235486.80000000002,
ABIO,TQBR,1m,2023-02-27 10:27:00+00:00,88.22,88.34,88.14,88.2,1560,137564.6,
ABIO,TQBR,1m,2023-02-27 10:28:00+00:00,88.22,88.3,88.22,88.3,240,21175.2,
ABIO,TQBR,1m,2023-02-27 10:29:00+00:00,88.3,88.66,88.24,88.3,5270,466338.19999999995,
ABIO,TQBR,1m,2023-02-27 10:30:00+00:00,88.64,88.64,88.6,88.6,50,4431.6,
ABIO,TQBR,1m,2023-02-27 10:31:00+00:00,88.6,88.64,88.6,88.6,730,64678.4,
ABIO,TQBR,1m,2023-02-27 10:32:00+00:00,88.5,88.64,88.4,88.58,1270,112475.2,
ABIO,TQBR,1m,2023-02-27 10:33:00+00:00,88.56,88.56,88.56,88.56,1370,121327.2,
ABIO,TQBR,1m,2023-02-27 10:34:00+00:00,88.58,88.58,88.58,88.58,510,45175.8,
ABIO,TQBR,1m,2023-02-27 10:35:00+00:00,88.56,88.56,88.56,88.56,250,22140.0,
ABIO,TQBR,1m,2023-02-27 10:37:00+00:00,88.52,88.52,88.52,88.52,10,885.2,
ABIO,TQBR,1m,2023-02-27 10:38:00+00:00,88.46,88.52,88.46,88.5,980,86733.8,
ABIO,TQBR,1m,2023-02-27 10:39:00+00:00,88.5,88.5,88.5,88.5,60,5310.0,
ABIO,TQBR,1m,2023-02-27 10:40:00+00:00,88.5,88.5,88.4,88.46,280,24767.2,
ABIO,TQBR,1m,2023-02-27 10:41:00+00:00,88.5,88.5,88.46,88.46,960,84950.6,
ABIO,TQBR,1m,2023-02-27 10:42:00+00:00,88.46,88.46,88.38,88.4,1160,102595.8,
ABIO,TQBR,1m,2023-02-27 10:43:00+00:00,88.4,88.4,88.26,88.26,1590,140480.6,
ABIO,TQBR,1m,2023-02-27 10:44:00+00:00,88.36,88.36,88.36,88.36,10,883.6,
ABIO,TQBR,1m,2023-02-27 10:45:00+00:00,88.3,88.34,88.3,88.34,150,13248.0,
ABIO,TQBR,1m,2023-02-27 10:46:00+00:00,88.3,88.4,88.3,88.4,530,46822.0,
ABIO,TQBR,1m,2023-02-27 10:47:00+00:00,88.4,88.44,88.4,88.44,390,34488.0,
