secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
ABRD,TQBR,1d,2023-01-30 00:00:00+00:00,196.0,198.0,196.0,197.0,24990,4924200,
ABRD,TQBR,1d,2023-01-31 00:00:00+00:00,197.5,204.0,197.0,201.0,233940,46738140,
ABRD,TQBR,1d,2023-02-01 00:00:00+00:00,201.5,219.0,198.5,199.5,1356910,283245300,
ABRD,TQBR,1d,2023-02-02 00:00:00+00:00,200.5,205.5,200.0,202.0,341110,69522755,
ABRD,TQBR,1d,2023-02-03 00:00:00+00:00,204.0,204.0,199.5,201.5,159710,32143525,
ABRD,TQBR,1d,2023-02-06 00:00:00+00:00,201.5,207.0,201.0,205.5,406320,83379630,
ABRD,TQBR,1d,2023-02-07 00:00:00+00:00,206.5,207.0,203.0,204.0,158880,32543500,
ABRD,TQBR,1d,2023-02-08 00:00:00+00:00,205.0,205.5,200.0,203.0,266580,54240545,
ABRD,TQBR,1d,2023-02-09 00:00:00+00:00,203.0,212.0,201.0,206.0,1070520,222576835,
ABRD,TQBR,1d,2023-02-10 00:00:00+00:00,207.5,213.0,202.0,204.5,882210,183448150,
