secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
ABRD,TQBR,1h,2023-03-13 09:00:00+00:00,208.0,208.0,208.0,208.0,2100,436800,
ABRD,TQBR,1h,2023-03-13 10:00:00+00:00,208.0,211.0,207.0,207.5,119170,24871215,
ABRD,TQBR,1h,2023-03-13 11:00:00+00:00,208.0,208.0,207.0,208.0,20490,4257610,
ABRD,TQBR,1h,2023-03-13 12:00:00+00:00,207.5,208.0,207.0,207.5,14410,2992675,
ABRD,TQBR,1h,2023-03-13 13:00:00+00:00,208.0,208.0,207.5,208.0,4540,943195,
ABRD,TQBR,1h,2023-03-13 14:00:00+00:00,207.5,208.0,207.0,207.5,6910,1432915,
ABRD,TQBR,1h,2023-03-13 15:00:00+00:00,207.0,207.5,205.5,205.5,30110,6219590,
ABRD,TQBR,1h,2023-03-13 16:00:00+00:00,205.5,207.0,205.5,206.0,10140,2091805,
ABRD,TQBR,1h,2023-03-13 17:00:00+00:00,206.5,207.0,206.0,206.0,6400,1320550,
ABRD,TQBR,1h,2023-03-13 18:00:00+00:00,206.5,207.0,206.0,207.0,8190,1694275,
ABRD,TQBR,1h,2023-03-14 09:00:00+00:00,207.5,207.5,207.5,207.5,130,26975,
ABRD,TQBR,1h,2023-03-14 10:00:00+00:00,207.5,209.0,206.5,207.0,26770,5560955,
ABRD,TQBR,1h,2023-03-14 11:00:00+00:00,207.0,207.5,206.0,207.0,7190,1485950,
ABRD,TQBR,1h,2023-03-14 12:00:00+00:00,206.5,208.0,206.5,207.5,9720,2014755,
ABRD,TQBR,1h,2023-03-14 13:00:00+00:00,207.0,210.0,207.0,209.5,51660,10777335,
ABRD,TQBR,1h,2023-03-14 14:00:00+00:00,209.0,210.0,208.5,209.5,22190,4648390,
ABRD,TQBR,1h,2023-03-14 15:00:00+00:00,209.5,210.0,208.5,209.0,8190,1713645,
ABRD,TQBR,1h,2023-03-14 16:00:00+00:00,208.5,209.0,207.5,207.5,5960,1240700,
ABRD,TQBR,1h,2023-03-14 17:00:00+00:00,208.0,208.5,207.5,208.5,7120,1478375,
ABRD,TQBR,1h,2023-03-14 18:00:00+00:00,208.0,208.5,207.5,208.5,6410,1334195,
ABRD,TQBR,1h,2023-03-15 09:00:00+00:00,209.0,209.0,209.0,209.0,300,62700,
ABRD,TQBR,1h,2023-03-15 10:00:00+00:00,209.0,209.5,208.0,208.0,15900,3319785,
ABRD,TQBR,1h,2023-03-15 11:00:00+00:00,208.5,209.0,208.5,208.5,9180,1917220,
ABRD,TQBR,1h,2023-03-15 12:00:00+00:00,209.0,209.5,208.5,208.5,6320,1320125,
ABRD,TQBR,1h,2023-03-15 13:00:00+00:00,209.0,209.0,208.0,208.0,5900,1229480,
ABRD,TQBR,1h,2023-03-15 14:00:00+00:00,208.5,208.5,207.5,207.5,11900,2473500,
ABRD,TQBR,1h,2023-03-15 15:00:00+00:00,207.5,208.0,206.0,207.0,21100,4362485,
ABRD,TQBR,1h,2023-03-15 16:00:00+00:00,207.0,207.5,206.5,207.0,3730,772760,
ABRD,TQBR,1h,2023-03-15 17:00:00+00:00,207.0,207.5,205.5,206.5,13370,2758030,
ABRD,TQBR,1h,2023-03-15 18:00:00+00:00,206.0,206.5,205.5,205.5,10970,2257115,
ABRD,TQBR,1h,2023-03-16 09:00:00+00:00,207.0,207.0,207.0,207.0,110,22770,
ABRD,TQBR,1h,2023-03-16 10:00:00+00:00,206.0,207.0,205.5,206.5,14200,2931240,
ABRD,TQBR,1h,2023-03-16 11:00:00+00:00,206.5,207.0,206.0,206.0,5100,1052055,
ABRD,TQBR,1h,2023-03-16 12:00:00+00:00,206.0,207.0,205.5,207.0,5510,1134850,
