secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
ABRD,TQBR,1m,2023-03-27 09:59:00+00:00,207.0,207.0,207.0,207.0,1310,271170,
ABRD,TQBR,1m,2023-03-27 10:01:00+00:00,206.5,206.5,206.0,206.0,3680,758845,
ABRD,TQBR,1m,2023-03-27 10:02:00+00:00,206.0,206.5,205.5,206.5,1720,354360,
ABRD,TQBR,1m,2023-03-27 10:03:00+00:00,206.5,206.5,206.5,206.5,570,117705,
ABRD,TQBR,1m,2023-03-27 10:04:00+00:00,207.0,207.0,207.0,207.0,470,97290,
ABRD,TQBR,1m,2023-03-27 10:06:00+00:00,207.0,207.0,207.0,207.0,1210,250470,
ABRD,TQBR,1m,2023-03-27 10:07:00+00:00,207.0,207.0,207.0,207.0,100,20700,
ABRD,TQBR,1m,2023-03-27 10:08:00+00:00,206.5,206.5,206.5,206.5,10,2065,
ABRD,TQBR,1m,2023-03-27 10:09:00+00:00,207.0,207.0,207.0,207.0,50,10350,
ABRD,TQBR,1m,2023-03-27 10:10:00+00:00,207.0,207.0,206.5,206.5,590,121910,
ABRD,TQBR,1m,2023-03-27 10:12:00+00:00,207.0,207.0,207.0,207.0,10,2070,
ABRD,TQBR,1m,2023-03-27 10:13:00+00:00,207.0,207.0,207.0,207.0,10,2070,
ABRD,TQBR,1m,2023-03-27 10:14:00+00:00,207.0,207.0,206.5,207.0,650,134545,
ABRD,TQBR,1m,2023-03-27 10:15:00+00:00,207.0,207.0,206.5,206.5,430,88800,
ABRD,TQBR,1m,2023-03-27 10:16:00+00:00,207.0,207.0,207.0,207.0,10,2070,
ABRD,TQBR,1m,2023-03-27 10:17:00+00:00,207.0,207.0,207.0,207.0,140,28980,
ABRD,TQBR,1m,2023-03-27 10:18:00+00:00,207.0,207.0,206.5,207.0,120,24830,
ABRD,TQBR,1m,2023-03-27 10:19:00+00:00,206.5,207.0,206.5,207.0,40,8270,
ABRD,TQBR,1m,2023-03-27 10:20:00+00:00,206.5,207.0,206.5,207.0,1740,360045,
ABRD,TQBR,1m,2023-03-27 10:22:00+00:00,206.5,206.5,206.5,206.5,10,2065,
ABRD,TQBR,1m,2023-03-27 10:25:00+00:00,206.5,207.0,206.5,207.0,300,62060,
ABRD,TQBR,1m,2023-03-27 10:26:00+00:00,207.0,207.0,207.0,207.0,30,6210,
ABRD,TQBR,1m,2023-03-27 10:28:00+00:00,207.0,207.0,207.0,207.0,290,60030,
ABRD,TQBR,1m,2023-03-27 10:29:00+00:00,206.5,206.5,206.5,206.5,40,8260,
ABRD,TQBR,1m,2023-03-27 10:30:00+00:00,207.0,207.0,206.5,206.5,50,10335,
ABRD,TQBR,1m,2023-03-27 10:31:00+00:00,207.0,207.0,207.0,207.0,240,49680,
ABRD,TQBR,1m,2023-03-27 10:32:00+00:00,207.0,207.0,206.5,206.5,420,86735,
ABRD,TQBR,1m,2023-03-27 10:33:00+00:00,206.5,206.5,206.5,206.5,10,2065,
ABRD,TQBR,1m,2023-03-27 10:34:00+00:00,206.5,207.0,206.5,207.0,480,99170,
ABRD,TQBR,1m,2023-03-27 10:35:00+00:00,206.5,206.5,206.5,206.5,50,10325,
ABRD,TQBR,1m,2023-03-27 10:36:00+00:00,207.0,207.0,207.0,207.0,160,33120,
ABRD,TQBR,1m,2023-03-27 10:37:00+00:00,206.5,207.0,206.5,207.0,30,6200,
ABRD,TQBR,1m,2023-03-27 10:38:00+00:00,206.5,207.0,206.5,207.0,640,132470,
ABRD,TQBR,1m,2023-03-27 10:39:00+00:00,206.5,206.5,206.5,206.5,470,97055,
ABRD,TQBR,1m,2023-03-27 10:40:00+00:00,207.0,207.0,206.5,206.5,1070,220990,
ABRD,TQBR,1m,2023-03-27 10:41:00+00:00,207.0,207.0,207.0,207.0,120,24840,
ABRD,TQBR,1m,2023-03-27 10:44:00+00:00,207.0,207.0,207.0,207.0,60,12420,
ABRD,TQBR,1m,2023-03-27 10:46:00+00:00,207.0,207.0,207.0,207.0,10,2070,
ABRD,TQBR,1m,2023-03-27 10:47:00+00:00,207.0,207.0,206.5,207.0,100,20695,
ABRD,TQBR,1m,2023-03-27 10:48:00+00:00,207.0,207.0,207.0,207.0,510,105570,
ABRD,TQBR,1m,2023-03-27 10:49:00+00:00,206.5,206.5,206.5,206.5,100,20650,
ABRD,TQBR,1m,2023-03-27 10:50:00+00:00,207.0,207.0,206.5,206.5,180,37240,
ABRD,TQBR,1m,2023-03-27 10:51:00+00:00,206.5,207.0,206.5,207.0,2350,486345,
ABRD,TQBR,1m,2023-03-27 10:52:00+00:00,207.0,207.0,207.0,207.0,220,45540,
ABRD,TQBR,1m,2023-03-27 10:53:00+00:00,207.0,207.0,207.0,207.0,260,53820,
ABRD,TQBR,1m,2023-03-27 10:54:00+00:00,207.0,207.0,206.5,207.0,620,128115,
ABRD,TQBR,1m,2023-03-27 10:55:00+00:00,207.0,207.0,206.5,206.5,1330,274660,
ABRD,TQBR,1m,2023-03-27 10:56:00+00:00,207.0,207.0,207.0,207.0,510,105570,
ABRD,TQBR,1m,2023-03-27 10:57:00+00:00,207.0,207.0,207.0,207.0,1220,252540,
ABRD,TQBR,1m,2023-03-27 10:59:00+00:00,207.0,207.0,207.0,207.0,300,62100,
ABRD,TQBR,1m,2023-03-27 11:00:00+00:00,206.5,207.0,206.5,207.0,350,72300,
ABRD,TQBR,1m,2023-03-27 11:01:00+00:00,207.0,207.0,207.0,207.0,20,4140,
ABRD,TQBR,1m,2023-03-27 11:02:00+00:00,207.0,207.0,207.0,207.0,320,66240,
ABRD,TQBR,1m,2023-03-27 11:03:00+00:00,207.0,207.0,206.5,206.5,30,6205,
ABRD,TQBR,1m,2023-03-27 11:04:00+00:00,207.0,207.0,207.0,207.0,80,16560,
ABRD,TQBR,1m,2023-03-27 11:05:00+00:00,207.0,207.0,207.0,207.0,500,103500,
ABRD,TQBR,1m,2023-03-27 11:07:00+00:00,207.0,207.0,207.0,207.0,20,4140,
ABRD,TQBR,1m,2023-03-27 11:08:00+00:00,206.5,207.0,206.5,206.5,4030,834060,
ABRD,TQBR,1m,2023-03-27 11:10:00+00:00,207.5,207.5,207.0,207.0,160,33145,
ABRD,TQBR,1m,2023-03-27 11:12:00+00:00,207.0,207.0,207.0,207.0,30,6210,
ABRD,TQBR,1m,2023-03-27 11:13:00+00:00,207.5,207.5,207.5,207.5,530,109975,
ABRD,TQBR,1m,2023-03-27 11:14:00+00:00,207.0,207.5,207.0,207.5,70,14495,
ABRD,TQBR,1m,2023-03-27 11:15:00+00:00,207.5,207.5,207.5,207.5,250,51875,
ABRD,TQBR,1m,2023-03-27 11:16:00+00:00,207.5,207.5,207.0,207.0,20,4145,
ABRD,TQBR,1m,2023-03-27 11:17:00+00:00,207.5,207.5,207.5,207.5,10,2075,
ABRD,TQBR,1m,2023-03-27 11:18:00+00:00,207.5,207.5,207.5,207.5,1110,230325,
ABRD,TQBR,1m,2023-03-27 11:19:00+00:00,207.5,207.5,207.5,207.5,330,68475,
ABRD,TQBR,1m,2023-03-27 11:20:00+00:00,208.0,208.0,208.0,208.0,250,52000,
ABRD,TQBR,1m,2023-03-27 11:21:00+00:00,208.0,208.0,208.0,208.0,10,2080,
ABRD,TQBR,1m,2023-03-27 11:22:00+00:00,207.5,208.0,207.5,208.0,20,4155,
ABRD,TQBR,1m,2023-03-27 11:23:00+00:00,208.0,208.0,207.5,207.5,330,68635,
ABRD,TQBR,1m,2023-03-27 11:24:00+00:00,208.0,208.0,208.0,208.0,80,16640,
ABRD,TQBR,1m,2023-03-27 11:25:00+00:00,208.0,208.0,207.5,208.0,380,79035,
ABRD,TQBR,1m,2023-03-27 11:26:00+00:00,208.0,208.0,208.0,208.0,220,45760,
ABRD,TQBR,1m,2023-03-27 11:27:00+00:00,207.5,207.5,207.5,207.5,360,74700,
ABRD,TQBR,1m,2023-03-27 11:28:00+00:00,208.0,208.0,207.5,208.0,3540,736300,
ABRD,TQBR,1m,2023-03-27 11:29:00+00:00,207.5,207.5,207.5,207.5,200,41500,
ABRD,TQBR,1m,2023-03-27 11:30:00+00:00,208.0,208.0,208.0,208.0,30,6240,
ABRD,TQBR,1m,2023-03-27 11:31:00+00:00,207.5,207.5,207.5,207.5,500,103750,
ABRD,TQBR,1m,2023-03-27 11:32:00+00:00,208.0,208.0,208.0,208.0,110,22880,
ABRD,TQBR,1m,2023-03-27 11:34:00+00:00,208.0,208.0,208.0,208.0,10,2080,
ABRD,TQBR,1m,2023-03-27 11:35:00+00:00,207.5,207.5,207.5,207.5,20,4150,
ABRD,TQBR,1m,2023-03-27 11:37:00+00:00,207.5,207.5,207.5,207.5,30,6225,
ABRD,TQBR,1m,2023-03-27 11:38:00+00:00,207.5,207.5,207.5,207.5,10,2075,
ABRD,TQBR,1m,2023-03-27 11:39:00+00:00,208.0,208.0,208.0,208.0,1000,208000,
ABRD,TQBR,1m,2023-03-27 11:40:00+00:00,208.0,208.0,208.0,208.0,20,4160,
ABRD,TQBR,1m,2023-03-27 11:41:00+00:00,208.0,208.0,207.5,208.0,580,120625,
ABRD,TQBR,1m,2023-03-27 11:42:00+00:00,207.5,208.0,207.5,208.0,150,31150,
ABRD,TQBR,1m,2023-03-27 11:43:00+00:00,208.0,208.0,208.0,208.0,50,10400,
ABRD,TQBR,1m,2023-03-27 11:44:00+00:00,208.0,208.0,207.5,207.5,90,18685,
ABRD,TQBR,1m,2023-03-27 11:45:00+00:00,208.0,208.0,208.0,208.0,70,14560,
ABRD,TQBR,1m,2023-03-27 11:47:00+00:00,208.0,208.0,207.5,207.5,130,26990,
ABRD,TQBR,1m,2023-03-27 11:48:00+00:00,207.5,208.0,207.5,208.0,510,105830,
ABRD,TQBR,1m,2023-03-27 11:51:00+00:00,208.0,208.0,207.5,207.5,510,106075,
ABRD,TQBR,1m,2023-03-27 11:52:00+00:00,207.5,207.5,207.5,207.5,160,33200,
ABRD,TQBR,1m,2023-03-27 11:54:00+00:00,208.0,208.0,207.5,208.0,130,27025,
ABRD,TQBR,1m,2023-03-27 11:55:00+00:00,208.0,208.0,208.0,208.0,120,24960,
ABRD,TQBR,1m,2023-03-27 11:56:00+00:00,208.0,208.0,207.5,207.5,1550,321660,
ABRD,TQBR,1m,2023-03-27 11:57:00+00:00,207.5,207.5,207.5,207.5,10,2075,
ABRD,TQBR,1m,2023-03-27 11:58:00+00:00,208.0,208.0,207.5,207.5,120,24950,
ABRD,TQBR,1m,2023-03-27 11:59:00+00:00,207.5,207.5,207.5,207.5,10,2075,
ABRD,TQBR,1m,2023-03-27 12:00:00+00:00,207.5,207.5,207.5,207.5,10,2075,
ABRD,TQBR,1m,2023-03-27 12:01:00+00:00,207.5,208.0,207.0,208.0,450,93280,
ABRD,TQBR,1m,2023-03-27 12:02:00+00:00,207.5,207.5,207.0,207.0,2700,558915,
ABRD,TQBR,1m,2023-03-27 12:03:00+00:00,207.5,207.5,207.5,207.5,10,2075,
ABRD,TQBR,1m,2023-03-27 12:04:00+00:00,207.5,207.5,207.5,207.5,10,2075,
ABRD,TQBR,1m,2023-03-27 12:05:00+00:00,207.5,207.5,207.5,207.5,80,16600,
ABRD,TQBR,1m,2023-03-27 12:06:00+00:00,207.5,207.5,207.5,207.5,180,37350,
ABRD,TQBR,1m,2023-03-27 12:07:00+00:00,207.5,207.5,207.5,207.5,150,31125,
ABRD,TQBR,1m,2023-03-27 12:08:00+00:00,207.5,207.5,207.5,207.5,70,14525,
ABRD,TQBR,1m,2023-03-27 12:09:00+00:00,207.5,207.5,207.0,207.0,100,20705,
ABRD,TQBR,1m,2023-03-27 12:10:00+00:00,207.5,207.5,207.5,207.5,30,6225,
ABRD,TQBR,1m,2023-03-27 12:11:00+00:00,207.5,207.5,207.5,207.5,20,4150,
ABRD,TQBR,1m,2023-03-27 12:13:00+00:00,208.0,208.0,207.0,207.0,1250,259010,
ABRD,TQBR,1m,2023-03-27 12:15:00+00:00,207.5,207.5,207.5,207.5,20,4150,
ABRD,TQBR,1m,2023-03-27 12:16:00+00:00,207.5,207.5,207.5,207.5,10,2075,
ABRD,TQBR,1m,2023-03-27 12:18:00+00:00,208.0,208.0,207.5,207.5,20,4155,
ABRD,TQBR,1m,2023-03-27 12:19:00+00:00,208.0,208.0,207.5,207.5,1110,230530,
ABRD,TQBR,1m,2023-03-27 12:21:00+00:00,207.5,207.5,207.5,207.5,10,2075,
ABRD,TQBR,1m,2023-03-27 12:25:00+00:00,207.5,207.5,207.0,207.0,600,124305,
ABRD,TQBR,1m,2023-03-27 12:28:00+00:00,208.0,208.0,208.0,208.0,60,12480,
ABRD,TQBR,1m,2023-03-27 12:29:00+00:00,208.0,208.0,207.5,207.5,70,14555,
ABRD,TQBR,1m,2023-03-27 12:30:00+00:00,208.0,208.0,208.0,208.0,50,10400,
ABRD,TQBR,1m,2023-03-27 12:32:00+00:00,208.0,208.0,207.0,208.0,250,51855,
ABRD,TQBR,1m,2023-03-27 12:33:00+00:00,208.0,208.0,208.0,208.0,300,62400,
ABRD,TQBR,1m,2023-03-27 12:34:00+00:00,208.0,208.0,208.0,208.0,10,2080,
ABRD,TQBR,1m,2023-03-27 12:37:00+00:00,208.0,208.0,208.0,208.0,40,8320,
ABRD,TQBR,1m,2023-03-27 12:38:00+00:00,208.0,208.0,208.0,208.0,20,4160,
ABRD,TQBR,1m,2023-03-27 12:40:00+00:00,208.0,208.0,208.0,208.0,1370,284960,
ABRD,TQBR,1m,2023-03-27 12:42:00+00:00,208.0,208.0,208.0,208.0,10,2080,
ABRD,TQBR,1m,2023-03-27 12:43:00+00:00,208.0,208.0,207.5,207.5,20,4155,
ABRD,TQBR,1m,2023-03-27 12:44:00+00:00,207.5,207.5,207.0,207.0,660,136855,
ABRD,TQBR,1m,2023-03-27 12:47:00+00:00,207.5,207.5,207.5,207.5,10,2075,
ABRD,TQBR,1m,2023-03-27 12:49:00+00:00,207.5,207.5,207.0,207.0,180,37310,
ABRD,TQBR,1m,2023-03-27 12:50:00+00:00,207.0,207.5,207.0,207.5,20,4145,
ABRD,TQBR,1m,2023-03-27 12:52:00+00:00,207.5,207.5,207.5,207.5,100,20750,
ABRD,TQBR,1m,2023-03-27 12:53:00+00:00,207.5,207.5,207.5,207.5,10,2075,
ABRD,TQBR,1m,2023-03-27 12:54:00+00:00,207.5,207.5,207.5,207.5,10,2075,
ABRD,TQBR,1m,2023-03-27 12:57:00+00:00,207.5,207.5,207.5,207.5,20,4150,
ABRD,TQBR,1m,2023-03-27 12:58:00+00:00,207.5,207.5,207.5,207.5,10,2075,
ABRD,TQBR,1m,2023-03-27 13:00:00+00:00,207.0,207.0,207.0,207.0,10,2070,
