secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
AFKS,TQBR,1d,2023-01-30 00:00:00+00:00,12.415,12.484,12.353,12.425,13341400,165432103.6,
AFKS,TQBR,1d,2023-01-31 00:00:00+00:00,12.434,12.757,12.383,12.711,28798300,363263343.4,
AFKS,TQBR,1d,2023-02-01 00:00:00+00:00,12.747,12.936,12.458,12.736,35244500,450362841.8,
AFKS,TQBR,1d,2023-02-02 00:00:00+00:00,12.752,13.13,12.675,12.95,31792800,411728705.2,
AFKS,TQBR,1d,2023-02-03 00:00:00+00:00,12.949,13.113,12.817,13.068,21637000,279783880.6,
AFKS,TQBR,1d,2023-02-06 00:00:00+00:00,13.273,13.65,13.204,13.592,61826800,832916904.8,
AFKS,TQBR,1d,2023-02-07 00:00:00+00:00,13.64,13.975,13.542,13.625,35028200,480088654.3,
AFKS,TQBR,1d,2023-02-08 00:00:00+00:00,13.695,13.704,13.22,13.322,36830000,494687940.7,
AFKS,TQBR,1d,2023-02-09 00:00:00+00:00,13.42,13.499,13.103,13.364,24907600,331353775.9,
AFKS,TQBR,1d,2023-02-10 00:00:00+00:00,13.392,13.613,13.274,13.412,22825700,307497055.1,
