secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
AFKS,TQBR,1h,2023-03-13 09:00:00+00:00,13.276,13.276,13.276,13.276,17700,234985.2,
AFKS,TQBR,1h,2023-03-13 10:00:00+00:00,13.289,13.4,13.287,13.368,2180900,29122429.1,
AFKS,TQBR,1h,2023-03-13 11:00:00+00:00,13.369,13.371,13.33,13.346,598800,7995135.2,
AFKS,TQBR,1h,2023-03-13 12:00:00+00:00,13.346,13.347,13.3,13.324,1067000,14210970.099999998,
AFKS,TQBR,1h,2023-03-13 13:00:00+00:00,13.328,13.353,13.28,13.336,1128900,15033377.8,
AFKS,TQBR,1h,2023-03-13 14:00:00+00:00,13.34,13.375,13.255,13.258,1179200,15688263.5,
AFKS,TQBR,1h,2023-03-13 15:00:00+00:00,13.257,13.258,13.143,13.147,3150300,41581220.0,
AFKS,TQBR,1h,2023-03-13 16:00:00+00:00,13.147,13.204,13.125,13.198,1404500,18479455.499999996,
AFKS,TQBR,1h,2023-03-13 17:00:00+00:00,13.2,13.206,13.16,13.206,569900,7512558.999999999,
AFKS,TQBR,1h,2023-03-13 18:00:00+00:00,13.206,13.35,13.205,13.35,3568700,47463616.3,
AFKS,TQBR,1h,2023-03-13 19:00:00+00:00,13.34,13.35,13.311,13.311,1481000,19736755.999999993,
AFKS,TQBR,1h,2023-03-13 20:00:00+00:00,13.312,13.319,13.285,13.3,443000,5892312.8999999985,
AFKS,TQBR,1h,2023-03-13 21:00:00+00:00,13.3,13.317,13.295,13.311,147600,1963579.9,
AFKS,TQBR,1h,2023-03-13 22:00:00+00:00,13.311,13.319,13.296,13.313,186300,2479381.1000000006,
AFKS,TQBR,1h,2023-03-13 23:00:00+00:00,13.318,13.324,13.305,13.317,254900,3394642.4,
AFKS,TQBR,1h,2023-03-14 09:00:00+00:00,13.317,13.317,13.317,13.317,11500,153145.5,
AFKS,TQBR,1h,2023-03-14 10:00:00+00:00,13.308,13.379,13.284,13.345,1698300,22663257.900000002,
AFKS,TQBR,1h,2023-03-14 11:00:00+00:00,13.346,13.351,13.278,13.298,1104500,14699749.5,
AFKS,TQBR,1h,2023-03-14 12:00:00+00:00,13.307,13.324,13.295,13.31,676100,8996645.400000002,
AFKS,TQBR,1h,2023-03-14 13:00:00+00:00,13.299,13.313,13.279,13.282,428600,5699057.3,
AFKS,TQBR,1h,2023-03-14 14:00:00+00:00,13.282,13.34,13.271,13.339,516100,6870554.899999999,
AFKS,TQBR,1h,2023-03-14 15:00:00+00:00,13.34,13.35,13.255,13.265,808200,10750162.200000001,
