secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
AFKS,TQBR,1m,2023-01-03 09:59:00+00:00,11.937,11.937,11.937,11.937,5500,65653.5,
AFKS,TQBR,1m,2023-01-03 10:00:00+00:00,11.946,11.985,11.937,11.974,94200,1127042.3,
AFKS,TQBR,1m,2023-01-03 10:01:00+00:00,11.946,12.023,11.943,11.996,117900,1414609.1000000003,
AFKS,TQBR,1m,2023-01-03 10:02:00+00:00,11.987,12.016,11.986,12.016,8700,104442.3,
AFKS,TQBR,1m,2023-01-03 10:03:00+00:00,12.014,12.014,11.989,12.003,66700,800827.6000000002,
AFKS,TQBR,1m,2023-01-03 10:04:00+00:00,11.994,11.994,11.994,11.994,100,1199.4,
AFKS,TQBR,1m,2023-01-03 10:05:00+00:00,12.0,12.001,12.0,12.001,400,4800.2,
AFKS,TQBR,1m,2023-01-03 10:06:00+00:00,12.001,12.001,11.99,11.99,9900,118807.8,
AFKS,TQBR,1m,2023-01-03 10:07:00+00:00,11.991,12.072,11.991,12.062,246100,2962547.9000000004,
AFKS,TQBR,1m,2023-01-03 10:08:00+00:00,12.062,12.062,12.037,12.05,80900,974607.6000000001,
AFKS,TQBR,1m,2023-01-03 10:09:00+00:00,12.046,12.046,12.012,12.015,38800,466558.5999999999,
AFKS,TQBR,1m,2023-01-03 10:10:00+00:00,12.035,12.045,12.031,12.045,42900,516484.69999999995,
AFKS,TQBR,1m,2023-01-03 10:11:00+00:00,12.04,12.048,12.04,12.046,11500,138531.4,
AFKS,TQBR,1m,2023-01-03 10:12:00+00:00,12.047,12.048,12.007,12.033,78500,943829.1,
AFKS,TQBR,1m,2023-01-03 10:13:00+00:00,12.02,12.02,11.997,11.997,25500,306027.0,
AFKS,TQBR,1m,2023-01-03 10:14:00+00:00,11.997,12.001,11.994,12.0,24900,298731.89999999997,
AFKS,TQBR,1m,2023-01-03 10:15:00+00:00,12.006,12.006,12.001,12.002,4300,51613.2,
AFKS,TQBR,1m,2023-01-03 10:16:00+00:00,12.002,12.006,12.002,12.006,3300,39608.2,
AFKS,TQBR,1m,2023-01-03 10:17:00+00:00,12.006,12.008,11.99,12.006,31700,380431.1,
AFKS,TQBR,1m,2023-01-03 10:18:00+00:00,12.006,12.008,12.0,12.007,15800,189625.6,
AFKS,TQBR,1m,2023-01-03 10:19:00+00:00,12.007,12.01,12.005,12.01,51700,620782.9000000001,
AFKS,TQBR,1m,2023-01-03 10:20:00+00:00,12.01,12.01,12.007,12.007,2700,32426.4,
AFKS,TQBR,1m,2023-01-03 10:21:00+00:00,12.007,12.01,12.007,12.01,1200,14409.6,
AFKS,TQBR,1m,2023-01-03 10:22:00+00:00,12.01,12.01,12.007,12.007,1300,15611.1,
AFKS,TQBR,1m,2023-01-03 10:23:00+00:00,12.008,12.01,12.0,12.01,12900,154862.30000000002,
AFKS,TQBR,1m,2023-01-03 10:24:00+00:00,12.003,12.01,12.0,12.001,6700,80406.3,
AFKS,TQBR,1m,2023-01-03 10:25:00+00:00,12.001,12.01,12.001,12.01,1500,18013.5,
AFKS,TQBR,1m,2023-01-03 10:26:00+00:00,12.008,12.028,12.008,12.028,27000,324373.80000000005,
AFKS,TQBR,1m,2023-01-03 10:27:00+00:00,12.027,12.032,12.027,12.027,12800,153989.7,
AFKS,TQBR,1m,2023-01-03 10:28:00+00:00,12.027,12.027,12.0,12.002,34100,409481.9,
AFKS,TQBR,1m,2023-01-03 10:29:00+00:00,12.007,12.008,12.001,12.007,21300,255717.69999999998,
AFKS,TQBR,1m,2023-01-03 10:30:00+00:00,12.007,12.022,12.007,12.022,8300,99703.7,
