secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
AFLT,TQBR,1d,2023-01-16 00:00:00+00:00,27.8,28.96,27.7,28.78,20464250,583575775.4,
AFLT,TQBR,1d,2023-01-17 00:00:00+00:00,28.84,29.12,27.22,27.44,25779550,723107004.2,
AFLT,TQBR,1d,2023-01-18 00:00:00+00:00,27.46,27.98,27.16,27.56,11822140,326812626.4,
AFLT,TQBR,1d,2023-01-19 00:00:00+00:00,27.5,27.62,26.7,27.48,17308700,470997281.0,
AFLT,TQBR,1d,2023-01-20 00:00:00+00:00,27.48,27.9,27.04,27.8,8036120,220273678.6,
AFLT,TQBR,1d,2023-01-23 00:00:00+00:00,27.86,28.14,27.7,27.8,6141650,171309536.4,
AFLT,TQBR,1d,2023-01-24 00:00:00+00:00,27.82,27.94,27.1,27.34,7773450,213700139.2,
AFLT,TQBR,1d,2023-01-25 00:00:00+00:00,27.18,27.44,27.0,27.42,3863710,105221695.6,
AFLT,TQBR,1d,2023-01-26 00:00:00+00:00,27.42,27.48,27.1,27.3,6203280,168945291.4,
AFLT,TQBR,1d,2023-01-27 00:00:00+00:00,27.26,27.94,27.06,27.7,9009700,247834467.8,
