secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
AFLT,TQBR,1h,2023-01-03 09:00:00+00:00,24.74,24.74,24.74,24.74,14600,361204.00000000006,
AFLT,TQBR,1h,2023-01-03 10:00:00+00:00,24.68,24.8,24.6,24.76,553790,13691552.200000001,
AFLT,TQBR,1h,2023-01-03 11:00:00+00:00,24.74,24.8,24.7,24.7,140700,3482866.4000000004,
AFLT,TQBR,1h,2023-01-03 12:00:00+00:00,24.7,24.72,24.62,24.68,235550,5809997.999999999,
AFLT,TQBR,1h,2023-01-03 13:00:00+00:00,24.68,24.74,24.66,24.72,227550,5620567.2,
AFLT,TQBR,1h,2023-01-03 14:00:00+00:00,24.74,24.74,24.64,24.66,128200,3165029.1999999997,
AFLT,TQBR,1h,2023-01-03 15:00:00+00:00,24.66,24.68,24.64,24.68,66440,1638743.0000000005,
AFLT,TQBR,1h,2023-01-03 16:00:00+00:00,24.66,24.72,24.64,24.68,82250,2029896.8000000003,
AFLT,TQBR,1h,2023-01-03 17:00:00+00:00,24.66,24.68,24.64,24.68,45210,1114991.6,
AFLT,TQBR,1h,2023-01-03 18:00:00+00:00,24.68,24.7,24.68,24.7,135770,3352284.8,
AFLT,TQBR,1h,2023-01-03 19:00:00+00:00,24.7,24.7,24.66,24.68,74030,1827536.2,
AFLT,TQBR,1h,2023-01-03 20:00:00+00:00,24.68,24.7,24.66,24.7,35850,885435.8,
AFLT,TQBR,1h,2023-01-03 21:00:00+00:00,24.7,24.7,24.64,24.64,49730,1226384.5999999999,
AFLT,TQBR,1h,2023-01-03 22:00:00+00:00,24.66,24.68,24.62,24.66,107460,2649537.0000000005,
AFLT,TQBR,1h,2023-01-03 23:00:00+00:00,24.66,24.68,24.62,24.64,48630,1198881.5999999999,
AFLT,TQBR,1h,2023-01-04 09:00:00+00:00,24.64,24.64,24.64,24.64,1320,32524.800000000003,
AFLT,TQBR,1h,2023-01-04 10:00:00+00:00,24.66,24.78,24.62,24.74,403760,9973092.600000003,
AFLT,TQBR,1h,2023-01-04 11:00:00+00:00,24.74,24.98,24.72,24.96,524470,13054588.399999993,
AFLT,TQBR,1h,2023-01-04 12:00:00+00:00,24.96,24.98,24.88,24.9,145460,3626711.2000000007,
