secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
AFLT,TQBR,1m,2023-03-27 09:59:00+00:00,29.83,29.83,29.83,29.83,53320,1590535.6000000008,
AFLT,TQBR,1m,2023-03-27 10:00:00+00:00,29.76,29.88,29.72,29.84,124460,3708828.499999999,
AFLT,TQBR,1m,2023-03-27 10:01:00+00:00,29.85,29.88,29.84,29.87,125690,3751964.0000000005,
AFLT,TQBR,1m,2023-03-27 10:02:00+00:00,29.87,29.94,29.85,29.92,210520,6295409.0,
AFLT,TQBR,1m,2023-03-27 10:03:00+00:00,29.91,30.08,29.89,30.08,528960,15856148.50000001,
AFLT,TQBR,1m,2023-03-27 10:04:00+00:00,30.08,30.36,30.06,30.27,864060,26130720.800000004,
AFLT,TQBR,1m,2023-03-27 10:05:00+00:00,30.28,30.3,30.09,30.2,421910,12733314.60000001,
AFLT,TQBR,1m,2023-03-27 10:06:00+00:00,30.21,30.25,30.16,30.21,201110,6077404.100000004,
AFLT,TQBR,1m,2023-03-27 10:07:00+00:00,30.21,30.24,30.18,30.2,186500,5635600.6,
AFLT,TQBR,1m,2023-03-27 10:08:00+00:00,30.23,30.47,30.2,30.43,488480,14813569.400000004,
AFLT,TQBR,1m,2023-03-27 10:09:00+00:00,30.45,30.62,30.43,30.61,628460,19192491.700000033,
AFLT,TQBR,1m,2023-03-27 10:10:00+00:00,30.61,30.77,30.6,30.6,718900,22051858.499999955,
AFLT,TQBR,1m,2023-03-27 10:11:00+00:00,30.6,31.29,30.56,31.14,1962790,60780525.29999995,
AFLT,TQBR,1m,2023-03-27 10:12:00+00:00,31.19,32.49,31.09,32.22,4811680,153160356.30000195,
AFLT,TQBR,1m,2023-03-27 10:13:00+00:00,32.22,32.24,31.64,31.75,2303100,73499724.40000005,
AFLT,TQBR,1m,2023-03-27 10:14:00+00:00,31.75,32.07,31.67,31.8,1190020,37933274.70000005,
AFLT,TQBR,1m,2023-03-27 10:15:00+00:00,31.81,32.59,31.8,32.56,2372310,76395805.70000005,
AFLT,TQBR,1m,2023-03-27 10:16:00+00:00,32.5,32.82,32.23,32.61,2343330,76143115.59999996,
AFLT,TQBR,1m,2023-03-27 10:17:00+00:00,32.64,32.67,32.18,32.18,2036100,65918139.39999999,
AFLT,TQBR,1m,2023-03-27 10:18:00+00:00,32.2,32.35,32.06,32.26,1509180,48564301.49999997,
AFLT,TQBR,1m,2023-03-27 10:19:00+00:00,32.25,32.35,31.91,32.09,1547040,49622958.00000004,
AFLT,TQBR,1m,2023-03-27 10:20:00+00:00,32.09,32.4,32.0,32.05,1768900,56970550.20000005,
AFLT,TQBR,1m,2023-03-27 10:21:00+00:00,32.05,32.1,31.91,31.95,1318450,42175190.90000001,
AFLT,TQBR,1m,2023-03-27 10:22:00+00:00,31.95,32.05,31.8,31.93,1431630,45669105.99999955,
AFLT,TQBR,1m,2023-03-27 10:23:00+00:00,31.93,31.99,31.76,31.95,800540,25491442.199999988,
AFLT,TQBR,1m,2023-03-27 10:24:00+00:00,31.95,32.2,31.94,32.16,1978940,63367582.899999976,
AFLT,TQBR,1m,2023-03-27 10:25:00+00:00,32.16,32.17,31.95,32.01,574500,18405931.100000013,
AFLT,TQBR,1m,2023-03-27 10:26:00+00:00,32.0,32.01,31.85,31.93,496890,15860191.700000003,
AFLT,TQBR,1m,2023-03-27 10:27:00+00:00,31.94,32.14,31.89,32.14,743090,23783959.2,
AFLT,TQBR,1m,2023-03-27 10:28:00+00:00,32.14,32.15,31.93,31.97,468170,14996016.100000003,
AFLT,TQBR,1m,2023-03-27 10:29:00+00:00,31.97,32.09,31.96,32.09,238170,7626044.7,
AFLT,TQBR,1m,2023-03-27 10:30:00+00:00,32.05,32.11,32.03,32.06,279950,8982133.199999994,
AFLT,TQBR,1m,2023-03-27 10:31:00+00:00,32.07,32.09,31.95,31.98,505930,16200261.999999996,
AFLT,TQBR,1m,2023-03-27 10:32:00+00:00,32.0,32.06,31.8,31.84,750320,23927932.7,
AFLT,TQBR,1m,2023-03-27 10:33:00+00:00,31.85,31.89,31.74,31.8,561780,17865787.200000007,
AFLT,TQBR,1m,2023-03-27 10:34:00+00:00,31.82,31.95,31.8,31.92,367910,11727189.500000002,
AFLT,TQBR,1m,2023-03-27 10:35:00+00:00,31.92,31.93,31.79,31.84,349520,11128189.1,
AFLT,TQBR,1m,2023-03-27 10:36:00+00:00,31.84,31.89,31.81,31.83,133910,4265111.900000003,
AFLT,TQBR,1m,2023-03-27 10:37:00+00:00,31.82,31.85,31.71,31.71,447420,14213608.2,
AFLT,TQBR,1m,2023-03-27 10:38:00+00:00,31.73,31.85,31.71,31.85,583640,18531921.400000013,
AFLT,TQBR,1m,2023-03-27 10:39:00+00:00,31.85,31.9,31.82,31.85,245920,7835796.8,
AFLT,TQBR,1m,2023-03-27 10:40:00+00:00,31.85,32.07,31.82,31.99,841000,26886396.900000017,
AFLT,TQBR,1m,2023-03-27 10:41:00+00:00,31.97,31.98,31.84,31.86,199070,6350627.199999998,
AFLT,TQBR,1m,2023-03-27 10:42:00+00:00,31.88,31.9,31.8,31.8,223690,7122473.1999999955,
AFLT,TQBR,1m,2023-03-27 10:43:00+00:00,31.8,31.87,31.8,31.85,169310,5389978.800000003,
AFLT,TQBR,1m,2023-03-27 10:44:00+00:00,31.85,31.85,31.81,31.83,81790,2603841.9,
AFLT,TQBR,1m,2023-03-27 10:45:00+00:00,31.84,31.95,31.83,31.94,229520,7315635.000000005,
AFLT,TQBR,1m,2023-03-27 10:46:00+00:00,31.94,31.94,31.85,31.88,156920,5004723.300000003,
AFLT,TQBR,1m,2023-03-27 10:47:00+00:00,31.88,31.96,31.87,31.94,230260,7352478.300000003,
AFLT,TQBR,1m,2023-03-27 10:48:00+00:00,31.95,32.05,31.9,32.01,479770,15349277.3,
AFLT,TQBR,1m,2023-03-27 10:49:00+00:00,32.01,32.05,31.92,31.95,255020,8156773.3,
AFLT,TQBR,1m,2023-03-27 10:50:00+00:00,31.95,31.95,31.81,31.84,270820,8628314.7,
AFLT,TQBR,1m,2023-03-27 10:51:00+00:00,31.83,31.9,31.81,31.88,176420,5619902.000000001,
AFLT,TQBR,1m,2023-03-27 10:52:00+00:00,31.9,31.93,31.9,31.9,129020,4117076.6000000015,
AFLT,TQBR,1m,2023-03-27 10:53:00+00:00,31.91,31.92,31.9,31.91,206960,6602432.799999998,
AFLT,TQBR,1m,2023-03-27 10:54:00+00:00,31.91,31.92,31.85,31.88,114790,3659955.599999999,
AFLT,TQBR,1m,2023-03-27 10:55:00+00:00,31.87,31.93,31.84,31.86,120160,3830504.2000000016,
AFLT,TQBR,1m,2023-03-27 10:56:00+00:00,31.85,31.9,31.84,31.87,105670,3366246.400000001,
AFLT,TQBR,1m,2023-03-27 10:57:00+00:00,31.87,31.88,31.84,31.84,66440,2116393.3,
AFLT,TQBR,1m,2023-03-27 10:58:00+00:00,31.84,31.85,31.78,31.81,318320,10125297.999999993,
AFLT,TQBR,1m,2023-03-27 10:59:00+00:00,31.82,31.84,31.78,31.8,249620,7938110.0,
AFLT,TQBR,1m,2023-03-27 11:00:00+00:00,31.81,31.88,31.8,31.84,324480,10329583.9,
AFLT,TQBR,1m,2023-03-27 11:01:00+00:00,31.85,31.91,31.85,31.88,157720,5028856.1000000015,
AFLT,TQBR,1m,2023-03-27 11:02:00+00:00,31.89,31.9,31.85,31.88,64280,2049988.6999999997,
AFLT,TQBR,1m,2023-03-27 11:03:00+00:00,31.88,31.88,31.85,31.87,52530,1673778.8999999994,
