secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
AKRN,TQBR,1d,2023-03-13 00:00:00+00:00,18574,18574,18350,18390,3660,67484858,
AKRN,TQBR,1d,2023-03-14 00:00:00+00:00,18444,18444,18350,18396,1059,19468198,
AKRN,TQBR,1d,2023-03-15 00:00:00+00:00,18438,18438,18124,18350,1796,32920370,
AKRN,TQBR,1d,2023-03-16 00:00:00+00:00,18430,18488,18166,18382,1568,28743540,
AKRN,TQBR,1d,2023-03-17 00:00:00+00:00,18300,18490,18252,18330,1605,29450146,
AKRN,TQBR,1d,2023-03-20 00:00:00+00:00,18360,18438,18246,18400,2190,40163062,
AKRN,TQBR,1d,2023-03-21 00:00:00+00:00,18400,18680,18314,18596,3605,66870302,
AKRN,TQBR,1d,2023-03-22 00:00:00+00:00,18594,18800,18330,18700,3283,61124660,
AKRN,TQBR,1d,2023-03-23 00:00:00+00:00,18702,18800,18606,18748,1786,33474064,
AKRN,TQBR,1d,2023-03-24 00:00:00+00:00,18750,18800,18674,18796,1562,29276042,
