secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
AKRN,TQBR,1h,2023-02-27 09:00:00+00:00,18338,18338,18338,18338,1,18338,
AKRN,TQBR,1h,2023-02-27 10:00:00+00:00,18322,18574,18314,18494,496,9144262,
AKRN,TQBR,1h,2023-02-27 11:00:00+00:00,18480,18488,17940,18204,1619,29420788,
AKRN,TQBR,1h,2023-02-27 12:00:00+00:00,18224,18294,18208,18290,171,3122686,
AKRN,TQBR,1h,2023-02-27 13:00:00+00:00,18290,18304,18282,18284,62,1134196,
AKRN,TQBR,1h,2023-02-27 14:00:00+00:00,18294,18320,18294,18318,104,1904372,
AKRN,TQBR,1h,2023-02-27 15:00:00+00:00,18318,18388,18300,18326,45,825306,
AKRN,TQBR,1h,2023-02-27 16:00:00+00:00,18330,18330,18262,18290,106,1938342,
AKRN,TQBR,1h,2023-02-27 17:00:00+00:00,18290,18314,18240,18278,147,2685650,
AKRN,TQBR,1h,2023-02-27 18:00:00+00:00,18298,18396,18298,18380,275,5048240,
AKRN,TQBR,1h,2023-02-28 09:00:00+00:00,18300,18300,18300,18300,5,91500,
AKRN,TQBR,1h,2023-02-28 10:00:00+00:00,18368,18454,18324,18350,236,4340914,
AKRN,TQBR,1h,2023-02-28 11:00:00+00:00,18356,18392,18302,18384,108,1981814,
AKRN,TQBR,1h,2023-02-28 12:00:00+00:00,18384,18384,18300,18350,148,2714794,
AKRN,TQBR,1h,2023-02-28 13:00:00+00:00,18346,18350,18336,18348,60,1100942,
AKRN,TQBR,1h,2023-02-28 14:00:00+00:00,18348,18370,18324,18370,72,1321234,
AKRN,TQBR,1h,2023-02-28 15:00:00+00:00,18370,18384,18352,18380,36,661446,
AKRN,TQBR,1h,2023-02-28 16:00:00+00:00,18380,18380,18354,18376,44,808464,
AKRN,TQBR,1h,2023-02-28 17:00:00+00:00,18374,18518,18358,18496,355,6546708,
AKRN,TQBR,1h,2023-02-28 18:00:00+00:00,18490,18520,18418,18484,382,7053256,
AKRN,TQBR,1h,2023-03-01 09:00:00+00:00,18440,18440,18440,18440,17,313480,
AKRN,TQBR,1h,2023-03-01 10:00:00+00:00,18484,18758,18472,18680,1025,19093484,
AKRN,TQBR,1h,2023-03-01 11:00:00+00:00,18686,18728,18608,18698,451,8427564,
AKRN,TQBR,1h,2023-03-01 12:00:00+00:00,18700,18720,18636,18708,414,7741300,
AKRN,TQBR,1h,2023-03-01 13:00:00+00:00,18710,18850,18606,18794,754,14115520,
AKRN,TQBR,1h,2023-03-01 14:00:00+00:00,18776,18996,18770,18860,1169,22086056,
AKRN,TQBR,1h,2023-03-01 15:00:00+00:00,18880,18896,18750,18830,218,4097990,
AKRN,TQBR,1h,2023-03-01 16:00:00+00:00,18812,18834,18750,18792,133,2498810,
AKRN,TQBR,1h,2023-03-01 17:00:00+00:00,18792,18802,18750,18800,111,2084554,
AKRN,TQBR,1h,2023-03-01 18:00:00+00:00,18800,18888,18750,18888,322,6058756,
AKRN,TQBR,1h,2023-03-02 09:00:00+00:00,18998,18998,18998,18998,16,303968,
AKRN,TQBR,1h,2023-03-02 10:00:00+00:00,18958,19600,18694,19064,5649,108446052,
AKRN,TQBR,1h,2023-03-02 11:00:00+00:00,19092,19100,18700,18834,1242,23416960,
AKRN,TQBR,1h,2023-03-02 12:00:00+00:00,18824,18874,18636,18636,602,11278698,
AKRN,TQBR,1h,2023-03-02 13:00:00+00:00,18636,18750,18400,18584,1917,35528038,
AKRN,TQBR,1h,2023-03-02 14:00:00+00:00,18574,18726,18554,18726,174,3239654,
AKRN,TQBR,1h,2023-03-02 15:00:00+00:00,18714,18714,18590,18590,122,2278170,
AKRN,TQBR,1h,2023-03-02 16:00:00+00:00,18588,18600,18530,18530,171,3173356,
AKRN,TQBR,1h,2023-03-02 17:00:00+00:00,18560,18578,18514,18540,138,2558878,
AKRN,TQBR,1h,2023-03-02 18:00:00+00:00,18540,18648,18520,18520,175,3248872,
AKRN,TQBR,1h,2023-03-03 09:00:00+00:00,18616,18616,18616,18616,5,93080,
AKRN,TQBR,1h,2023-03-03 10:00:00+00:00,18614,18620,18400,18508,593,10987592,
AKRN,TQBR,1h,2023-03-03 11:00:00+00:00,18510,18610,18500,18588,150,2782752,
AKRN,TQBR,1h,2023-03-03 12:00:00+00:00,18584,18622,18550,18586,98,1822058,
AKRN,TQBR,1h,2023-03-03 13:00:00+00:00,18600,18904,18598,18750,973,18282544,
AKRN,TQBR,1h,2023-03-03 14:00:00+00:00,18722,19082,18700,19048,979,18539646,
AKRN,TQBR,1h,2023-03-03 15:00:00+00:00,19060,19060,18700,18940,1553,29339602,
AKRN,TQBR,1h,2023-03-03 16:00:00+00:00,18924,18944,18844,18866,303,5729298,
AKRN,TQBR,1h,2023-03-03 17:00:00+00:00,18888,18914,18862,18862,152,2870146,
AKRN,TQBR,1h,2023-03-03 18:00:00+00:00,18866,18898,18804,18804,124,2336014,
AKRN,TQBR,1h,2023-03-06 09:00:00+00:00,18900,18900,18900,18900,21,396900,
AKRN,TQBR,1h,2023-03-06 10:00:00+00:00,18944,18998,18650,18838,611,11524330,
AKRN,TQBR,1h,2023-03-06 11:00:00+00:00,18838,18900,18758,18842,262,4932882,
AKRN,TQBR,1h,2023-03-06 12:00:00+00:00,18842,18900,18714,18800,173,3254568,
AKRN,TQBR,1h,2023-03-06 13:00:00+00:00,18800,18910,18752,18862,300,5655944,
AKRN,TQBR,1h,2023-03-06 14:00:00+00:00,18878,18898,18832,18862,45,848764,
AKRN,TQBR,1h,2023-03-06 15:00:00+00:00,18860,18872,18846,18860,48,905238,
AKRN,TQBR,1h,2023-03-06 16:00:00+00:00,18864,18910,18816,18834,153,2884174,
AKRN,TQBR,1h,2023-03-06 17:00:00+00:00,18840,18882,18800,18818,99,1863512,
