secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
AKRN,TQBR,1m,2023-01-16 09:59:00+00:00,18000,18000,18000,18000,2,36000,
AKRN,TQBR,1m,2023-01-16 10:00:00+00:00,17994,17994,17992,17992,6,107960,
AKRN,TQBR,1m,2023-01-16 10:02:00+00:00,17982,17982,17982,17982,2,35964,
AKRN,TQBR,1m,2023-01-16 10:04:00+00:00,17986,17986,17986,17986,1,17986,
AKRN,TQBR,1m,2023-01-16 10:05:00+00:00,17988,18026,17988,18026,30,540222,
AKRN,TQBR,1m,2023-01-16 10:06:00+00:00,18022,18024,18000,18000,4,72046,
AKRN,TQBR,1m,2023-01-16 10:09:00+00:00,18024,18026,18024,18026,7,126174,
AKRN,TQBR,1m,2023-01-16 10:10:00+00:00,18026,18026,18026,18026,1,18026,
AKRN,TQBR,1m,2023-01-16 10:11:00+00:00,18024,18024,18024,18024,1,18024,
AKRN,TQBR,1m,2023-01-16 10:15:00+00:00,18000,18000,17994,17994,3,53990,
AKRN,TQBR,1m,2023-01-16 10:16:00+00:00,18020,18024,18018,18018,9,162198,
AKRN,TQBR,1m,2023-01-16 10:17:00+00:00,18020,18020,18020,18020,2,36040,
AKRN,TQBR,1m,2023-01-16 10:21:00+00:00,18020,18020,18020,18020,2,36040,
AKRN,TQBR,1m,2023-01-16 10:22:00+00:00,18020,18020,18002,18002,10,180182,
AKRN,TQBR,1m,2023-01-16 10:26:00+00:00,18018,18018,18018,18018,1,18018,
AKRN,TQBR,1m,2023-01-16 10:27:00+00:00,18018,18018,18018,18018,1,18018,
AKRN,TQBR,1m,2023-01-16 10:28:00+00:00,18018,18020,17992,18020,7,126082,
AKRN,TQBR,1m,2023-01-16 10:29:00+00:00,18000,18000,17994,17994,10,179964,
AKRN,TQBR,1m,2023-01-16 10:34:00+00:00,17994,17994,17994,17994,3,53982,
AKRN,TQBR,1m,2023-01-16 10:35:00+00:00,17994,17994,17994,17994,3,53982,
AKRN,TQBR,1m,2023-01-16 10:37:00+00:00,17998,17998,17998,17998,1,17998,
AKRN,TQBR,1m,2023-01-16 10:38:00+00:00,17998,18000,17998,18000,3,53998,
AKRN,TQBR,1m,2023-01-16 10:40:00+00:00,17994,17994,17994,17994,1,17994,
AKRN,TQBR,1m,2023-01-16 10:42:00+00:00,18000,18000,18000,18000,1,18000,
AKRN,TQBR,1m,2023-01-16 10:49:00+00:00,18000,18000,18000,18000,1,18000,
AKRN,TQBR,1m,2023-01-16 10:51:00+00:00,18000,18000,18000,18000,4,72000,
AKRN,TQBR,1m,2023-01-16 10:56:00+00:00,18000,18000,18000,18000,1,18000,
AKRN,TQBR,1m,2023-01-16 10:57:00+00:00,17996,17996,17996,17996,1,17996,
AKRN,TQBR,1m,2023-01-16 10:59:00+00:00,18000,18000,18000,18000,2,36000,
AKRN,TQBR,1m,2023-01-16 11:04:00+00:00,18000,18000,18000,18000,1,18000,
AKRN,TQBR,1m,2023-01-16 11:05:00+00:00,18000,18000,18000,18000,5,90000,
