secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
CHMF,TQBR,1d,2023-01-16 00:00:00+00:00,890.8,927.8,890.8,922.0,784445,714302241.4,
CHMF,TQBR,1d,2023-01-17 00:00:00+00:00,922.6,927.8,902.0,903.8,663912,608204263.2,
CHMF,TQBR,1d,2023-01-18 00:00:00+00:00,905.8,923.4,898.0,910.8,506542,462324229.6,
CHMF,TQBR,1d,2023-01-19 00:00:00+00:00,905.6,910.6,891.4,894.2,382658,343660980.4,
CHMF,TQBR,1d,2023-01-20 00:00:00+00:00,894.0,904.0,881.0,887.8,574341,510506020.6,
CHMF,TQBR,1d,2023-01-23 00:00:00+00:00,887.0,893.8,882.2,892.0,333783,296603676.2,
CHMF,TQBR,1d,2023-01-24 00:00:00+00:00,894.0,898.0,872.0,875.2,442753,390909579.6,
CHMF,TQBR,1d,2023-01-25 00:00:00+00:00,871.2,879.2,868.2,875.2,444426,387830915.0,
CHMF,TQBR,1d,2023-01-26 00:00:00+00:00,876.0,883.8,871.4,881.4,306486,269056210.2,
CHMF,TQBR,1d,2023-01-27 00:00:00+00:00,882.0,896.0,878.6,895.4,488944,434810816.4,
