secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
CHMF,TQBR,1h,2023-03-13 09:00:00+00:00,1053.0,1053.0,1053.0,1053.0,1155,1216215.0,
CHMF,TQBR,1h,2023-03-13 10:00:00+00:00,1053.0,1059.6,1053.0,1056.4,84584,89426093.2,
CHMF,TQBR,1h,2023-03-13 11:00:00+00:00,1056.6,1057.0,1051.4,1053.8,39442,41565232.800000004,
CHMF,TQBR,1h,2023-03-13 12:00:00+00:00,1053.8,1054.4,1048.6,1050.6,54248,57001454.80000001,
CHMF,TQBR,1h,2023-03-13 13:00:00+00:00,1050.6,1051.6,1047.0,1049.2,77052,80810515.2,
CHMF,TQBR,1h,2023-03-13 14:00:00+00:00,1049.2,1049.4,1040.8,1044.4,100882,105414426.80000001,
CHMF,TQBR,1h,2023-03-13 15:00:00+00:00,1043.8,1044.0,1034.4,1035.0,110800,115024832.60000001,
CHMF,TQBR,1h,2023-03-13 16:00:00+00:00,1034.8,1040.6,1033.8,1039.6,79929,82875587.80000001,
CHMF,TQBR,1h,2023-03-13 17:00:00+00:00,1039.6,1039.8,1036.4,1037.2,42861,44458413.599999994,
CHMF,TQBR,1h,2023-03-13 18:00:00+00:00,1037.6,1043.6,1036.6,1041.4,70368,73189940.00000001,
CHMF,TQBR,1h,2023-03-13 19:00:00+00:00,1038.6,1042.8,1038.6,1040.8,11682,12147489.999999998,
CHMF,TQBR,1h,2023-03-13 20:00:00+00:00,1040.8,1046.2,1040.0,1043.2,24680,25755151.599999998,
CHMF,TQBR,1h,2023-03-13 21:00:00+00:00,1042.6,1043.8,1042.0,1042.0,4554,4746679.199999999,
CHMF,TQBR,1h,2023-03-13 22:00:00+00:00,1042.6,1045.4,1042.0,1043.6,12115,12641749.6,
CHMF,TQBR,1h,2023-03-13 23:00:00+00:00,1043.6,1043.6,1041.0,1042.0,8843,9213575.799999991,
CHMF,TQBR,1h,2023-03-14 09:00:00+00:00,1041.4,1041.4,1041.4,1041.4,308,320751.19999999995,
CHMF,TQBR,1h,2023-03-14 10:00:00+00:00,1041.0,1044.8,1036.8,1040.0,100411,104493248.79999998,
CHMF,TQBR,1h,2023-03-14 11:00:00+00:00,1040.0,1042.2,1036.4,1037.6,60932,63272307.19999999,
CHMF,TQBR,1h,2023-03-14 12:00:00+00:00,1037.4,1038.8,1036.6,1038.6,41051,42576746.199999996,
CHMF,TQBR,1h,2023-03-14 13:00:00+00:00,1038.0,1038.4,1036.6,1037.0,34157,35421071.800000004,
CHMF,TQBR,1h,2023-03-14 14:00:00+00:00,1037.0,1041.4,1036.6,1037.4,39079,40569248.40000001,
CHMF,TQBR,1h,2023-03-14 15:00:00+00:00,1037.4,1041.6,1037.4,1038.0,56027,58230222.40000002,
CHMF,TQBR,1h,2023-03-14 16:00:00+00:00,1037.6,1039.2,1036.6,1038.0,61861,64191459.39999999,
CHMF,TQBR,1h,2023-03-14 17:00:00+00:00,1038.2,1038.2,1036.0,1037.4,54512,56514925.8,
CHMF,TQBR,1h,2023-03-14 18:00:00+00:00,1037.6,1039.6,1035.4,1039.6,47191,48957672.19999999,
CHMF,TQBR,1h,2023-03-14 19:00:00+00:00,1039.0,1039.0,1036.0,1037.0,15041,15598221.200000007,
CHMF,TQBR,1h,2023-03-14 20:00:00+00:00,1037.2,1037.6,1036.2,1037.0,11530,11955936.399999997,
