secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
CHMF,TQBR,1m,2024-04-01 09:59:00+00:00,1877.8,1877.8,1877.8,1877.8,448,841254.4000000003,
CHMF,TQBR,1m,2024-04-01 10:00:00+00:00,1877.8,1880.0,1874.0,1877.0,18673,35075014.39999999,
CHMF,TQBR,1m,2024-04-01 10:01:00+00:00,1878.2,1879.6,1875.6,1879.0,5760,10822260.399999997,
CHMF,TQBR,1m,2024-04-01 10:02:00+00:00,1879.0,1879.0,1877.4,1878.0,4283,8046681.999999999,
CHMF,TQBR,1m,2024-04-01 10:03:00+00:00,1878.0,1878.0,1874.4,1875.4,7464,14000728.999999998,
CHMF,TQBR,1m,2024-04-01 10:04:00+00:00,1875.2,1878.8,1874.2,1878.8,4114,7720315.600000002,
CHMF,TQBR,1m,2024-04-01 10:05:00+00:00,1878.2,1879.0,1875.0,1876.6,7456,13989230.000000007,
CHMF,TQBR,1m,2024-04-01 10:06:00+00:00,1876.6,1877.6,1875.2,1876.4,4934,9256142.799999999,
CHMF,TQBR,1m,2024-04-01 10:07:00+00:00,1876.4,1876.6,1875.0,1875.8,3400,6377089.4,
CHMF,TQBR,1m,2024-04-01 10:08:00+00:00,1875.8,1876.8,1872.0,1872.0,7962,14925784.199999996,
CHMF,TQBR,1m,2024-04-01 10:09:00+00:00,1872.2,1873.8,1872.0,1872.4,3649,6833600.399999998,
CHMF,TQBR,1m,2024-04-01 10:10:00+00:00,1872.6,1874.4,1872.2,1874.4,2321,4346502.599999997,
CHMF,TQBR,1m,2024-04-01 10:11:00+00:00,1874.0,1874.8,1872.2,1872.6,4379,8203233.999999997,
CHMF,TQBR,1m,2024-04-01 10:12:00+00:00,1872.4,1873.0,1872.0,1872.8,2785,5214706.800000001,
CHMF,TQBR,1m,2024-04-01 10:13:00+00:00,1872.8,1873.0,1872.4,1873.0,1520,2846634.4000000004,
CHMF,TQBR,1m,2024-04-01 10:14:00+00:00,1873.0,1873.0,1872.6,1873.0,1683,3152165.000000001,
CHMF,TQBR,1m,2024-04-01 10:15:00+00:00,1873.0,1873.0,1872.4,1872.4,2127,3983388.3999999994,
CHMF,TQBR,1m,2024-04-01 10:16:00+00:00,1872.6,1872.8,1872.4,1872.8,493,923245.0000000003,
CHMF,TQBR,1m,2024-04-01 10:17:00+00:00,1873.0,1873.2,1872.6,1872.6,4935,9242789.600000001,
CHMF,TQBR,1m,2024-04-01 10:18:00+00:00,1872.6,1873.0,1872.4,1873.0,2278,4266178.800000001,
