secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
GAZP,TQBR,1d,2023-01-30 00:00:00+00:00,159.08,159.67,157.7,158.41,10740220,1701425563.3,
GAZP,TQBR,1d,2023-01-31 00:00:00+00:00,158.41,160.0,158.0,158.1,15129060,2400534530.3,
GAZP,TQBR,1d,2023-02-01 00:00:00+00:00,158.3,158.66,157.54,158.12,14240340,2252680652.1,
GAZP,TQBR,1d,2023-02-02 00:00:00+00:00,158.44,158.59,157.31,158.1,11991300,1895520588.2,
GAZP,TQBR,1d,2023-02-03 00:00:00+00:00,158.09,163.96,156.76,160.87,69539880,11193078018.2,
GAZP,TQBR,1d,2023-02-06 00:00:00+00:00,160.68,161.76,158.91,160.14,28144330,4503125915.8,
GAZP,TQBR,1d,2023-02-07 00:00:00+00:00,160.5,161.35,159.51,159.87,13954930,2234074832.6,
GAZP,TQBR,1d,2023-02-08 00:00:00+00:00,160.01,160.42,157.82,158.18,16688290,2651241562.4,
GAZP,TQBR,1d,2023-02-09 00:00:00+00:00,158.5,160.44,157.6,159.19,27661050,4405526876.1,
GAZP,TQBR,1d,2023-02-10 00:00:00+00:00,159.07,159.46,158.32,158.68,9874270,1567193270.8,
