secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
GAZP,TQBR,1h,2024-02-26 09:00:00+00:00,158.92,158.92,158.92,158.92,58210,9250733.200000007,
GAZP,TQBR,1h,2024-02-26 10:00:00+00:00,158.94,160.56,158.94,159.77,5233790,837443185.0999993,
GAZP,TQBR,1h,2024-02-26 11:00:00+00:00,159.79,159.94,159.11,159.44,2085870,332742922.20000017,
GAZP,TQBR,1h,2024-02-26 12:00:00+00:00,159.43,159.7,159.35,159.49,1250030,199392693.80000004,
GAZP,TQBR,1h,2024-02-26 13:00:00+00:00,159.48,159.65,159.25,159.37,717740,114412764.00000001,
GAZP,TQBR,1h,2024-02-26 14:00:00+00:00,159.37,159.39,158.95,159.03,975450,155205739.99999997,
GAZP,TQBR,1h,2024-02-26 15:00:00+00:00,159.04,159.23,158.85,159.13,785570,124949213.90000005,
GAZP,TQBR,1h,2024-02-26 16:00:00+00:00,159.15,159.47,159.05,159.19,836140,133166113.60000002,
GAZP,TQBR,1h,2024-02-26 17:00:00+00:00,159.19,159.45,159.19,159.44,510920,81423364.40000002,
GAZP,TQBR,1h,2024-02-26 18:00:00+00:00,159.44,160.13,159.4,159.78,1868180,298605712.2000005,
GAZP,TQBR,1h,2024-02-26 19:00:00+00:00,159.9,159.9,159.5,159.79,594890,95032437.1,
GAZP,TQBR,1h,2024-02-26 20:00:00+00:00,159.79,159.84,159.57,159.8,537800,85898519.40000004,
GAZP,TQBR,1h,2024-02-26 21:00:00+00:00,159.8,159.88,159.54,159.6,316450,50537824.3,
GAZP,TQBR,1h,2024-02-26 22:00:00+00:00,159.61,159.88,159.55,159.88,393800,62902720.69999999,
GAZP,TQBR,1h,2024-02-26 23:00:00+00:00,159.8,160.09,159.76,160.09,462740,74007682.6,
GAZP,TQBR,1h,2024-02-27 09:00:00+00:00,160.15,160.15,160.15,160.15,69510,11132026.5,
GAZP,TQBR,1h,2024-02-27 10:00:00+00:00,160.14,160.14,159.1,159.34,2397980,382185414.6000001,
GAZP,TQBR,1h,2024-02-27 11:00:00+00:00,159.34,159.4,158.9,159.08,2256180,358946116.6999999,
GAZP,TQBR,1h,2024-02-27 12:00:00+00:00,159.07,159.22,158.81,158.89,1451450,230776045.20000008,
GAZP,TQBR,1h,2024-02-27 13:00:00+00:00,158.89,159.49,158.82,159.38,1052290,167433371.30000004,
GAZP,TQBR,1h,2024-02-27 14:00:00+00:00,159.34,159.47,158.88,159.15,629330,100125758.39999998,
GAZP,TQBR,1h,2024-02-27 15:00:00+00:00,159.15,159.19,158.9,159.19,878730,139742967.4,
