secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
GAZP,TQBR,1m,2024-02-19 09:59:00+00:00,161.34,161.34,161.34,161.34,28660,4624004.399999992,
GAZP,TQBR,1m,2024-02-19 10:00:00+00:00,161.41,161.53,161.34,161.36,48760,7871886.399999989,
GAZP,TQBR,1m,2024-02-19 10:01:00+00:00,161.39,161.43,161.25,161.31,63070,10175764.7,
GAZP,TQBR,1m,2024-02-19 10:02:00+00:00,161.3,161.31,161.25,161.29,47130,7601591.100000001,
GAZP,TQBR,1m,2024-02-19 10:03:00+00:00,161.27,161.3,161.26,161.3,23030,3714498.4,
GAZP,TQBR,1m,2024-02-19 10:04:00+00:00,161.3,161.36,161.3,161.36,25250,4073374.100000002,
GAZP,TQBR,1m,2024-02-19 10:05:00+00:00,161.35,161.37,161.35,161.36,15170,2447859.3,
GAZP,TQBR,1m,2024-02-19 10:06:00+00:00,161.37,161.37,161.36,161.37,42610,6875576.100000001,
GAZP,TQBR,1m,2024-02-19 10:07:00+00:00,161.37,161.44,161.37,161.4,41180,6645837.5,
GAZP,TQBR,1m,2024-02-19 10:08:00+00:00,161.4,161.44,161.4,161.42,19240,3105641.1000000015,
GAZP,TQBR,1m,2024-02-19 10:09:00+00:00,161.42,161.51,161.42,161.51,189080,30528909.900000002,
GAZP,TQBR,1m,2024-02-19 10:10:00+00:00,161.51,161.56,161.51,161.51,18620,3007799.5,
GAZP,TQBR,1m,2024-02-19 10:11:00+00:00,161.52,161.53,161.51,161.51,32230,5205734.999999999,
GAZP,TQBR,1m,2024-02-19 10:12:00+00:00,161.52,161.52,161.51,161.52,15670,2530922.0000000023,
GAZP,TQBR,1m,2024-02-19 10:13:00+00:00,161.52,161.54,161.52,161.53,32170,5196264.999999998,
GAZP,TQBR,1m,2024-02-19 10:14:00+00:00,161.53,161.53,161.4,161.4,105810,17089584.999999996,
GAZP,TQBR,1m,2024-02-19 10:15:00+00:00,161.41,161.41,161.4,161.4,36350,5866953.0,
GAZP,TQBR,1m,2024-02-19 10:16:00+00:00,161.41,161.42,161.31,161.31,49380,7969547.200000001,
GAZP,TQBR,1m,2024-02-19 10:17:00+00:00,161.3,161.31,161.2,161.22,59480,9590739.999999998,
GAZP,TQBR,1m,2024-02-19 10:18:00+00:00,161.22,161.25,161.17,161.18,235360,37936045.50000004,
GAZP,TQBR,1m,2024-02-19 10:19:00+00:00,161.18,161.27,161.17,161.25,50920,8208085.999999998,
GAZP,TQBR,1m,2024-02-19 10:20:00+00:00,161.26,161.3,161.26,161.27,28830,4649750.500000001,
GAZP,TQBR,1m,2024-02-19 10:21:00+00:00,161.27,161.28,161.18,161.18,63140,10180742.200000003,
GAZP,TQBR,1m,2024-02-19 10:22:00+00:00,161.19,161.19,161.1,161.11,104890,16903317.799999975,
GAZP,TQBR,1m,2024-02-19 10:23:00+00:00,161.1,161.26,161.1,161.26,97200,15660574.599999998,
GAZP,TQBR,1m,2024-02-19 10:24:00+00:00,161.25,161.26,161.22,161.23,5410,872250.4000000001,
GAZP,TQBR,1m,2024-02-19 10:25:00+00:00,161.23,161.25,161.16,161.24,38130,6146366.399999998,
GAZP,TQBR,1m,2024-02-19 10:26:00+00:00,161.25,161.38,161.22,161.34,90350,14572646.699999997,
GAZP,TQBR,1m,2024-02-19 10:27:00+00:00,161.36,161.37,161.3,161.3,11290,1821371.7,
GAZP,TQBR,1m,2024-02-19 10:28:00+00:00,161.31,161.31,161.2,161.22,21150,3410343.1000000015,
GAZP,TQBR,1m,2024-02-19 10:29:00+00:00,161.22,161.3,161.2,161.26,28350,4571107.200000002,
GAZP,TQBR,1m,2024-02-19 10:30:00+00:00,161.26,161.26,161.16,161.2,37050,5972492.499999999,
GAZP,TQBR,1m,2024-02-19 10:31:00+00:00,161.2,161.2,161.05,161.06,151960,24478953.500000015,
GAZP,TQBR,1m,2024-02-19 10:32:00+00:00,161.06,161.06,160.84,160.88,290550,46775518.79999997,
GAZP,TQBR,1m,2024-02-19 10:33:00+00:00,160.88,160.96,160.86,160.88,87800,14127357.800000003,
GAZP,TQBR,1m,2024-02-19 10:34:00+00:00,160.94,160.98,160.88,160.93,37650,6059239.399999998,
GAZP,TQBR,1m,2024-02-19 10:35:00+00:00,160.92,161.05,160.92,161.05,48200,7759734.4,
GAZP,TQBR,1m,2024-02-19 10:36:00+00:00,161.05,161.05,160.91,160.99,13670,2200402.5,
GAZP,TQBR,1m,2024-02-19 10:37:00+00:00,160.99,160.99,160.93,160.98,22070,3552563.000000001,
GAZP,TQBR,1m,2024-02-19 10:38:00+00:00,160.98,161.04,160.95,161.02,59350,9554768.299999997,
GAZP,TQBR,1m,2024-02-19 10:39:00+00:00,161.02,161.02,160.94,161.0,39520,6361241.700000002,
GAZP,TQBR,1m,2024-02-19 10:40:00+00:00,161.0,161.1,160.99,161.09,24590,3960472.0999999978,
GAZP,TQBR,1m,2024-02-19 10:41:00+00:00,161.08,161.14,161.03,161.14,64270,10354154.899999991,
GAZP,TQBR,1m,2024-02-19 10:42:00+00:00,161.13,161.23,161.12,161.21,38980,6283401.699999998,
GAZP,TQBR,1m,2024-02-19 10:43:00+00:00,161.2,161.25,161.03,161.03,51050,8226790.699999998,
GAZP,TQBR,1m,2024-02-19 10:44:00+00:00,161.02,161.14,161.0,161.1,63720,10262885.099999998,
GAZP,TQBR,1m,2024-02-19 10:45:00+00:00,161.12,161.23,161.05,161.23,111110,17907185.100000005,
GAZP,TQBR,1m,2024-02-19 10:46:00+00:00,161.22,161.23,161.1,161.15,39420,6352290.100000001,
GAZP,TQBR,1m,2024-02-19 10:47:00+00:00,161.15,161.17,161.03,161.07,34850,5614030.899999999,
GAZP,TQBR,1m,2024-02-19 10:48:00+00:00,161.07,161.1,160.92,160.96,102970,16578873.500000007,
GAZP,TQBR,1m,2024-02-19 10:49:00+00:00,160.96,161.08,160.94,161.03,27940,4498548.399999999,
GAZP,TQBR,1m,2024-02-19 10:50:00+00:00,161.04,161.07,161.0,161.07,23150,3727877.200000001,
GAZP,TQBR,1m,2024-02-19 10:51:00+00:00,161.05,161.09,160.99,161.0,45270,7289495.800000002,
GAZP,TQBR,1m,2024-02-19 10:52:00+00:00,161.0,161.09,160.99,161.09,21400,3446037.1,
GAZP,TQBR,1m,2024-02-19 10:53:00+00:00,161.09,161.1,160.99,161.02,22320,3594376.3000000003,
GAZP,TQBR,1m,2024-02-19 10:54:00+00:00,161.0,161.05,160.99,161.01,13790,2220489.5999999996,
GAZP,TQBR,1m,2024-02-19 10:55:00+00:00,161.02,161.1,161.0,161.07,34000,5475100.899999998,
GAZP,TQBR,1m,2024-02-19 10:56:00+00:00,161.07,161.1,160.98,161.01,25690,4136576.3,
GAZP,TQBR,1m,2024-02-19 10:57:00+00:00,161.01,161.05,161.0,161.03,27300,4396337.199999997,
GAZP,TQBR,1m,2024-02-19 10:58:00+00:00,161.03,161.09,161.02,161.09,16910,2723292.899999998,
GAZP,TQBR,1m,2024-02-19 10:59:00+00:00,161.09,161.1,161.0,161.04,27890,4491691.199999999,
GAZP,TQBR,1m,2024-02-19 11:00:00+00:00,161.04,161.14,161.0,161.03,62380,10047892.1,
GAZP,TQBR,1m,2024-02-19 11:01:00+00:00,161.03,161.1,160.98,161.1,60820,9793315.899999999,
GAZP,TQBR,1m,2024-02-19 11:02:00+00:00,161.1,161.12,161.02,161.08,30370,4891818.199999998,
GAZP,TQBR,1m,2024-02-19 11:03:00+00:00,161.08,161.1,161.03,161.07,27500,4429278.500000002,
GAZP,TQBR,1m,2024-02-19 11:04:00+00:00,161.07,161.1,161.01,161.07,23680,3813626.2999999993,
