secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
GMKN,TQBR,1h,2024-05-06 09:00:00+00:00,154.4,154.4,154.4,154.4,5680,876992.0,
GMKN,TQBR,1h,2024-05-06 10:00:00+00:00,154.42,154.48,153.1,153.74,1002830,154125184.00000015,
GMKN,TQBR,1h,2024-05-06 11:00:00+00:00,153.72,153.82,153.4,153.76,421890,64843476.400000006,
GMKN,TQBR,1h,2024-05-06 12:00:00+00:00,153.74,154.26,153.5,154.06,729370,112136306.80000001,
GMKN,TQBR,1h,2024-05-06 13:00:00+00:00,154.08,154.98,153.96,154.96,961520,148525981.2,
GMKN,TQBR,1h,2024-05-06 14:00:00+00:00,154.92,155.0,154.4,154.96,710520,109925597.20000003,
GMKN,TQBR,1h,2024-05-06 15:00:00+00:00,154.96,155.44,154.82,155.4,682230,105829405.00000004,
GMKN,TQBR,1h,2024-05-06 16:00:00+00:00,155.4,155.6,154.6,154.92,826410,128172939.80000004,
GMKN,TQBR,1h,2024-05-06 17:00:00+00:00,154.94,156.8,154.86,156.26,1550540,241867254.6,
GMKN,TQBR,1h,2024-05-06 18:00:00+00:00,156.28,156.74,156.0,156.0,1020900,159602175.8,
GMKN,TQBR,1h,2024-05-06 19:00:00+00:00,156.0,156.34,156.0,156.04,131520,20546219.999999993,
GMKN,TQBR,1h,2024-05-06 20:00:00+00:00,156.06,156.06,155.58,155.64,226720,35319925.8,
GMKN,TQBR,1h,2024-05-06 21:00:00+00:00,155.64,155.86,155.3,155.86,190360,29615085.999999978,
GMKN,TQBR,1h,2024-05-06 22:00:00+00:00,155.82,156.08,155.7,155.76,123840,19308678.6,
GMKN,TQBR,1h,2024-05-06 23:00:00+00:00,155.74,156.08,155.6,155.8,70980,11059698.999999998,
GMKN,TQBR,1h,2024-05-07 09:00:00+00:00,155.8,155.8,155.8,155.8,5660,881828.0,
GMKN,TQBR,1h,2024-05-07 10:00:00+00:00,155.74,156.46,154.24,154.42,877970,136067178.79999998,
GMKN,TQBR,1h,2024-05-07 11:00:00+00:00,154.42,154.86,153.74,154.24,730400,112686539.20000003,
GMKN,TQBR,1h,2024-05-07 12:00:00+00:00,154.24,154.82,154.18,154.56,291150,45005913.00000003,
GMKN,TQBR,1h,2024-05-07 13:00:00+00:00,154.54,154.7,154.28,154.66,259590,40112441.40000001,
GMKN,TQBR,1h,2024-05-07 14:00:00+00:00,154.6,155.06,153.84,154.52,940430,145199901.39999998,
GMKN,TQBR,1h,2024-05-07 15:00:00+00:00,154.52,155.16,154.42,154.52,440960,68260042.60000001,
GMKN,TQBR,1h,2024-05-07 16:00:00+00:00,154.52,154.7,154.06,154.44,537040,82901635.60000001,
GMKN,TQBR,1h,2024-05-07 17:00:00+00:00,154.44,155.0,154.4,155.0,396150,61259574.39999999,
GMKN,TQBR,1h,2024-05-07 18:00:00+00:00,155.0,155.1,153.7,154.48,1038560,160238805.4,
GMKN,TQBR,1h,2024-05-07 19:00:00+00:00,154.46,154.5,154.1,154.5,145020,22387675.4,
GMKN,TQBR,1h,2024-05-07 20:00:00+00:00,154.5,154.56,154.28,154.34,92940,14356162.59999999,
GMKN,TQBR,1h,2024-05-07 21:00:00+00:00,154.32,154.54,154.28,154.4,50090,7734667.3999999985,
GMKN,TQBR,1h,2024-05-07 22:00:00+00:00,154.42,154.48,154.32,154.42,33960,5243235.199999998,
GMKN,TQBR,1h,2024-05-07 23:00:00+00:00,154.4,154.52,154.34,154.44,52400,8093770.000000002,
GMKN,TQBR,1h,2024-05-08 09:00:00+00:00,154.44,154.44,154.44,154.44,2500,386100.00000000006,
GMKN,TQBR,1h,2024-05-08 10:00:00+00:00,154.54,154.7,153.84,154.08,685560,105748390.8,
