secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
GMKN,TQBR,1m,2024-09-02 09:59:00+00:00,108.0,108.0,108.0,108.0,7510,811080.0,
GMKN,TQBR,1m,2024-09-02 10:00:00+00:00,107.9,108.46,107.72,108.08,146950,15887134.799999984,
GMKN,TQBR,1m,2024-09-02 10:01:00+00:00,108.18,108.24,107.84,108.18,105970,11456042.000000006,
GMKN,TQBR,1m,2024-09-02 10:02:00+00:00,108.22,108.22,108.08,108.1,56920,6156206.3999999855,
GMKN,TQBR,1m,2024-09-02 10:03:00+00:00,108.14,108.5,108.1,108.44,54790,5931960.0,
GMKN,TQBR,1m,2024-09-02 10:04:00+00:00,108.44,109.68,108.44,109.52,195900,21361979.399999984,
GMKN,TQBR,1m,2024-09-02 10:05:00+00:00,109.5,109.84,109.5,109.78,71460,7836022.800000004,
GMKN,TQBR,1m,2024-09-02 10:06:00+00:00,109.78,109.86,109.06,109.2,92450,10114066.4,
GMKN,TQBR,1m,2024-09-02 10:07:00+00:00,109.2,109.38,109.04,109.04,40440,4413169.000000001,
GMKN,TQBR,1m,2024-09-02 10:08:00+00:00,109.0,109.02,108.74,108.74,33210,3615527.399999999,
GMKN,TQBR,1m,2024-09-02 10:09:00+00:00,108.76,109.0,108.66,108.86,33600,3655716.8,
GMKN,TQBR,1m,2024-09-02 10:10:00+00:00,108.86,108.86,108.38,108.38,36320,3943667.400000002,
GMKN,TQBR,1m,2024-09-02 10:11:00+00:00,108.44,108.5,107.9,107.92,157780,17068270.4,
GMKN,TQBR,1m,2024-09-02 10:12:00+00:00,107.9,108.0,107.72,108.0,170390,18388694.799999997,
GMKN,TQBR,1m,2024-09-02 10:13:00+00:00,108.0,108.0,107.74,107.9,264960,28584248.400000006,
GMKN,TQBR,1m,2024-09-02 10:14:00+00:00,107.88,107.9,107.72,107.8,36110,3894157.4000000004,
GMKN,TQBR,1m,2024-09-02 10:15:00+00:00,107.78,108.18,107.74,108.18,117320,12665246.200000003,
GMKN,TQBR,1m,2024-09-02 10:16:00+00:00,108.16,108.2,108.14,108.2,24130,2610231.0,
GMKN,TQBR,1m,2024-09-02 10:17:00+00:00,108.18,108.2,108.16,108.2,4000,432773.9999999999,
GMKN,TQBR,1m,2024-09-02 10:18:00+00:00,108.2,108.2,108.0,108.02,50110,5419656.400000003,
GMKN,TQBR,1m,2024-09-02 10:19:00+00:00,108.0,108.04,107.84,107.92,31720,3423064.0,
GMKN,TQBR,1m,2024-09-02 10:20:00+00:00,107.92,107.98,107.8,107.94,29380,3169769.0000000005,
GMKN,TQBR,1m,2024-09-02 10:21:00+00:00,107.96,107.96,107.68,107.72,43420,4679791.400000002,
GMKN,TQBR,1m,2024-09-02 10:22:00+00:00,107.72,108.0,107.66,108.0,42150,4542464.999999999,
GMKN,TQBR,1m,2024-09-02 10:23:00+00:00,108.0,108.0,107.82,107.88,18020,1944154.6,
GMKN,TQBR,1m,2024-09-02 10:24:00+00:00,107.9,108.0,107.82,107.88,24740,2670517.1999999997,
GMKN,TQBR,1m,2024-09-02 10:25:00+00:00,107.96,108.08,107.88,107.96,30440,3287665.1999999997,
GMKN,TQBR,1m,2024-09-02 10:26:00+00:00,107.96,108.0,107.86,108.0,125820,13587905.000000002,
GMKN,TQBR,1m,2024-09-02 10:27:00+00:00,108.0,108.0,107.98,107.98,21660,2339150.0,
GMKN,TQBR,1m,2024-09-02 10:28:00+00:00,108.0,108.0,107.76,107.78,72660,7838545.3999999985,
GMKN,TQBR,1m,2024-09-02 10:29:00+00:00,107.76,108.0,107.74,107.86,12360,1333713.8000000003,
GMKN,TQBR,1m,2024-09-02 10:30:00+00:00,107.84,107.9,107.82,107.82,530,57166.19999999999,
GMKN,TQBR,1m,2024-09-02 10:31:00+00:00,107.84,108.0,107.78,107.98,158180,17078207.000000004,
GMKN,TQBR,1m,2024-09-02 10:32:00+00:00,107.98,108.0,107.92,107.98,2330,251539.80000000002,
GMKN,TQBR,1m,2024-09-02 10:33:00+00:00,107.98,108.0,107.96,107.98,15490,1672649.2000000002,
GMKN,TQBR,1m,2024-09-02 10:34:00+00:00,107.98,108.0,107.96,107.98,6740,727806.0,
GMKN,TQBR,1m,2024-09-02 10:35:00+00:00,107.96,108.0,107.78,107.78,27200,2934777.399999999,
GMKN,TQBR,1m,2024-09-02 10:36:00+00:00,107.76,107.8,107.74,107.8,12450,1341885.2000000002,
GMKN,TQBR,1m,2024-09-02 10:37:00+00:00,107.8,107.9,107.76,107.9,103950,11214833.0,
GMKN,TQBR,1m,2024-09-02 10:38:00+00:00,107.84,107.9,107.78,107.9,8830,952650.2,
GMKN,TQBR,1m,2024-09-02 10:39:00+00:00,107.9,107.9,107.82,107.9,10920,1178060.4,
GMKN,TQBR,1m,2024-09-02 10:40:00+00:00,107.9,107.9,107.84,107.88,30590,3300418.8000000003,
GMKN,TQBR,1m,2024-09-02 10:41:00+00:00,107.9,107.9,107.88,107.9,8100,873976.4,
GMKN,TQBR,1m,2024-09-02 10:42:00+00:00,107.9,107.9,107.8,107.82,4010,432564.19999999995,
GMKN,TQBR,1m,2024-09-02 10:43:00+00:00,107.8,107.88,107.8,107.88,5990,645863.8000000002,
GMKN,TQBR,1m,2024-09-02 10:44:00+00:00,107.88,107.88,107.84,107.86,5680,612656.2000000001,
GMKN,TQBR,1m,2024-09-02 10:45:00+00:00,107.86,107.88,107.78,107.84,3360,362279.6000000001,
GMKN,TQBR,1m,2024-09-02 10:46:00+00:00,107.84,107.84,107.72,107.72,13730,1479221.8,
GMKN,TQBR,1m,2024-09-02 10:47:00+00:00,107.74,107.74,107.42,107.44,68960,7417712.400000004,
GMKN,TQBR,1m,2024-09-02 10:48:00+00:00,107.42,107.54,107.4,107.46,12220,1312893.7999999998,
GMKN,TQBR,1m,2024-09-02 10:49:00+00:00,107.48,107.5,107.34,107.44,15830,1700407.2000000002,
GMKN,TQBR,1m,2024-09-02 10:50:00+00:00,107.46,107.46,107.38,107.44,21000,2256325.1999999993,
GMKN,TQBR,1m,2024-09-02 10:51:00+00:00,107.4,107.44,107.28,107.38,14490,1555796.8000000003,
GMKN,TQBR,1m,2024-09-02 10:52:00+00:00,107.36,107.46,107.28,107.38,31390,3370847.8,
GMKN,TQBR,1m,2024-09-02 10:53:00+00:00,107.36,107.36,107.14,107.3,42740,4585134.200000001,
GMKN,TQBR,1m,2024-09-02 10:54:00+00:00,107.3,107.48,107.3,107.48,32760,3517688.4,
GMKN,TQBR,1m,2024-09-02 10:55:00+00:00,107.48,107.62,107.46,107.46,34160,3673973.6,
GMKN,TQBR,1m,2024-09-02 10:56:00+00:00,107.52,107.56,107.34,107.4,9740,1046219.6,
GMKN,TQBR,1m,2024-09-02 10:57:00+00:00,107.4,107.4,107.2,107.24,19130,2052941.7999999998,
GMKN,TQBR,1m,2024-09-02 10:58:00+00:00,107.26,107.3,107.06,107.08,21830,2339206.8000000003,
GMKN,TQBR,1m,2024-09-02 10:59:00+00:00,107.14,107.14,107.04,107.06,14350,1536475.7999999998,
GMKN,TQBR,1m,2024-09-02 11:00:00+00:00,107.06,107.18,107.04,107.18,23090,2472124.2,
GMKN,TQBR,1m,2024-09-02 11:01:00+00:00,107.2,107.3,107.14,107.22,32810,3518284.8000000003,
GMKN,TQBR,1m,2024-09-02 11:02:00+00:00,107.2,107.3,107.2,107.3,10310,1105804.4000000006,
GMKN,TQBR,1m,2024-09-02 11:03:00+00:00,107.3,107.3,107.1,107.22,11080,1187828.3999999994,
GMKN,TQBR,1m,2024-09-02 11:04:00+00:00,107.22,107.22,107.18,107.22,6340,679770.2,
GMKN,TQBR,1m,2024-09-02 11:05:00+00:00,107.22,107.24,107.12,107.18,5760,617493.6,
GMKN,TQBR,1m,2024-09-02 11:06:00+00:00,107.18,107.22,107.08,107.18,9080,972690.8,
GMKN,TQBR,1m,2024-09-02 11:07:00+00:00,107.08,107.16,107.02,107.1,10530,1127499.8,
GMKN,TQBR,1m,2024-09-02 11:08:00+00:00,107.18,107.22,107.06,107.2,4730,506840.2,
GMKN,TQBR,1m,2024-09-02 11:09:00+00:00,107.12,107.2,107.12,107.18,19590,2099652.0,
GMKN,TQBR,1m,2024-09-02 11:10:00+00:00,107.2,107.2,107.18,107.2,10560,1131975.8,
GMKN,TQBR,1m,2024-09-02 11:11:00+00:00,107.2,107.2,107.18,107.2,11000,1178994.8,
GMKN,TQBR,1m,2024-09-02 11:12:00+00:00,107.18,107.2,107.18,107.2,2120,227234.59999999998,
GMKN,TQBR,1m,2024-09-02 11:13:00+00:00,107.18,107.2,107.18,107.2,6020,645311.4,
GMKN,TQBR,1m,2024-09-02 11:14:00+00:00,107.2,107.2,107.18,107.2,5230,560586.6000000001,
GMKN,TQBR,1m,2024-09-02 11:15:00+00:00,107.2,107.2,107.18,107.2,5640,604578.6000000001,
GMKN,TQBR,1m,2024-09-02 11:16:00+00:00,107.2,107.28,107.12,107.2,56020,6006019.000000021,
GMKN,TQBR,1m,2024-09-02 11:17:00+00:00,107.2,107.24,107.1,107.18,22850,2448328.2000000016,
GMKN,TQBR,1m,2024-09-02 11:18:00+00:00,107.2,107.26,107.18,107.26,14690,1575153.7999999973,
GMKN,TQBR,1m,2024-09-02 11:19:00+00:00,107.24,107.24,107.04,107.04,36400,3899899.7999999993,
GMKN,TQBR,1m,2024-09-02 11:20:00+00:00,107.1,107.18,107.0,107.0,41970,4491861.6,
GMKN,TQBR,1m,2024-09-02 11:21:00+00:00,107.08,107.14,107.0,107.0,41100,4398530.200000001,
GMKN,TQBR,1m,2024-09-02 11:22:00+00:00,107.02,107.02,106.8,106.84,120060,12842606.399999999,
GMKN,TQBR,1m,2024-09-02 11:23:00+00:00,106.84,106.88,106.72,106.74,46720,4989100.600000008,
GMKN,TQBR,1m,2024-09-02 11:24:00+00:00,106.76,106.76,106.36,106.4,89170,9502258.199999997,
GMKN,TQBR,1m,2024-09-02 11:25:00+00:00,106.36,106.54,106.36,106.52,19010,2023190.9999999988,
GMKN,TQBR,1m,2024-09-02 11:26:00+00:00,106.52,106.52,106.16,106.24,71200,7567483.000000003,
GMKN,TQBR,1m,2024-09-02 11:27:00+00:00,106.22,106.3,106.06,106.1,91020,9658985.800000003,
GMKN,TQBR,1m,2024-09-02 11:28:00+00:00,106.1,106.1,106.06,106.08,45280,4803224.8,
GMKN,TQBR,1m,2024-09-02 11:29:00+00:00,106.08,106.1,105.98,106.02,66410,7040337.8,
GMKN,TQBR,1m,2024-09-02 11:30:00+00:00,106.06,106.1,105.98,106.08,19090,2024378.3999999997,
GMKN,TQBR,1m,2024-09-02 11:31:00+00:00,106.06,106.22,105.98,106.18,127040,13477561.199999949,
GMKN,TQBR,1m,2024-09-02 11:32:00+00:00,106.26,106.62,106.26,106.54,73950,7872918.40000003,
GMKN,TQBR,1m,2024-09-02 11:33:00+00:00,106.56,106.56,106.34,106.4,47900,5098691.4,
GMKN,TQBR,1m,2024-09-02 11:34:00+00:00,106.44,106.5,106.32,106.38,40070,4262152.399999999,
GMKN,TQBR,1m,2024-09-02 11:35:00+00:00,106.38,106.4,106.3,106.32,180150,19166060.199999988,
GMKN,TQBR,1m,2024-09-02 11:36:00+00:00,106.32,106.38,106.1,106.32,113270,12035537.600000035,
GMKN,TQBR,1m,2024-09-02 11:37:00+00:00,106.32,106.34,106.18,106.28,10740,1141378.4000000004,
GMKN,TQBR,1m,2024-09-02 11:38:00+00:00,106.28,106.32,106.18,106.32,16110,1711363.8,
GMKN,TQBR,1m,2024-09-02 11:39:00+00:00,106.32,106.32,106.08,106.14,20560,2182985.1999999993,
GMKN,TQBR,1m,2024-09-02 11:40:00+00:00,106.14,106.14,106.04,106.1,4280,454022.2,
GMKN,TQBR,1m,2024-09-02 11:41:00+00:00,106.1,106.14,106.02,106.04,11320,1200547.4000000039,
GMKN,TQBR,1m,2024-09-02 11:42:00+00:00,106.04,106.04,106.02,106.04,7120,754985.6000000015,
GMKN,TQBR,1m,2024-09-02 11:43:00+00:00,106.04,106.04,105.86,105.94,49810,5276851.600000034,
GMKN,TQBR,1m,2024-09-02 11:44:00+00:00,105.92,105.94,105.9,105.94,16620,1760606.399999995,
GMKN,TQBR,1m,2024-09-02 11:45:00+00:00,105.92,105.94,105.82,105.88,26090,2761538.8,
GMKN,TQBR,1m,2024-09-02 11:46:00+00:00,105.82,105.9,105.72,105.78,46340,4902155.0,
GMKN,TQBR,1m,2024-09-02 11:47:00+00:00,105.78,105.78,105.64,105.74,27590,2916697.6,
GMKN,TQBR,1m,2024-09-02 11:48:00+00:00,105.68,105.78,105.68,105.74,16320,1725739.4000000004,
GMKN,TQBR,1m,2024-09-02 11:49:00+00:00,105.74,105.94,105.7,105.94,28140,2977344.799999996,
GMKN,TQBR,1m,2024-09-02 11:50:00+00:00,105.94,106.14,105.88,106.12,67620,7168325.599999992,
GMKN,TQBR,1m,2024-09-02 11:51:00+00:00,106.12,106.4,106.1,106.24,69850,7425712.399999996,
GMKN,TQBR,1m,2024-09-02 11:52:00+00:00,106.32,106.34,106.22,106.34,6820,724955.6000000001,
