secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
LKOH,TQBR,1d,2023-01-30 00:00:00+00:00,3929.0,3954.0,3917.0,3947.5,321296,1264910914.0,
LKOH,TQBR,1d,2023-01-31 00:00:00+00:00,3947.0,3972.5,3925.5,3955.0,377660,1492309310.5,
LKOH,TQBR,1d,2023-02-01 00:00:00+00:00,3959.5,3989.0,3935.0,3955.5,354764,1405755240.5,
LKOH,TQBR,1d,2023-02-02 00:00:00+00:00,3955.5,3960.0,3900.5,3918.5,567894,2225428819.5,
LKOH,TQBR,1d,2023-02-03 00:00:00+00:00,3918.0,3920.0,3880.0,3907.5,551146,2148637468.5,
LKOH,TQBR,1d,2023-02-06 00:00:00+00:00,3908.0,3946.5,3902.0,3941.0,412519,1621779204.0,
LKOH,TQBR,1d,2023-02-07 00:00:00+00:00,3950.5,3977.0,3931.0,3968.0,390661,1545373167.5,
LKOH,TQBR,1d,2023-02-08 00:00:00+00:00,3979.0,3998.5,3903.0,3930.5,533759,2112386504.0,
LKOH,TQBR,1d,2023-02-09 00:00:00+00:00,3949.0,3960.0,3907.5,3914.0,295567,1163574598.0,
LKOH,TQBR,1d,2023-02-10 00:00:00+00:00,3915.0,3969.5,3903.5,3921.5,315593,1237710536.5,
