secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
LKOH,TQBR,1h,2024-06-24 09:00:00+00:00,7070.0,7070.0,7070.0,7070.0,1182,8356740.0,
LKOH,TQBR,1h,2024-06-24 10:00:00+00:00,7070.0,7121.0,7043.0,7110.0,128065,908678001.0,
LKOH,TQBR,1h,2024-06-24 11:00:00+00:00,7110.0,7111.5,7091.0,7091.5,118640,842482283.5,
LKOH,TQBR,1h,2024-06-24 12:00:00+00:00,7091.5,7095.0,7065.0,7076.0,126266,894561928.5,
LKOH,TQBR,1h,2024-06-24 13:00:00+00:00,7075.0,7099.0,7065.0,7093.0,58533,414232430.0,
LKOH,TQBR,1h,2024-06-24 14:00:00+00:00,7090.0,7099.0,7080.5,7092.5,28486,202069192.0,
LKOH,TQBR,1h,2024-06-24 15:00:00+00:00,7092.5,7092.5,7070.0,7084.0,37279,263822043.0,
LKOH,TQBR,1h,2024-06-24 16:00:00+00:00,7084.0,7125.0,7077.0,7125.0,70831,503173172.5,
LKOH,TQBR,1h,2024-06-24 17:00:00+00:00,7124.5,7125.0,7075.0,7081.5,50366,357612415.0,
LKOH,TQBR,1h,2024-06-24 18:00:00+00:00,7082.0,7098.0,7070.0,7092.5,39943,282774220.5,
LKOH,TQBR,1h,2024-06-24 19:00:00+00:00,7092.5,7092.5,7077.5,7082.0,9756,69133475.0,
LKOH,TQBR,1h,2024-06-24 20:00:00+00:00,7082.5,7082.5,7075.0,7080.0,5098,36082995.0,
LKOH,TQBR,1h,2024-06-24 21:00:00+00:00,7080.0,7080.5,7050.5,7052.5,14209,100362877.0,
LKOH,TQBR,1h,2024-06-24 22:00:00+00:00,7052.0,7068.0,7032.5,7065.5,11195,78917361.0,
LKOH,TQBR,1h,2024-06-24 23:00:00+00:00,7066.0,7067.0,7041.0,7051.5,14033,99002939.0,
LKOH,TQBR,1h,2024-06-25 09:00:00+00:00,7077.0,7077.0,7077.0,7077.0,1015,7183155.0,
