secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
LKOH,TQBR,1m,2024-01-15 09:59:00+00:00,6950.0,6950.0,6950.0,6950.0,2290,15915500.0,
LKOH,TQBR,1m,2024-01-15 10:00:00+00:00,6950.0,6959.5,6948.0,6957.0,5254,36529218.0,
LKOH,TQBR,1m,2024-01-15 10:01:00+00:00,6958.0,6964.5,6958.0,6961.5,1727,12025018.0,
LKOH,TQBR,1m,2024-01-15 10:02:00+00:00,6961.0,6964.5,6961.0,6964.0,822,5723834.0,
LKOH,TQBR,1m,2024-01-15 10:03:00+00:00,6963.5,6965.0,6963.0,6965.0,1202,8371212.5,
LKOH,TQBR,1m,2024-01-15 10:04:00+00:00,6964.5,6965.5,6963.0,6964.0,891,6205261.5,
LKOH,TQBR,1m,2024-01-15 10:05:00+00:00,6964.0,6964.5,6961.5,6961.5,878,6113720.5,
LKOH,TQBR,1m,2024-01-15 10:06:00+00:00,6963.0,6964.0,6960.0,6962.5,1390,9677159.5,
LKOH,TQBR,1m,2024-01-15 10:07:00+00:00,6961.0,6962.5,6960.0,6960.0,278,1935235.5,
LKOH,TQBR,1m,2024-01-15 10:08:00+00:00,6960.0,6962.0,6955.5,6957.0,1085,7550978.0,
LKOH,TQBR,1m,2024-01-15 10:09:00+00:00,6958.5,6959.5,6955.5,6959.5,705,4904686.5,
LKOH,TQBR,1m,2024-01-15 10:10:00+00:00,6959.0,6960.0,6955.0,6959.5,718,4995117.0,
LKOH,TQBR,1m,2024-01-15 10:11:00+00:00,6959.5,6960.0,6958.0,6958.0,753,5240631.0,
LKOH,TQBR,1m,2024-01-15 10:12:00+00:00,6958.5,6959.5,6957.0,6958.0,1630,11342314.5,
LKOH,TQBR,1m,2024-01-15 10:13:00+00:00,6958.0,6959.5,6954.0,6955.0,1843,12819111.0,
LKOH,TQBR,1m,2024-01-15 10:14:00+00:00,6954.5,6956.0,6953.0,6956.0,739,5139269.5,
LKOH,TQBR,1m,2024-01-15 10:15:00+00:00,6955.5,6959.0,6955.0,6959.0,609,4236577.0,
LKOH,TQBR,1m,2024-01-15 10:16:00+00:00,6958.0,6961.0,6955.5,6959.5,1312,9130661.0,
LKOH,TQBR,1m,2024-01-15 10:17:00+00:00,6959.5,6964.0,6959.0,6963.5,1233,8583228.0,
LKOH,TQBR,1m,2024-01-15 10:18:00+00:00,6963.5,6968.0,6963.0,6966.5,1597,11122328.5,
LKOH,TQBR,1m,2024-01-15 10:19:00+00:00,6965.0,6968.5,6963.0,6965.5,1328,9250744.0,
LKOH,TQBR,1m,2024-01-15 10:20:00+00:00,6964.0,6965.5,6959.0,6960.0,2006,13965552.5,
LKOH,TQBR,1m,2024-01-15 10:21:00+00:00,6961.0,6963.5,6958.5,6959.0,972,6765062.5,
LKOH,TQBR,1m,2024-01-15 10:22:00+00:00,6958.5,6959.5,6958.0,6958.0,2384,16588383.0,
LKOH,TQBR,1m,2024-01-15 10:23:00+00:00,6958.5,6958.5,6953.0,6954.5,2354,16377126.5,
LKOH,TQBR,1m,2024-01-15 10:24:00+00:00,6953.5,6956.0,6953.0,6954.5,870,6050565.0,
LKOH,TQBR,1m,2024-01-15 10:25:00+00:00,6954.5,6955.0,6954.0,6955.0,828,5758171.5,
LKOH,TQBR,1m,2024-01-15 10:26:00+00:00,6954.5,6955.0,6953.0,6954.0,2344,16299203.5,
LKOH,TQBR,1m,2024-01-15 10:27:00+00:00,6953.5,6954.0,6951.0,6952.5,1032,7175179.5,
LKOH,TQBR,1m,2024-01-15 10:28:00+00:00,6953.0,6953.5,6951.0,6953.0,539,3747377.0,
LKOH,TQBR,1m,2024-01-15 10:29:00+00:00,6953.0,6953.5,6952.5,6953.0,938,6521963.0,
LKOH,TQBR,1m,2024-01-15 10:30:00+00:00,6953.0,6953.5,6952.0,6953.5,408,2836847.5,
LKOH,TQBR,1m,2024-01-15 10:31:00+00:00,6953.5,6953.5,6952.5,6952.5,620,4310888.0,
LKOH,TQBR,1m,2024-01-15 10:32:00+00:00,6952.0,6953.0,6952.0,6952.5,245,1703289.5,
LKOH,TQBR,1m,2024-01-15 10:33:00+00:00,6952.0,6953.0,6951.5,6952.0,1392,9677228.0,
LKOH,TQBR,1m,2024-01-15 10:34:00+00:00,6952.0,6953.0,6949.5,6950.0,4783,33244634.0,
LKOH,TQBR,1m,2024-01-15 10:35:00+00:00,6949.5,6949.5,6931.5,6937.5,9305,64567332.5,
LKOH,TQBR,1m,2024-01-15 10:36:00+00:00,6938.0,6940.0,6933.0,6935.0,4024,27907982.0,
LKOH,TQBR,1m,2024-01-15 10:37:00+00:00,6934.5,6934.5,6925.0,6927.5,8198,56819202.5,
LKOH,TQBR,1m,2024-01-15 10:38:00+00:00,6927.0,6929.0,6922.0,6929.0,3772,26123055.0,
LKOH,TQBR,1m,2024-01-15 10:39:00+00:00,6929.0,6931.0,6928.0,6931.0,2140,14828726.0,
LKOH,TQBR,1m,2024-01-15 10:40:00+00:00,6930.5,6931.0,6928.0,6929.0,2107,14599497.0,
LKOH,TQBR,1m,2024-01-15 10:41:00+00:00,6929.0,6929.5,6927.5,6928.0,1049,7268048.5,
LKOH,TQBR,1m,2024-01-15 10:42:00+00:00,6928.0,6929.0,6928.0,6929.0,895,6201086.5,
LKOH,TQBR,1m,2024-01-15 10:43:00+00:00,6929.0,6931.0,6929.0,6931.0,2103,14574543.5,
LKOH,TQBR,1m,2024-01-15 10:44:00+00:00,6930.5,6932.5,6930.5,6932.5,1461,10127339.5,
LKOH,TQBR,1m,2024-01-15 10:45:00+00:00,6932.5,6938.5,6932.0,6938.5,2265,15705054.0,
LKOH,TQBR,1m,2024-01-15 10:46:00+00:00,6938.0,6941.5,6937.5,6940.0,1679,11651797.5,
LKOH,TQBR,1m,2024-01-15 10:47:00+00:00,6940.0,6941.0,6938.0,6940.0,645,4476318.5,
LKOH,TQBR,1m,2024-01-15 10:48:00+00:00,6940.0,6948.0,6940.0,6946.5,1620,11250048.0,
LKOH,TQBR,1m,2024-01-15 10:49:00+00:00,6948.0,6948.0,6941.5,6944.0,730,5069794.5,
LKOH,TQBR,1m,2024-01-15 10:50:00+00:00,6943.5,6944.0,6936.0,6940.0,847,5877776.5,
LKOH,TQBR,1m,2024-01-15 10:51:00+00:00,6940.0,6944.0,6940.0,6940.0,818,5678557.5,
LKOH,TQBR,1m,2024-01-15 10:52:00+00:00,6942.5,6942.5,6940.0,6941.0,369,2561074.5,
LKOH,TQBR,1m,2024-01-15 10:53:00+00:00,6940.5,6944.5,6940.5,6943.0,617,4283401.0,
LKOH,TQBR,1m,2024-01-15 10:54:00+00:00,6944.0,6944.0,6940.5,6941.5,371,2575298.0,
LKOH,TQBR,1m,2024-01-15 10:55:00+00:00,6941.5,6941.5,6932.5,6936.0,3111,21585695.5,
LKOH,TQBR,1m,2024-01-15 10:56:00+00:00,6937.0,6941.0,6935.0,6939.0,794,5510103.0,
LKOH,TQBR,1m,2024-01-15 10:57:00+00:00,6939.0,6939.5,6935.5,6937.5,651,4516234.5,
LKOH,TQBR,1m,2024-01-15 10:58:00+00:00,6937.5,6937.5,6935.0,6935.5,1380,9572707.0,
LKOH,TQBR,1m,2024-01-15 10:59:00+00:00,6936.0,6938.5,6935.0,6938.5,2048,14206869.5,
LKOH,TQBR,1m,2024-01-15 11:00:00+00:00,6938.0,6940.0,6937.5,6939.5,893,6196335.5,
LKOH,TQBR,1m,2024-01-15 11:01:00+00:00,6939.0,6941.5,6938.5,6941.0,550,3817292.5,
LKOH,TQBR,1m,2024-01-15 11:02:00+00:00,6940.5,6940.5,6936.0,6937.5,478,3317047.0,
LKOH,TQBR,1m,2024-01-15 11:03:00+00:00,6936.5,6937.5,6936.0,6937.5,175,1213910.5,
LKOH,TQBR,1m,2024-01-15 11:04:00+00:00,6937.5,6937.5,6935.0,6936.5,560,3884027.5,
LKOH,TQBR,1m,2024-01-15 11:05:00+00:00,6935.0,6938.0,6935.0,6938.0,223,1546796.0,
LKOH,TQBR,1m,2024-01-15 11:06:00+00:00,6938.0,6939.0,6938.0,6938.5,219,1519523.5,
LKOH,TQBR,1m,2024-01-15 11:07:00+00:00,6938.0,6938.0,6933.0,6936.5,1860,12898707.5,
LKOH,TQBR,1m,2024-01-15 11:08:00+00:00,6936.5,6940.0,6935.0,6936.0,1081,7499142.5,
LKOH,TQBR,1m,2024-01-15 11:09:00+00:00,6936.5,6938.0,6933.5,6933.5,810,5617694.5,
LKOH,TQBR,1m,2024-01-15 11:10:00+00:00,6934.0,6934.5,6930.0,6932.0,3523,24418905.5,
LKOH,TQBR,1m,2024-01-15 11:11:00+00:00,6931.0,6933.0,6930.0,6932.5,750,5198402.0,
LKOH,TQBR,1m,2024-01-15 11:12:00+00:00,6932.5,6932.5,6925.0,6925.0,3336,23113188.5,
LKOH,TQBR,1m,2024-01-15 11:13:00+00:00,6925.0,6927.5,6925.0,6925.5,1368,9473593.5,
LKOH,TQBR,1m,2024-01-15 11:14:00+00:00,6925.5,6930.0,6922.0,6927.5,3923,27167433.0,
LKOH,TQBR,1m,2024-01-15 11:15:00+00:00,6927.0,6927.0,6911.0,6914.5,10486,72537590.5,
LKOH,TQBR,1m,2024-01-15 11:16:00+00:00,6915.0,6920.0,6914.5,6919.5,4085,28256210.0,
LKOH,TQBR,1m,2024-01-15 11:17:00+00:00,6920.0,6920.0,6919.5,6920.0,805,5570480.5,
LKOH,TQBR,1m,2024-01-15 11:18:00+00:00,6919.5,6920.0,6917.0,6919.5,1378,9533945.0,
LKOH,TQBR,1m,2024-01-15 11:19:00+00:00,6920.0,6922.0,6919.0,6922.0,1544,10684412.5,
LKOH,TQBR,1m,2024-01-15 11:20:00+00:00,6922.0,6929.0,6921.5,6924.0,1236,8559543.5,
LKOH,TQBR,1m,2024-01-15 11:21:00+00:00,6924.0,6927.5,6924.0,6925.0,823,5699569.5,
LKOH,TQBR,1m,2024-01-15 11:22:00+00:00,6925.0,6928.0,6924.0,6925.0,723,5007181.0,
LKOH,TQBR,1m,2024-01-15 11:23:00+00:00,6924.5,6927.0,6922.5,6924.0,1164,8059781.0,
LKOH,TQBR,1m,2024-01-15 11:24:00+00:00,6922.5,6927.5,6920.0,6922.0,1641,11360338.0,
LKOH,TQBR,1m,2024-01-15 11:25:00+00:00,6920.5,6926.5,6920.5,6926.0,178,1232407.5,
LKOH,TQBR,1m,2024-01-15 11:26:00+00:00,6927.5,6928.5,6925.5,6927.5,300,2078085.5,
LKOH,TQBR,1m,2024-01-15 11:27:00+00:00,6927.0,6928.0,6927.0,6927.5,442,3061924.5,
LKOH,TQBR,1m,2024-01-15 11:28:00+00:00,6928.0,6928.5,6926.0,6927.5,379,2625417.0,
LKOH,TQBR,1m,2024-01-15 11:29:00+00:00,6927.5,6929.5,6927.0,6929.0,204,1413358.5,
LKOH,TQBR,1m,2024-01-15 11:30:00+00:00,6929.5,6931.5,6928.0,6931.5,1517,10512618.0,
LKOH,TQBR,1m,2024-01-15 11:31:00+00:00,6931.5,6934.5,6930.0,6933.5,832,5767901.0,
LKOH,TQBR,1m,2024-01-15 11:32:00+00:00,6933.0,6939.0,6933.0,6939.0,1551,10760145.0,
LKOH,TQBR,1m,2024-01-15 11:33:00+00:00,6938.5,6939.5,6938.0,6938.5,348,2414687.5,
LKOH,TQBR,1m,2024-01-15 11:34:00+00:00,6939.5,6939.5,6936.5,6936.5,408,2831009.5,
LKOH,TQBR,1m,2024-01-15 11:35:00+00:00,6936.5,6938.5,6933.0,6936.5,800,5549165.5,
LKOH,TQBR,1m,2024-01-15 11:36:00+00:00,6937.0,6938.5,6935.5,6935.5,55,381523.5,
LKOH,TQBR,1m,2024-01-15 11:37:00+00:00,6935.5,6936.0,6933.0,6933.5,359,2489327.0,
LKOH,TQBR,1m,2024-01-15 11:38:00+00:00,6934.0,6934.0,6933.0,6933.0,84,582415.0,
LKOH,TQBR,1m,2024-01-15 11:39:00+00:00,6934.0,6935.0,6933.0,6935.0,61,422995.0,
LKOH,TQBR,1m,2024-01-15 11:40:00+00:00,6935.0,6935.0,6933.5,6935.0,80,554767.0,
LKOH,TQBR,1m,2024-01-15 11:41:00+00:00,6935.0,6935.5,6930.5,6933.5,793,5498279.0,
LKOH,TQBR,1m,2024-01-15 11:42:00+00:00,6933.0,6935.0,6932.5,6935.0,189,1310576.5,
