secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
NVTK,TQBR,1d,2023-01-16 00:00:00+00:00,1044.0,1054.0,1042.2,1050.6,773479,811507940.2,
NVTK,TQBR,1d,2023-01-17 00:00:00+00:00,1051.0,1051.0,1038.4,1042.0,464916,485700353.4,
NVTK,TQBR,1d,2023-01-18 00:00:00+00:00,1042.0,1042.8,1021.2,1031.8,770530,797777781.0,
NVTK,TQBR,1d,2023-01-19 00:00:00+00:00,1028.8,1033.2,1010.4,1014.8,909021,926693335.8,
NVTK,TQBR,1d,2023-01-20 00:00:00+00:00,1018.0,1028.0,1008.0,1027.6,736908,749285691.2,
NVTK,TQBR,1d,2023-01-23 00:00:00+00:00,1029.8,1031.0,1018.8,1024.6,517023,529931024.0,
NVTK,TQBR,1d,2023-01-24 00:00:00+00:00,1027.8,1027.8,1012.4,1020.2,687390,700450078.0,
NVTK,TQBR,1d,2023-01-25 00:00:00+00:00,1019.4,1022.0,1009.0,1018.2,483340,490147802.0,
NVTK,TQBR,1d,2023-01-26 00:00:00+00:00,1018.4,1025.0,1011.2,1017.6,779067,794051962.2,
NVTK,TQBR,1d,2023-01-27 00:00:00+00:00,1020.0,1025.8,1012.8,1022.6,601615,615212854.6,
