secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
NVTK,TQBR,1m,2024-05-20 09:59:00+00:00,1222.4,1222.4,1222.4,1222.4,520,635648.0000000003,
NVTK,TQBR,1m,2024-05-20 10:00:00+00:00,1222.0,1222.4,1220.2,1222.0,8584,10483058.599999996,
NVTK,TQBR,1m,2024-05-20 10:01:00+00:00,1222.4,1222.4,1220.8,1221.4,1857,2267734.1999999993,
NVTK,TQBR,1m,2024-05-20 10:02:00+00:00,1221.4,1221.4,1221.2,1221.2,1942,2371664.1999999993,
NVTK,TQBR,1m,2024-05-20 10:03:00+00:00,1221.4,1221.4,1221.2,1221.2,2058,2513283.1999999993,
NVTK,TQBR,1m,2024-05-20 10:04:00+00:00,1221.4,1221.4,1221.0,1221.0,3211,3921083.4,
NVTK,TQBR,1m,2024-05-20 10:05:00+00:00,1220.8,1221.4,1220.0,1221.4,7630,9312074.600000005,
NVTK,TQBR,1m,2024-05-20 10:06:00+00:00,1221.4,1221.4,1220.8,1221.0,120,146531.6,
NVTK,TQBR,1m,2024-05-20 10:07:00+00:00,1221.0,1221.2,1220.2,1220.8,2590,3161596.000000001,
NVTK,TQBR,1m,2024-05-20 10:08:00+00:00,1221.2,1221.2,1220.6,1220.8,609,743439.4000000001,
NVTK,TQBR,1m,2024-05-20 10:09:00+00:00,1220.8,1220.8,1220.4,1220.8,1868,2280249.8,
NVTK,TQBR,1m,2024-05-20 10:10:00+00:00,1220.8,1220.8,1220.0,1220.0,6800,8296420.200000001,
NVTK,TQBR,1m,2024-05-20 10:11:00+00:00,1220.0,1220.0,1219.4,1219.4,3971,4842535.999999998,
NVTK,TQBR,1m,2024-05-20 10:12:00+00:00,1219.6,1219.6,1219.0,1219.2,3722,4537787.999999999,
NVTK,TQBR,1m,2024-05-20 10:13:00+00:00,1219.0,1219.4,1217.0,1217.6,29647,36102984.39999994,
NVTK,TQBR,1m,2024-05-20 10:14:00+00:00,1217.2,1219.0,1215.0,1218.4,45193,55013176.400000006,
NVTK,TQBR,1m,2024-05-20 10:15:00+00:00,1218.0,1218.4,1217.6,1218.2,10920,13299833.999999993,
NVTK,TQBR,1m,2024-05-20 10:16:00+00:00,1218.0,1218.2,1217.6,1217.8,15060,18338756.800000012,
NVTK,TQBR,1m,2024-05-20 10:17:00+00:00,1217.8,1218.2,1217.6,1218.2,9157,11151297.799999993,
NVTK,TQBR,1m,2024-05-20 10:18:00+00:00,1218.0,1218.4,1217.6,1218.2,5804,7068711.399999997,
NVTK,TQBR,1m,2024-05-20 10:19:00+00:00,1218.4,1218.4,1218.0,1218.0,1613,1964951.3999999994,
NVTK,TQBR,1m,2024-05-20 10:20:00+00:00,1218.0,1218.4,1217.6,1218.0,10822,13181311.2,
NVTK,TQBR,1m,2024-05-20 10:21:00+00:00,1218.2,1218.2,1217.6,1217.6,6503,7919139.799999999,
NVTK,TQBR,1m,2024-05-20 10:22:00+00:00,1217.6,1217.8,1216.2,1217.6,12437,15139635.399999982,
NVTK,TQBR,1m,2024-05-20 10:23:00+00:00,1217.4,1218.6,1217.2,1218.0,3563,4339113.6000000015,
NVTK,TQBR,1m,2024-05-20 10:24:00+00:00,1218.0,1218.6,1217.6,1218.0,1620,1973117.8000000005,
NVTK,TQBR,1m,2024-05-20 10:25:00+00:00,1217.8,1218.2,1217.4,1217.6,1183,1440613.5999999999,
NVTK,TQBR,1m,2024-05-20 10:26:00+00:00,1217.8,1219.0,1216.8,1217.4,10721,13055190.400000006,
NVTK,TQBR,1m,2024-05-20 10:27:00+00:00,1217.4,1217.8,1217.0,1217.6,235,286124.0,
NVTK,TQBR,1m,2024-05-20 10:28:00+00:00,1217.8,1218.0,1217.4,1217.6,1479,1801025.8000000005,
NVTK,TQBR,1m,2024-05-20 10:29:00+00:00,1217.8,1217.8,1217.2,1217.2,1301,1583930.199999999,
NVTK,TQBR,1m,2024-05-20 10:30:00+00:00,1217.4,1217.4,1215.6,1215.8,6769,8233073.800000002,
NVTK,TQBR,1m,2024-05-20 10:31:00+00:00,1215.8,1216.6,1215.2,1216.6,9367,11386400.20000001,
NVTK,TQBR,1m,2024-05-20 10:32:00+00:00,1216.6,1217.0,1216.4,1217.0,1120,1362585.2000000002,
NVTK,TQBR,1m,2024-05-20 10:33:00+00:00,1217.0,1217.0,1216.6,1216.6,2330,2835382.3999999994,
NVTK,TQBR,1m,2024-05-20 10:34:00+00:00,1216.8,1218.4,1216.8,1217.4,4370,5321672.800000001,
NVTK,TQBR,1m,2024-05-20 10:35:00+00:00,1217.6,1218.0,1217.4,1217.6,798,971690.4,
NVTK,TQBR,1m,2024-05-20 10:36:00+00:00,1217.6,1217.8,1217.2,1217.8,864,1051783.2000000002,
NVTK,TQBR,1m,2024-05-20 10:37:00+00:00,1217.8,1218.4,1217.4,1218.2,1334,1624954.3999999994,
NVTK,TQBR,1m,2024-05-20 10:38:00+00:00,1218.4,1218.6,1218.0,1218.0,654,796792.6,
NVTK,TQBR,1m,2024-05-20 10:39:00+00:00,1218.0,1218.6,1218.0,1218.4,2463,3000732.5999999996,
NVTK,TQBR,1m,2024-05-20 10:40:00+00:00,1218.4,1218.4,1217.2,1217.8,1142,1390685.8000000005,
NVTK,TQBR,1m,2024-05-20 10:41:00+00:00,1217.8,1218.0,1217.4,1218.0,918,1117766.9999999998,
NVTK,TQBR,1m,2024-05-20 10:42:00+00:00,1217.8,1218.4,1217.6,1218.4,1347,1640705.7999999996,
NVTK,TQBR,1m,2024-05-20 10:43:00+00:00,1218.2,1218.6,1218.0,1218.0,614,747989.1999999998,
NVTK,TQBR,1m,2024-05-20 10:44:00+00:00,1218.2,1218.4,1218.0,1218.2,1567,1908734.1999999993,
