secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
ROSN,TQBR,1d,2023-01-30 00:00:00+00:00,337.1,338.7,335.5,337.65,1340203,451601439.25,
ROSN,TQBR,1d,2023-01-31 00:00:00+00:00,337.1,340.9,337.1,340.75,2100646,714184789.9,
ROSN,TQBR,1d,2023-02-01 00:00:00+00:00,340.95,344.4,340.9,343.0,2824423,968086789.5,
ROSN,TQBR,1d,2023-02-02 00:00:00+00:00,344.3,344.95,341.45,342.1,1679683,576981035.35,
ROSN,TQBR,1d,2023-02-03 00:00:00+00:00,342.0,343.75,339.0,341.85,1675134,571851007.55,
ROSN,TQBR,1d,2023-02-06 00:00:00+00:00,341.5,347.95,341.1,347.1,2997448,1035628847.1,
ROSN,TQBR,1d,2023-02-07 00:00:00+00:00,348.0,358.15,346.75,355.25,5389845,1896253324.1,
ROSN,TQBR,1d,2023-02-08 00:00:00+00:00,355.6,359.35,348.05,349.85,4779204,1690269018.75,
ROSN,TQBR,1d,2023-02-09 00:00:00+00:00,359.25,359.3,347.05,350.2,2690042,946060722.65,
ROSN,TQBR,1d,2023-02-10 00:00:00+00:00,349.1,351.8,347.3,351.0,1620455,567540293.25,
