secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
ROSN,TQBR,1h,2024-05-20 09:00:00+00:00,594.0,594.0,594.0,594.0,6108,3628152.0,
ROSN,TQBR,1h,2024-05-20 10:00:00+00:00,594.2,596.35,592.6,592.8,631758,375487843.7000001,
ROSN,TQBR,1h,2024-05-20 11:00:00+00:00,592.8,595.85,592.8,595.5,415532,246999698.70000002,
ROSN,TQBR,1h,2024-05-20 12:00:00+00:00,595.6,595.7,592.2,592.65,383143,227470623.50000003,
ROSN,TQBR,1h,2024-05-20 13:00:00+00:00,592.65,594.45,592.15,593.35,335988,199352440.99999997,
ROSN,TQBR,1h,2024-05-20 14:00:00+00:00,593.35,594.55,593.15,593.75,223916,133018871.15000002,
ROSN,TQBR,1h,2024-05-20 15:00:00+00:00,593.75,594.45,593.05,594.15,216069,128343357.70000002,
ROSN,TQBR,1h,2024-05-20 16:00:00+00:00,594.15,595.1,592.05,593.95,416691,247532520.34999993,
ROSN,TQBR,1h,2024-05-20 17:00:00+00:00,593.95,594.45,593.1,593.15,158880,94357668.50000001,
ROSN,TQBR,1h,2024-05-20 18:00:00+00:00,593.1,593.3,591.65,591.65,252342,149479623.34999996,
ROSN,TQBR,1h,2024-05-20 19:00:00+00:00,591.6,591.85,580.1,589.45,1005015,590819269.3499999,
ROSN,TQBR,1h,2024-05-20 20:00:00+00:00,589.35,591.4,588.1,590.7,264351,155857618.75,
ROSN,TQBR,1h,2024-05-20 21:00:00+00:00,590.6,591.2,589.75,590.3,113951,67304335.14999999,
ROSN,TQBR,1h,2024-05-20 22:00:00+00:00,590.25,590.4,589.0,590.35,65269,38500772.29999998,
ROSN,TQBR,1h,2024-05-20 23:00:00+00:00,590.4,591.9,589.2,591.9,160634,94969368.35,
ROSN,TQBR,1h,2024-05-21 09:00:00+00:00,592.0,592.0,592.0,592.0,10373,6140816.0,
ROSN,TQBR,1h,2024-05-21 10:00:00+00:00,592.05,594.1,586.6,592.55,580825,343833286.04999995,
ROSN,TQBR,1h,2024-05-21 11:00:00+00:00,592.55,593.2,590.75,591.75,334376,198066817.85000008,
ROSN,TQBR,1h,2024-05-21 12:00:00+00:00,591.8,592.35,590.5,592.25,179539,106196944.49999997,
ROSN,TQBR,1h,2024-05-21 13:00:00+00:00,592.25,593.5,591.45,593.45,232547,137798997.64999998,
ROSN,TQBR,1h,2024-05-21 14:00:00+00:00,593.5,593.95,593.0,593.65,188069,111628301.85000002,
ROSN,TQBR,1h,2024-05-21 15:00:00+00:00,593.6,593.8,592.55,592.75,223998,132927266.95,
ROSN,TQBR,1h,2024-05-21 16:00:00+00:00,592.75,593.45,590.0,591.0,305484,180600764.0,
ROSN,TQBR,1h,2024-05-21 17:00:00+00:00,591.0,593.25,590.75,592.95,135165,80075499.75000006,
ROSN,TQBR,1h,2024-05-21 18:00:00+00:00,593.0,597.5,590.0,590.6,1435141,852288593.9000001,
ROSN,TQBR,1h,2024-05-21 19:00:00+00:00,590.35,593.05,590.2,592.9,202129,119700241.00000006,
ROSN,TQBR,1h,2024-05-21 20:00:00+00:00,592.9,593.4,591.25,593.15,141896,84088048.80000001,
ROSN,TQBR,1h,2024-05-21 21:00:00+00:00,593.15,593.4,592.55,592.75,99642,59093019.10000001,
ROSN,TQBR,1h,2024-05-21 22:00:00+00:00,592.9,594.4,592.9,594.15,156731,93078393.50000001,
ROSN,TQBR,1h,2024-05-21 23:00:00+00:00,594.0,594.9,593.95,594.6,87587,52061295.400000006,
ROSN,TQBR,1h,2024-05-22 09:00:00+00:00,593.9,593.9,593.9,593.9,1185,703771.5000000005,
ROSN,TQBR,1h,2024-05-22 10:00:00+00:00,593.9,594.95,591.75,593.65,430127,255302313.95000002,
ROSN,TQBR,1h,2024-05-22 11:00:00+00:00,593.7,594.2,592.8,594.0,180642,107225548.25,
ROSN,TQBR,1h,2024-05-22 12:00:00+00:00,594.0,595.35,593.3,594.9,296953,176554041.34999996,
ROSN,TQBR,1h,2024-05-22 13:00:00+00:00,594.75,596.0,594.5,595.05,297296,177009321.39999998,
ROSN,TQBR,1h,2024-05-22 14:00:00+00:00,595.15,596.25,594.75,595.65,241721,143957578.85,
ROSN,TQBR,1h,2024-05-22 15:00:00+00:00,595.65,596.4,595.3,596.15,337031,200870807.14999998,
ROSN,TQBR,1h,2024-05-22 16:00:00+00:00,596.1,597.0,595.7,596.55,619363,369557760.80000025,
ROSN,TQBR,1h,2024-05-22 17:00:00+00:00,596.65,596.95,595.75,595.9,655448,391024427.5500004,
ROSN,TQBR,1h,2024-05-22 18:00:00+00:00,595.95,596.05,594.7,594.7,162964,97061673.5000001,
ROSN,TQBR,1h,2024-05-22 19:00:00+00:00,595.0,595.75,594.2,594.75,77769,46256589.04999999,
ROSN,TQBR,1h,2024-05-22 20:00:00+00:00,594.85,594.9,593.7,593.7,87389,51907335.14999998,
ROSN,TQBR,1h,2024-05-22 21:00:00+00:00,593.75,594.5,593.55,594.3,71524,42492045.19999998,
ROSN,TQBR,1h,2024-05-22 22:00:00+00:00,594.3,596.85,594.3,596.65,120993,72083503.35000001,
ROSN,TQBR,1h,2024-05-22 23:00:00+00:00,596.65,597.25,596.0,596.85,168172,100370589.99999999,
ROSN,TQBR,1h,2024-05-23 09:00:00+00:00,595.7,595.7,595.7,595.7,20383,12142153.1,
ROSN,TQBR,1h,2024-05-23 10:00:00+00:00,595.7,596.65,590.05,591.35,871581,516368379.90000015,
ROSN,TQBR,1h,2024-05-23 11:00:00+00:00,591.35,593.75,590.0,593.65,406462,240496602.80000007,
