secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
ROSN,TQBR,1m,2024-05-27 09:59:00+00:00,585.0,585.0,585.0,585.0,4539,2655315.0,
ROSN,TQBR,1m,2024-05-27 10:00:00+00:00,585.05,586.3,584.0,584.55,21332,12474006.400000002,
ROSN,TQBR,1m,2024-05-27 10:01:00+00:00,584.55,584.7,584.0,584.1,4156,2428646.95,
ROSN,TQBR,1m,2024-05-27 10:02:00+00:00,584.1,584.15,584.0,584.15,6020,3515884.8999999994,
ROSN,TQBR,1m,2024-05-27 10:03:00+00:00,584.1,585.65,584.1,585.0,16875,9876135.049999995,
ROSN,TQBR,1m,2024-05-27 10:04:00+00:00,585.3,586.1,585.0,586.05,7480,4380967.250000001,
ROSN,TQBR,1m,2024-05-27 10:05:00+00:00,586.15,586.8,585.85,586.75,3246,1903345.7499999998,
ROSN,TQBR,1m,2024-05-27 10:06:00+00:00,586.7,587.45,586.6,587.4,6074,3565559.0000000005,
ROSN,TQBR,1m,2024-05-27 10:07:00+00:00,587.4,588.0,587.25,587.45,11723,6889212.45,
ROSN,TQBR,1m,2024-05-27 10:08:00+00:00,587.25,587.65,587.0,587.4,5912,3472856.8999999994,
ROSN,TQBR,1m,2024-05-27 10:09:00+00:00,587.45,587.45,586.8,586.8,2526,1482872.6999999995,
ROSN,TQBR,1m,2024-05-27 10:10:00+00:00,586.8,586.8,586.0,586.35,4219,2474256.0999999987,
ROSN,TQBR,1m,2024-05-27 10:11:00+00:00,586.15,586.3,586.0,586.15,2258,1323523.75,
ROSN,TQBR,1m,2024-05-27 10:12:00+00:00,586.15,586.15,585.65,585.65,1472,862445.1999999998,
ROSN,TQBR,1m,2024-05-27 10:13:00+00:00,585.6,585.7,585.25,585.25,6843,4006479.449999999,
ROSN,TQBR,1m,2024-05-27 10:14:00+00:00,585.3,585.3,585.0,585.1,3408,1993949.450000001,
ROSN,TQBR,1m,2024-05-27 10:15:00+00:00,585.05,585.8,585.0,585.5,4624,2706201.0500000007,
ROSN,TQBR,1m,2024-05-27 10:16:00+00:00,585.55,586.0,585.5,585.95,875,512578.9500000003,
ROSN,TQBR,1m,2024-05-27 10:17:00+00:00,585.95,586.0,585.9,586.0,1702,997272.1999999998,
ROSN,TQBR,1m,2024-05-27 10:18:00+00:00,586.0,586.05,585.75,585.75,3188,1867960.9999999995,
ROSN,TQBR,1m,2024-05-27 10:19:00+00:00,585.95,586.05,585.75,586.05,1962,1149655.3500000003,
ROSN,TQBR,1m,2024-05-27 10:20:00+00:00,585.95,587.0,585.95,586.9,18704,10971996.850000005,
ROSN,TQBR,1m,2024-05-27 10:21:00+00:00,586.9,587.3,586.9,587.0,5387,3162490.6499999976,
ROSN,TQBR,1m,2024-05-27 10:22:00+00:00,586.9,587.05,586.75,587.0,1499,879650.0000000001,
ROSN,TQBR,1m,2024-05-27 10:23:00+00:00,587.0,587.1,585.55,585.95,25199,14772439.849999854,
ROSN,TQBR,1m,2024-05-27 10:24:00+00:00,586.0,586.2,585.95,586.2,1740,1019675.1499999977,
ROSN,TQBR,1m,2024-05-27 10:25:00+00:00,586.2,586.35,585.5,585.7,13626,7982341.649999987,
ROSN,TQBR,1m,2024-05-27 10:26:00+00:00,585.9,585.95,585.5,585.6,6014,3522140.4499999997,
ROSN,TQBR,1m,2024-05-27 10:27:00+00:00,585.6,585.85,585.35,585.7,2850,1669016.1999999986,
ROSN,TQBR,1m,2024-05-27 10:28:00+00:00,585.7,585.7,585.05,585.1,6332,3705821.099999999,
