secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
SBER,TQBR,1d,2023-01-16 00:00:00+00:00,152.89,154.0,151.88,153.71,51753920,7920014161.8,
SBER,TQBR,1d,2023-01-17 00:00:00+00:00,154.0,154.31,150.01,150.45,84404770,12790444010.5,
SBER,TQBR,1d,2023-01-18 00:00:00+00:00,150.4,153.0,149.41,151.47,67511970,10235015056.8,
SBER,TQBR,1d,2023-01-19 00:00:00+00:00,151.2,152.85,148.56,149.34,66813960,10027708961.8,
SBER,TQBR,1d,2023-01-20 00:00:00+00:00,149.7,151.4,148.64,151.38,44254820,6633881321.1,
SBER,TQBR,1d,2023-01-23 00:00:00+00:00,151.9,154.1,151.01,153.5,55198870,8453400896.7,
SBER,TQBR,1d,2023-01-24 00:00:00+00:00,153.95,155.58,152.28,152.66,78734130,12126204920.9,
SBER,TQBR,1d,2023-01-25 00:00:00+00:00,152.45,153.6,151.5,152.81,43376700,6613609683.1,
SBER,TQBR,1d,2023-01-26 00:00:00+00:00,153.32,154.3,151.73,152.4,45513320,6966980467.7,
SBER,TQBR,1d,2023-01-27 00:00:00+00:00,152.4,153.48,151.69,153.2,34123690,5213964676.6,
