secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
SBER,TQBR,1h,2024-08-05 09:00:00+00:00,282.79,282.79,282.79,282.79,204190,57742890.09999975,
SBER,TQBR,1h,2024-08-05 10:00:00+00:00,282.79,283.46,279.12,281.01,15926160,4486101866.300003,
SBER,TQBR,1h,2024-08-05 11:00:00+00:00,281.01,281.81,277.71,278.0,9669000,2705838480.3,
SBER,TQBR,1h,2024-08-05 12:00:00+00:00,277.99,278.75,276.63,278.42,14209900,3945781145.799999,
SBER,TQBR,1h,2024-08-05 13:00:00+00:00,278.42,279.48,277.12,279.47,4830190,1343695799.6,
SBER,TQBR,1h,2024-08-05 14:00:00+00:00,279.47,279.5,277.67,277.68,4306930,1198957536.7,
SBER,TQBR,1h,2024-08-05 15:00:00+00:00,277.68,277.91,275.55,275.62,8443890,2337376132.5,
SBER,TQBR,1h,2024-08-05 16:00:00+00:00,275.62,277.97,275.51,275.85,9406510,2599540880.1000004,
SBER,TQBR,1h,2024-08-05 17:00:00+00:00,275.9,278.2,275.78,277.99,3113520,862845819.1,
SBER,TQBR,1h,2024-08-05 18:00:00+00:00,277.97,278.91,276.81,276.81,4011850,1115408061.3999996,
SBER,TQBR,1h,2024-08-05 19:00:00+00:00,277.1,278.24,277.09,277.67,1974920,548219323.8,
SBER,TQBR,1h,2024-08-05 20:00:00+00:00,277.65,278.17,277.53,277.55,826400,229585118.6,
SBER,TQBR,1h,2024-08-05 21:00:00+00:00,277.54,277.55,275.51,275.6,2473940,683651115.3000001,
SBER,TQBR,1h,2024-08-05 22:00:00+00:00,275.6,276.24,275.51,275.75,1375660,379426559.9999998,
SBER,TQBR,1h,2024-08-05 23:00:00+00:00,275.76,275.93,275.17,275.49,1368400,376960222.70000017,
SBER,TQBR,1h,2024-08-06 09:00:00+00:00,277.01,277.01,277.01,277.01,397340,110067153.39999995,
SBER,TQBR,1h,2024-08-06 10:00:00+00:00,277.02,280.98,277.02,280.84,14451420,4040826529.800001,
SBER,TQBR,1h,2024-08-06 11:00:00+00:00,280.84,281.16,278.85,278.89,5073390,1421510740.3999996,
SBER,TQBR,1h,2024-08-06 12:00:00+00:00,278.87,279.85,278.34,279.0,2703090,754024372.5,
SBER,TQBR,1h,2024-08-06 13:00:00+00:00,279.04,279.81,278.83,279.8,1405240,392583872.50000006,
SBER,TQBR,1h,2024-08-06 14:00:00+00:00,279.8,279.9,278.21,278.29,1875800,523514861.29999995,
SBER,TQBR,1h,2024-08-06 15:00:00+00:00,278.23,278.9,277.5,277.5,3777920,1049966671.6000004,
SBER,TQBR,1h,2024-08-06 16:00:00+00:00,277.5,278.01,276.35,277.42,3311480,917758319.7000002,
SBER,TQBR,1h,2024-08-06 17:00:00+00:00,277.42,279.4,277.36,278.58,3695170,1029279225.6,
SBER,TQBR,1h,2024-08-06 18:00:00+00:00,278.6,280.0,278.58,278.83,3457340,965925370.9999998,
SBER,TQBR,1h,2024-08-06 19:00:00+00:00,278.83,279.53,278.44,279.46,885960,247101565.99999997,
SBER,TQBR,1h,2024-08-06 20:00:00+00:00,279.46,279.7,279.06,279.7,613430,171383861.89999998,
SBER,TQBR,1h,2024-08-06 21:00:00+00:00,279.7,279.95,279.54,279.81,985730,275785655.9999999,
SBER,TQBR,1h,2024-08-06 22:00:00+00:00,279.8,279.89,279.07,279.28,405290,113298423.49999999,
SBER,TQBR,1h,2024-08-06 23:00:00+00:00,279.28,279.5,278.83,279.4,561550,156806980.4,
SBER,TQBR,1h,2024-08-07 09:00:00+00:00,280.0,280.0,280.0,280.0,111570,31239600.0,
SBER,TQBR,1h,2024-08-07 10:00:00+00:00,280.01,283.27,279.56,280.08,8818740,2477839032.5000014,
SBER,TQBR,1h,2024-08-07 11:00:00+00:00,280.09,280.14,277.21,278.25,6655730,1851723019.1999998,
SBER,TQBR,1h,2024-08-07 12:00:00+00:00,278.26,279.98,277.21,279.3,4547980,1265898242.5000002,
SBER,TQBR,1h,2024-08-07 13:00:00+00:00,279.33,280.0,278.03,278.23,3456930,965058255.4000002,
SBER,TQBR,1h,2024-08-07 14:00:00+00:00,278.26,280.0,278.05,279.98,1792270,500328932.29999983,
SBER,TQBR,1h,2024-08-07 15:00:00+00:00,279.99,281.0,279.5,280.93,4293930,1204079444.9,
SBER,TQBR,1h,2024-08-07 16:00:00+00:00,280.93,281.5,280.2,280.96,3000540,842879872.9,
SBER,TQBR,1h,2024-08-07 17:00:00+00:00,280.93,282.0,280.72,281.79,4456400,1254615589.9999983,
