secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
SBER,TQBR,1m,2023-03-27 09:59:00+00:00,204.01,204.01,204.01,204.01,172490,35189684.90000006,
SBER,TQBR,1m,2023-03-27 10:00:00+00:00,204.02,205.54,204.01,204.94,1888580,387068402.7000005,
SBER,TQBR,1m,2023-03-27 10:01:00+00:00,204.91,206.15,204.9,205.15,1982080,407510014.00000024,
SBER,TQBR,1m,2023-03-27 10:02:00+00:00,205.23,205.36,205.15,205.23,219340,45022969.4,
SBER,TQBR,1m,2023-03-27 10:03:00+00:00,205.25,205.27,204.91,205.0,721110,147879611.09999996,
SBER,TQBR,1m,2023-03-27 10:04:00+00:00,204.99,205.09,204.88,204.95,246170,50462961.899999976,
SBER,TQBR,1m,2023-03-27 10:05:00+00:00,204.96,205.1,204.94,205.01,291880,59840194.099999934,
SBER,TQBR,1m,2023-03-27 10:06:00+00:00,205.02,205.02,204.8,204.81,358970,73560360.99999996,
SBER,TQBR,1m,2023-03-27 10:07:00+00:00,204.81,205.0,204.8,205.0,375880,77011956.19999994,
SBER,TQBR,1m,2023-03-27 10:08:00+00:00,204.98,205.0,204.85,205.0,454300,93119015.39999989,
SBER,TQBR,1m,2023-03-27 10:09:00+00:00,205.0,205.0,204.97,204.99,239560,49108916.79999998,
SBER,TQBR,1m,2023-03-27 10:10:00+00:00,204.97,205.0,204.97,205.0,189480,38842741.599999994,
SBER,TQBR,1m,2023-03-27 10:11:00+00:00,204.99,205.0,204.97,205.0,392730,80508996.5999999,
SBER,TQBR,1m,2023-03-27 10:12:00+00:00,204.99,205.0,204.75,204.89,301500,61770953.49999999,
SBER,TQBR,1m,2023-03-27 10:13:00+00:00,204.86,204.94,204.79,204.89,46560,9539513.500000004,
SBER,TQBR,1m,2023-03-27 10:14:00+00:00,204.89,204.91,204.77,204.77,109170,22364384.69999998,
SBER,TQBR,1m,2023-03-27 10:15:00+00:00,204.79,204.86,204.76,204.77,123830,25361341.200000014,
SBER,TQBR,1m,2023-03-27 10:16:00+00:00,204.8,204.83,204.75,204.76,77930,15958069.500000002,
SBER,TQBR,1m,2023-03-27 10:17:00+00:00,204.77,204.77,204.67,204.68,127910,26185558.099999975,
SBER,TQBR,1m,2023-03-27 10:18:00+00:00,204.67,204.67,204.58,204.64,118250,24197791.399999995,
SBER,TQBR,1m,2023-03-27 10:19:00+00:00,204.65,204.93,204.65,204.93,172560,35332168.60000002,
SBER,TQBR,1m,2023-03-27 10:20:00+00:00,204.93,205.28,204.93,205.28,613720,125870709.2000004,
SBER,TQBR,1m,2023-03-27 10:21:00+00:00,205.28,205.3,205.02,205.21,481890,98918900.10000004,
SBER,TQBR,1m,2023-03-27 10:22:00+00:00,205.21,205.28,205.1,205.25,192300,39459191.79999999,
SBER,TQBR,1m,2023-03-27 10:23:00+00:00,205.24,205.3,205.22,205.3,137260,28175528.699999973,
SBER,TQBR,1m,2023-03-27 10:24:00+00:00,205.3,205.41,205.25,205.41,405920,83339397.00000003,
SBER,TQBR,1m,2023-03-27 10:25:00+00:00,205.39,205.5,205.33,205.5,252400,51852254.0,
SBER,TQBR,1m,2023-03-27 10:26:00+00:00,205.5,205.55,205.25,205.26,336540,69145498.29999992,
SBER,TQBR,1m,2023-03-27 10:27:00+00:00,205.26,205.32,205.15,205.28,270940,55603233.299999975,
SBER,TQBR,1m,2023-03-27 10:28:00+00:00,205.28,205.3,205.21,205.29,53130,10906296.300000003,
SBER,TQBR,1m,2023-03-27 10:29:00+00:00,205.3,205.3,205.06,205.09,231250,47460432.20000005,
SBER,TQBR,1m,2023-03-27 10:30:00+00:00,205.08,205.25,205.08,205.25,53580,10993190.2,
SBER,TQBR,1m,2023-03-27 10:31:00+00:00,205.25,205.29,205.1,205.13,109020,22373526.299999997,
SBER,TQBR,1m,2023-03-27 10:32:00+00:00,205.13,205.24,205.1,205.19,48170,9882749.100000003,
SBER,TQBR,1m,2023-03-27 10:33:00+00:00,205.18,205.18,205.05,205.06,102290,20978474.700000007,
SBER,TQBR,1m,2023-03-27 10:34:00+00:00,205.05,205.06,204.91,204.91,265750,54479232.39999999,
SBER,TQBR,1m,2023-03-27 10:35:00+00:00,204.95,205.38,204.87,205.14,288670,59192560.50000004,
SBER,TQBR,1m,2023-03-27 10:36:00+00:00,205.21,205.29,205.05,205.2,82150,16856482.2,
SBER,TQBR,1m,2023-03-27 10:37:00+00:00,205.19,205.25,204.94,205.0,154940,31769943.80000001,
SBER,TQBR,1m,2023-03-27 10:38:00+00:00,205.0,205.0,204.96,204.96,43090,8832430.300000004,
SBER,TQBR,1m,2023-03-27 10:39:00+00:00,204.98,205.0,204.96,205.0,59410,12178580.900000002,
SBER,TQBR,1m,2023-03-27 10:40:00+00:00,205.0,205.23,205.0,205.21,183980,37727311.70000005,
SBER,TQBR,1m,2023-03-27 10:41:00+00:00,205.21,205.21,205.14,205.17,56430,11578698.599999996,
SBER,TQBR,1m,2023-03-27 10:42:00+00:00,205.2,205.22,205.04,205.17,124180,25475769.6,
SBER,TQBR,1m,2023-03-27 10:43:00+00:00,205.16,205.2,205.16,205.2,22910,4700949.099999997,
SBER,TQBR,1m,2023-03-27 10:44:00+00:00,205.19,205.2,205.08,205.13,52380,10745517.200000001,
SBER,TQBR,1m,2023-03-27 10:45:00+00:00,205.13,205.17,205.08,205.17,16260,3335460.0999999996,
SBER,TQBR,1m,2023-03-27 10:46:00+00:00,205.16,205.19,205.15,205.16,24420,5010262.200000003,
SBER,TQBR,1m,2023-03-27 10:47:00+00:00,205.18,205.23,205.16,205.19,222940,45748069.79999998,
SBER,TQBR,1m,2023-03-27 10:48:00+00:00,205.17,205.18,205.07,205.13,62940,12910307.80000004,
SBER,TQBR,1m,2023-03-27 10:49:00+00:00,205.11,205.11,204.94,204.97,167610,34359144.20000001,
SBER,TQBR,1m,2023-03-27 10:50:00+00:00,204.96,205.12,204.96,205.03,58530,12000159.899999993,
SBER,TQBR,1m,2023-03-27 10:51:00+00:00,205.03,205.04,204.95,205.0,32450,6651876.8999999985,
SBER,TQBR,1m,2023-03-27 10:52:00+00:00,205.0,205.09,204.96,205.09,34230,7017287.000000022,
SBER,TQBR,1m,2023-03-27 10:53:00+00:00,205.07,205.1,205.0,205.0,29440,6037038.499999994,
SBER,TQBR,1m,2023-03-27 10:54:00+00:00,205.02,205.03,204.96,204.97,34760,7125399.700000001,
SBER,TQBR,1m,2023-03-27 10:55:00+00:00,204.96,205.1,204.96,205.1,52880,10841087.500000007,
SBER,TQBR,1m,2023-03-27 10:56:00+00:00,205.1,205.1,205.06,205.07,34280,7030586.80000002,
SBER,TQBR,1m,2023-03-27 10:57:00+00:00,205.08,205.09,204.98,205.09,32660,6696101.400000001,
SBER,TQBR,1m,2023-03-27 10:58:00+00:00,205.06,205.16,205.0,205.16,236540,48518403.10000001,
SBER,TQBR,1m,2023-03-27 10:59:00+00:00,205.15,205.18,205.15,205.18,28770,5902529.300000003,
SBER,TQBR,1m,2023-03-27 11:00:00+00:00,205.18,205.22,205.09,205.11,50660,10394552.500000002,
SBER,TQBR,1m,2023-03-27 11:01:00+00:00,205.11,205.19,205.07,205.19,13970,2865975.5000000005,
