secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
TATN,TQBR,1d,2023-01-30 00:00:00+00:00,334.2,335.0,330.8,332.7,1634507,542921379.6,
TATN,TQBR,1d,2023-01-31 00:00:00+00:00,332.4,332.8,326.7,328.8,2677243,881682539.0,
TATN,TQBR,1d,2023-02-01 00:00:00+00:00,328.6,330.2,327.2,328.5,1193472,392333821.7,
TATN,TQBR,1d,2023-02-02 00:00:00+00:00,328.2,329.1,326.1,326.6,1291824,422572298.4,
TATN,TQBR,1d,2023-02-03 00:00:00+00:00,326.4,326.5,321.7,323.9,2234970,723494460.7,
TATN,TQBR,1d,2023-02-06 00:00:00+00:00,324.0,325.9,323.1,325.5,1780677,577652481.9,
TATN,TQBR,1d,2023-02-07 00:00:00+00:00,325.5,326.6,321.9,323.8,2863932,927071370.3,
TATN,TQBR,1d,2023-02-08 00:00:00+00:00,323.7,324.2,322.1,324.2,2590055,836859849.2,
TATN,TQBR,1d,2023-02-09 00:00:00+00:00,325.5,328.7,323.5,324.4,2511631,817294077.2,
TATN,TQBR,1d,2023-02-10 00:00:00+00:00,324.2,324.8,322.5,323.5,1583638,512173024.9,
