secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
TATN,TQBR,1h,2023-01-30 09:00:00+00:00,334.2,334.2,334.2,334.2,8632,2884814.4,
TATN,TQBR,1h,2023-01-30 10:00:00+00:00,334.4,335.0,331.8,334.0,303011,101023489.79999998,
TATN,TQBR,1h,2023-01-30 11:00:00+00:00,334.0,334.2,332.2,333.0,166365,55399778.89999999,
TATN,TQBR,1h,2023-01-30 12:00:00+00:00,333.0,333.0,331.0,331.7,258226,85708402.89999998,
TATN,TQBR,1h,2023-01-30 13:00:00+00:00,331.6,331.9,331.0,331.4,99559,33005878.199999984,
TATN,TQBR,1h,2023-01-30 14:00:00+00:00,331.5,332.0,331.4,331.7,71253,23639392.9,
TATN,TQBR,1h,2023-01-30 15:00:00+00:00,331.9,332.0,331.7,331.9,48980,16257903.100000003,
TATN,TQBR,1h,2023-01-30 16:00:00+00:00,331.8,332.0,330.8,331.4,176929,58624593.39999993,
TATN,TQBR,1h,2023-01-30 17:00:00+00:00,331.5,332.0,331.2,331.3,155904,51693975.10000001,
TATN,TQBR,1h,2023-01-30 18:00:00+00:00,331.2,331.9,330.8,331.9,183696,60846003.39999999,
TATN,TQBR,1h,2023-01-30 19:00:00+00:00,332.3,332.4,331.7,332.3,41337,13724345.2,
TATN,TQBR,1h,2023-01-30 20:00:00+00:00,332.3,332.9,332.2,332.8,38358,12757548.1,
TATN,TQBR,1h,2023-01-30 21:00:00+00:00,332.8,332.9,332.5,332.8,22822,7592525.300000001,
TATN,TQBR,1h,2023-01-30 22:00:00+00:00,332.7,332.9,332.5,332.7,23523,7826894.1,
TATN,TQBR,1h,2023-01-30 23:00:00+00:00,332.8,332.9,332.0,332.7,35912,11935834.8,
TATN,TQBR,1h,2023-01-31 09:00:00+00:00,332.4,332.4,332.4,332.4,1313,436441.2000000004,
TATN,TQBR,1h,2023-01-31 10:00:00+00:00,332.3,332.8,331.0,331.8,203268,67442811.4,
TATN,TQBR,1h,2023-01-31 11:00:00+00:00,331.8,332.6,331.4,331.7,192561,63911742.999999985,
TATN,TQBR,1h,2023-01-31 12:00:00+00:00,331.7,331.9,330.4,330.5,281235,93112230.39999998,
TATN,TQBR,1h,2023-01-31 13:00:00+00:00,330.5,330.8,330.2,330.8,146199,48325612.59999999,
TATN,TQBR,1h,2023-01-31 14:00:00+00:00,330.8,330.8,328.3,329.5,490398,161605286.30000022,
TATN,TQBR,1h,2023-01-31 15:00:00+00:00,329.5,329.7,326.7,328.3,464019,152265295.59999996,
TATN,TQBR,1h,2023-01-31 16:00:00+00:00,328.3,328.5,326.7,327.8,377606,123655472.70000005,
TATN,TQBR,1h,2023-01-31 17:00:00+00:00,327.8,328.1,327.1,328.0,189456,62113890.8,
TATN,TQBR,1h,2023-01-31 18:00:00+00:00,328.0,329.0,327.8,329.0,150993,49590453.199999996,
TATN,TQBR,1h,2023-01-31 19:00:00+00:00,329.1,329.1,327.5,328.9,63464,20850328.599999998,
TATN,TQBR,1h,2023-01-31 20:00:00+00:00,328.9,328.9,328.6,328.9,26203,8616205.5,
TATN,TQBR,1h,2023-01-31 21:00:00+00:00,328.9,328.9,328.5,328.8,28788,9462549.699999997,
TATN,TQBR,1h,2023-01-31 22:00:00+00:00,328.8,328.8,328.4,328.6,37424,12299723.200000001,
TATN,TQBR,1h,2023-01-31 23:00:00+00:00,328.6,328.9,328.6,328.8,24316,7994494.799999999,
TATN,TQBR,1h,2023-02-01 09:00:00+00:00,328.6,328.6,328.6,328.6,4695,1542776.9999999995,
TATN,TQBR,1h,2023-02-01 10:00:00+00:00,328.6,329.5,327.2,328.8,230203,75599078.99999997,
TATN,TQBR,1h,2023-02-01 11:00:00+00:00,328.9,330.0,328.1,330.0,230690,75971719.19999997,
TATN,TQBR,1h,2023-02-01 12:00:00+00:00,330.0,330.2,328.4,328.9,183301,60365252.79999997,
TATN,TQBR,1h,2023-02-01 13:00:00+00:00,328.9,328.9,328.3,328.9,83989,27606230.399999995,
TATN,TQBR,1h,2023-02-01 14:00:00+00:00,328.9,328.9,328.5,328.6,58482,19225164.2,
TATN,TQBR,1h,2023-02-01 15:00:00+00:00,328.7,328.7,328.3,328.5,56749,18642871.899999995,
TATN,TQBR,1h,2023-02-01 16:00:00+00:00,328.5,328.5,328.0,328.3,71122,23346227.500000004,
TATN,TQBR,1h,2023-02-01 17:00:00+00:00,328.3,328.7,328.2,328.6,69563,22846218.5,
TATN,TQBR,1h,2023-02-01 18:00:00+00:00,328.6,328.9,328.1,328.9,64230,21105768.400000002,
TATN,TQBR,1h,2023-02-01 19:00:00+00:00,328.8,328.8,328.0,328.6,24208,7947432.3,
TATN,TQBR,1h,2023-02-01 20:00:00+00:00,328.5,328.6,328.0,328.3,21935,7200245.500000002,
TATN,TQBR,1h,2023-02-01 21:00:00+00:00,328.4,328.4,327.4,328.1,53240,17455152.1,
TATN,TQBR,1h,2023-02-01 22:00:00+00:00,328.2,328.5,327.9,328.2,20097,6595801.600000001,
TATN,TQBR,1h,2023-02-01 23:00:00+00:00,328.1,328.5,328.1,328.5,20968,6883881.3,
TATN,TQBR,1h,2023-02-02 09:00:00+00:00,328.2,328.2,328.2,328.2,657,215627.4000000001,
TATN,TQBR,1h,2023-02-02 10:00:00+00:00,328.0,329.1,327.4,327.7,164056,53847976.89999999,
TATN,TQBR,1h,2023-02-02 11:00:00+00:00,327.7,327.8,327.2,327.4,44937,14717849.8,
TATN,TQBR,1h,2023-02-02 12:00:00+00:00,327.4,327.6,326.7,327.4,105180,34406545.300000034,
TATN,TQBR,1h,2023-02-02 13:00:00+00:00,327.3,327.7,327.0,327.1,76471,25029308.099999994,
TATN,TQBR,1h,2023-02-02 14:00:00+00:00,327.1,327.7,326.3,327.2,210202,68763232.40000002,
TATN,TQBR,1h,2023-02-02 15:00:00+00:00,327.1,327.5,326.8,327.4,50765,16607944.199999997,
TATN,TQBR,1h,2023-02-02 16:00:00+00:00,327.4,327.6,326.7,326.9,152878,50011676.7,
TATN,TQBR,1h,2023-02-02 17:00:00+00:00,327.0,327.4,326.5,326.6,154062,50351540.3,
TATN,TQBR,1h,2023-02-02 18:00:00+00:00,326.6,327.2,326.1,327.2,104918,34262333.000000015,
