secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
TATN,TQBR,1m,2024-11-05 09:59:00+00:00,552.2,552.2,552.2,552.2,4629,2556133.8000000007,
TATN,TQBR,1m,2024-11-05 10:00:00+00:00,552.2,552.4,551.3,551.3,32993,18204846.899999958,
TATN,TQBR,1m,2024-11-05 10:01:00+00:00,551.3,553.0,551.2,552.6,18466,10193964.800000012,
TATN,TQBR,1m,2024-11-05 10:02:00+00:00,553.1,554.5,553.0,553.6,96171,53251003.500000015,
TATN,TQBR,1m,2024-11-05 10:03:00+00:00,553.6,553.6,552.2,552.5,24351,13467025.600000007,
TATN,TQBR,1m,2024-11-05 10:04:00+00:00,552.5,553.2,552.3,553.1,11205,6192756.000000002,
TATN,TQBR,1m,2024-11-05 10:05:00+00:00,553.1,553.9,553.0,553.5,7758,4295131.700000001,
TATN,TQBR,1m,2024-11-05 10:06:00+00:00,553.6,553.9,553.2,553.6,8700,4816261.1,
TATN,TQBR,1m,2024-11-05 10:07:00+00:00,553.6,553.6,553.4,553.5,6417,3551820.9,
TATN,TQBR,1m,2024-11-05 10:08:00+00:00,553.5,554.5,553.4,554.5,10160,5628046.2,
TATN,TQBR,1m,2024-11-05 10:09:00+00:00,554.5,554.9,554.5,554.8,4056,2249579.8999999966,
TATN,TQBR,1m,2024-11-05 10:10:00+00:00,554.9,555.0,554.7,554.8,7316,4059348.599999997,
TATN,TQBR,1m,2024-11-05 10:11:00+00:00,554.8,555.8,554.7,555.6,10880,6040056.799999999,
TATN,TQBR,1m,2024-11-05 10:12:00+00:00,555.6,555.7,555.2,555.2,8933,4962184.999999996,
TATN,TQBR,1m,2024-11-05 10:13:00+00:00,555.3,555.3,555.1,555.3,3270,1815563.1999999974,
TATN,TQBR,1m,2024-11-05 10:14:00+00:00,555.3,555.4,555.0,555.4,4630,2570442.1999999955,
TATN,TQBR,1m,2024-11-05 10:15:00+00:00,555.4,555.8,555.2,555.8,5315,2952353.3000000017,
TATN,TQBR,1m,2024-11-05 10:16:00+00:00,555.7,556.0,555.6,555.8,4622,2569009.600000003,
TATN,TQBR,1m,2024-11-05 10:17:00+00:00,555.8,556.0,555.6,555.7,9834,5465031.700000005,
TATN,TQBR,1m,2024-11-05 10:18:00+00:00,555.7,555.7,555.2,555.6,2613,1451362.6999999997,
TATN,TQBR,1m,2024-11-05 10:19:00+00:00,555.5,555.6,555.1,555.6,2341,1300167.5000000005,
TATN,TQBR,1m,2024-11-05 10:20:00+00:00,555.5,555.6,555.4,555.4,1861,1033724.0,
TATN,TQBR,1m,2024-11-05 10:21:00+00:00,555.5,555.6,555.4,555.6,1201,667196.2999999996,
