secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
YNDX,TQBR,1d,2023-01-30 00:00:00+00:00,1912.0,1938.6,1912.0,1934.0,188918,363793938.2,
YNDX,TQBR,1d,2023-01-31 00:00:00+00:00,1938.6,2047.4,1934.0,2047.2,1186594,2376965121.2,
YNDX,TQBR,1d,2023-02-01 00:00:00+00:00,2050.0,2128.0,2036.2,2088.0,1733264,3613246621.2,
YNDX,TQBR,1d,2023-02-02 00:00:00+00:00,2099.8,2102.6,2055.0,2075.0,420353,871855671.2,
YNDX,TQBR,1d,2023-02-03 00:00:00+00:00,2074.8,2074.8,2025.0,2055.8,538459,1101946127.8,
YNDX,TQBR,1d,2023-02-06 00:00:00+00:00,2070.0,2108.0,2070.0,2094.6,764671,1601598246.6,
YNDX,TQBR,1d,2023-02-07 00:00:00+00:00,2090.0,2104.2,2061.0,2076.6,442888,921453136.0,
YNDX,TQBR,1d,2023-02-08 00:00:00+00:00,2080.6,2080.6,2036.0,2060.2,421576,866800667.0,
YNDX,TQBR,1d,2023-02-09 00:00:00+00:00,2057.2,2058.6,2032.0,2040.4,246706,504611366.8,
YNDX,TQBR,1d,2023-02-10 00:00:00+00:00,2046.2,2065.2,2032.8,2060.8,322535,661372704.6,
