secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
YNDX,TQBR,1h,2024-01-08 09:00:00+00:00,2584.0,2584.0,2584.0,2584.0,1124,2904416.0,
YNDX,TQBR,1h,2024-01-08 10:00:00+00:00,2580.2,2605.0,2579.2,2604.2,159865,414777868.60000014,
YNDX,TQBR,1h,2024-01-08 11:00:00+00:00,2604.2,2608.0,2591.2,2593.2,61084,158889137.79999992,
YNDX,TQBR,1h,2024-01-08 12:00:00+00:00,2593.4,2599.8,2588.4,2593.6,46752,121282697.80000001,
YNDX,TQBR,1h,2024-01-08 13:00:00+00:00,2593.4,2599.6,2593.2,2599.6,38394,99768008.0,
YNDX,TQBR,1h,2024-01-08 14:00:00+00:00,2599.6,2618.8,2599.0,2612.8,101484,265036390.80000007,
YNDX,TQBR,1h,2024-01-08 15:00:00+00:00,2613.0,2615.0,2610.0,2611.0,29609,77342232.2,
YNDX,TQBR,1h,2024-01-08 16:00:00+00:00,2611.0,2615.2,2602.0,2615.2,63977,166855731.60000002,
YNDX,TQBR,1h,2024-01-08 17:00:00+00:00,2615.2,2615.6,2602.2,2602.6,42036,109542304.0,
YNDX,TQBR,1h,2024-01-08 18:00:00+00:00,2602.6,2606.4,2598.0,2605.0,56275,146458204.79999998,
YNDX,TQBR,1h,2024-01-08 19:00:00+00:00,2604.8,2608.0,2598.8,2603.6,17786,46291545.00000002,
YNDX,TQBR,1h,2024-01-08 20:00:00+00:00,2603.6,2606.8,2600.6,2602.2,11312,29448566.40000001,
YNDX,TQBR,1h,2024-01-08 21:00:00+00:00,2602.0,2604.6,2601.4,2604.0,12163,31656094.400000002,
YNDX,TQBR,1h,2024-01-08 22:00:00+00:00,2604.0,2606.4,2602.0,2606.0,10815,28171890.8,
YNDX,TQBR,1h,2024-01-08 23:00:00+00:00,2606.2,2612.2,2604.6,2611.0,20535,53575851.000000015,
YNDX,TQBR,1h,2024-01-09 09:00:00+00:00,2629.8,2629.8,2629.8,2629.8,7800,20512440.00000003,
YNDX,TQBR,1h,2024-01-09 10:00:00+00:00,2621.2,2628.8,2584.0,2601.0,165367,430671331.79999983,
YNDX,TQBR,1h,2024-01-09 11:00:00+00:00,2601.0,2601.0,2587.6,2593.8,75560,196043444.0,
YNDX,TQBR,1h,2024-01-09 12:00:00+00:00,2594.4,2604.2,2592.2,2595.6,45204,117452216.59999998,
YNDX,TQBR,1h,2024-01-09 13:00:00+00:00,2595.6,2602.0,2591.4,2595.0,38532,100041649.2,
YNDX,TQBR,1h,2024-01-09 14:00:00+00:00,2595.0,2597.8,2586.0,2591.2,36377,94253519.59999998,
YNDX,TQBR,1h,2024-01-09 15:00:00+00:00,2591.4,2592.2,2585.8,2591.8,35949,93084718.39999999,
YNDX,TQBR,1h,2024-01-09 16:00:00+00:00,2591.4,2594.6,2586.0,2589.4,31716,82171503.6,
YNDX,TQBR,1h,2024-01-09 17:00:00+00:00,2589.6,2597.4,2589.0,2595.4,23083,59842535.80000003,
YNDX,TQBR,1h,2024-01-09 18:00:00+00:00,2595.4,2611.6,2592.2,2611.0,83701,218008531.39999995,
