secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
YNDX,TQBR,1m,2024-03-25 09:59:00+00:00,3850.0,3850.0,3850.0,3850.0,5544,21344400.0,
YNDX,TQBR,1m,2024-03-25 10:00:00+00:00,3848.6,3876.8,3845.2,3864.2,26670,103093003.19999999,
YNDX,TQBR,1m,2024-03-25 10:01:00+00:00,3863.8,3870.0,3860.0,3870.0,9747,37671762.400000036,
YNDX,TQBR,1m,2024-03-25 10:02:00+00:00,3867.8,3870.0,3852.4,3860.0,6125,23640874.199999996,
YNDX,TQBR,1m,2024-03-25 10:03:00+00:00,3859.2,3866.6,3857.0,3862.0,6944,26815140.6,
YNDX,TQBR,1m,2024-03-25 10:04:00+00:00,3860.6,3870.0,3860.2,3869.6,9680,37406715.59999999,
YNDX,TQBR,1m,2024-03-25 10:05:00+00:00,3868.0,3883.0,3867.0,3878.8,14314,55468506.199999966,
YNDX,TQBR,1m,2024-03-25 10:06:00+00:00,3878.2,3878.6,3868.0,3870.2,6052,23440256.400000013,
YNDX,TQBR,1m,2024-03-25 10:07:00+00:00,3870.4,3871.0,3857.2,3859.6,9935,38415753.599999994,
YNDX,TQBR,1m,2024-03-25 10:08:00+00:00,3859.8,3868.0,3858.2,3862.4,9298,35918785.199999996,
YNDX,TQBR,1m,2024-03-25 10:09:00+00:00,3861.8,3862.2,3860.0,3861.6,1977,7633412.4,
YNDX,TQBR,1m,2024-03-25 10:10:00+00:00,3862.0,3866.6,3861.8,3865.0,1602,6189432.8,
YNDX,TQBR,1m,2024-03-25 10:11:00+00:00,3865.0,3865.0,3861.6,3861.8,909,3512169.600000001,
YNDX,TQBR,1m,2024-03-25 10:12:00+00:00,3862.0,3862.4,3857.0,3861.0,5733,22129308.4,
YNDX,TQBR,1m,2024-03-25 10:13:00+00:00,3859.8,3859.8,3854.0,3854.6,3017,11635796.199999996,
YNDX,TQBR,1m,2024-03-25 10:14:00+00:00,3854.0,3856.0,3850.2,3855.0,7083,27290219.000000007,
YNDX,TQBR,1m,2024-03-25 10:15:00+00:00,3854.8,3863.6,3853.2,3863.0,7563,29188545.800000004,
YNDX,TQBR,1m,2024-03-25 10:16:00+00:00,3863.0,3863.0,3854.2,3859.4,2335,9007471.000000002,
YNDX,TQBR,1m,2024-03-25 10:17:00+00:00,3859.0,3865.8,3858.6,3863.2,2171,8387388.400000002,
YNDX,TQBR,1m,2024-03-25 10:18:00+00:00,3863.8,3868.0,3862.8,3867.8,2076,8025299.999999999,
YNDX,TQBR,1m,2024-03-25 10:19:00+00:00,3868.0,3868.0,3859.4,3859.4,2651,10241242.400000008,
YNDX,TQBR,1m,2024-03-25 10:20:00+00:00,3859.4,3864.0,3859.4,3864.0,1390,5367672.0,
YNDX,TQBR,1m,2024-03-25 10:21:00+00:00,3864.0,3864.0,3861.4,3861.8,686,2649829.999999999,
YNDX,TQBR,1m,2024-03-25 10:22:00+00:00,3861.8,3865.0,3861.8,3863.8,2930,11321171.200000001,
YNDX,TQBR,1m,2024-03-25 10:23:00+00:00,3863.8,3864.0,3862.6,3864.0,2697,10420553.600000003,
YNDX,TQBR,1m,2024-03-25 10:24:00+00:00,3864.0,3868.4,3864.0,3868.4,3119,12059116.199999997,
YNDX,TQBR,1m,2024-03-25 10:25:00+00:00,3868.4,3873.0,3868.2,3872.2,4652,18005134.000000004,
YNDX,TQBR,1m,2024-03-25 10:26:00+00:00,3872.2,3875.0,3866.0,3866.0,3790,14677180.199999994,
YNDX,TQBR,1m,2024-03-25 10:27:00+00:00,3866.0,3866.2,3865.2,3865.4,221,854313.0,
YNDX,TQBR,1m,2024-03-25 10:28:00+00:00,3865.2,3865.4,3863.6,3864.6,905,3497487.2000000007,
YNDX,TQBR,1m,2024-03-25 10:29:00+00:00,3864.0,3869.4,3863.0,3868.8,2049,7920968.2,
YNDX,TQBR,1m,2024-03-25 10:30:00+00:00,3868.0,3871.8,3868.0,3870.4,898,3475376.9999999995,
YNDX,TQBR,1m,2024-03-25 10:31:00+00:00,3870.2,3871.0,3868.0,3868.0,833,3223928.6000000015,
YNDX,TQBR,1m,2024-03-25 10:32:00+00:00,3869.2,3870.4,3866.2,3867.6,1430,5532032.799999999,
YNDX,TQBR,1m,2024-03-25 10:33:00+00:00,3867.8,3872.0,3867.8,3871.2,1391,5383160.0,
YNDX,TQBR,1m,2024-03-25 10:34:00+00:00,3871.8,3877.0,3871.6,3876.4,2587,10023179.399999999,
YNDX,TQBR,1m,2024-03-25 10:35:00+00:00,3876.0,3878.0,3873.2,3876.6,4199,16272350.600000001,
YNDX,TQBR,1m,2024-03-25 10:36:00+00:00,3876.8,3876.8,3876.0,3876.4,583,2259990.599999999,
YNDX,TQBR,1m,2024-03-25 10:37:00+00:00,3876.6,3876.6,3876.4,3876.6,1364,5287456.999999997,
YNDX,TQBR,1m,2024-03-25 10:38:00+00:00,3876.6,3876.8,3876.4,3876.8,377,1461484.2,
YNDX,TQBR,1m,2024-03-25 10:39:00+00:00,3876.8,3877.0,3876.4,3877.0,1118,4334038.6,
YNDX,TQBR,1m,2024-03-25 10:40:00+00:00,3877.0,3877.0,3876.4,3876.6,142,550483.3999999999,
YNDX,TQBR,1m,2024-03-25 10:41:00+00:00,3876.6,3876.6,3866.2,3869.2,8240,31913549.999999993,
YNDX,TQBR,1m,2024-03-25 10:42:00+00:00,3869.2,3869.4,3865.8,3866.8,517,1999569.8,
YNDX,TQBR,1m,2024-03-25 10:43:00+00:00,3866.6,3869.0,3864.4,3867.0,3404,13160529.6,
YNDX,TQBR,1m,2024-03-25 10:44:00+00:00,3867.6,3867.6,3865.0,3865.0,661,2555294.8,
YNDX,TQBR,1m,2024-03-25 10:45:00+00:00,3865.0,3870.0,3865.0,3869.4,2555,9882254.999999998,
YNDX,TQBR,1m,2024-03-25 10:46:00+00:00,3869.4,3874.0,3869.2,3872.8,1806,6990680.399999999,
YNDX,TQBR,1m,2024-03-25 10:47:00+00:00,3872.6,3872.8,3872.2,3872.6,161,623472.2000000001,
YNDX,TQBR,1m,2024-03-25 10:48:00+00:00,3872.8,3875.0,3872.6,3872.8,2246,8700553.39999998,
YNDX,TQBR,1m,2024-03-25 10:49:00+00:00,3872.8,3875.4,3872.8,3872.8,869,3366728.4000000004,
