secid,timeframe,feature_set,label_set,signal_time,horizon_minutes,forward_return_pct,max_runup_pct,max_drawdown_pct,label_long,label_short,long_pnl_pct,short_pnl_pct,atr_14,atr_ratio_14_30,atr_ratio_5_14,bearish_engulfing,bollinger_band_pct,bullish_engulfing,candle_body_pct,ema_ratio_12_26,ema_ratio_20_60,ema_ratio_5_20,intraday_range_pct,lower_shadow_pct,macd_hist,macd_line,macd_signal,price_position_20,return_1,return_vs_imoex,return_vs_rts,rsi_14,sma_ratio_5_20,stoch_d_3,stoch_k_14,upper_shadow_pct,volatility_120,volatility_20,volatility_60,volume_zscore_20,horizon_30,horizon_60,horizon_120,news_count_60m,risk_alerts_60m,news_count_240m,risk_alerts_240m,news_count_1440m,risk_alerts_1440m,fund_earnings_yoy_value,fund_earnings_yoy_days_since,fund_dividend_yield_value,fund_dividend_yield_days_since,fund_net_debt_to_ebitda_value,fund_net_debt_to_ebitda_days_since,news_bullish_60m,news_bearish_60m,news_rule_score_avg_60m,news_event_count_60m,news_tfidf_60m_00,news_tfidf_60m_01,news_tfidf_60m_02,news_tfidf_60m_03,news_tfidf_60m_04,news_tfidf_60m_05,news_tfidf_60m_06,news_tfidf_60m_07,news_tfidf_60m_08,news_tfidf_60m_09,news_tfidf_60m_10,news_tfidf_60m_11,news_tfidf_60m_12,news_tfidf_60m_13,news_tfidf_60m_14,news_tfidf_60m_15,news_tfidf_60m_16,news_tfidf_60m_17,news_tfidf_60m_18,news_tfidf_60m_19,news_tfidf_60m_20,news_tfidf_60m_21,news_tfidf_60m_22,news_tfidf_60m_23,news_tfidf_60m_24,news_tfidf_60m_25,news_tfidf_60m_26,news_tfidf_60m_27,news_tfidf_60m_28,news_tfidf_60m_29,news_tfidf_60m_30,news_tfidf_60m_31,news_bullish_240m,news_bearish_240m,news_rule_score_avg_240m,news_event_count_240m,news_tfidf_240m_00,news_tfidf_240m_01,news_tfidf_240m_02,news_tfidf_240m_03,news_tfidf_240m_04,news_tfidf_240m_05,news_tfidf_240m_06,news_tfidf_240m_07,news_tfidf_240m_08,news_tfidf_240m_09,news_tfidf_240m_10,news_tfidf_240m_11,news_tfidf_240m_12,news_tfidf_240m_13,news_tfidf_240m_14,news_tfidf_240m_15,news_tfidf_240m_16,news_tfidf_240m_17,news_tfidf_240m_18,news_tfidf_240m_19,news_tfidf_240m_20,news_tfidf_240m_21,news_tfidf_240m_22,news_tfidf_240m_23,news_tfidf_240m_24,news_tfidf_240m_25,news_tfidf_240m_26,news_tfidf_240m_27,news_tfidf_240m_28,news_tfidf_240m_29,news_tfidf_240m_30,news_tfidf_240m_31,news_bullish_720m,news_bearish_720m,news_rule_score_avg_720m,news_event_count_720m,news_tfidf_720m_00,news_tfidf_720m_01,news_tfidf_720m_02,news_tfidf_720m_03,news_tfidf_720m_04,news_tfidf_720m_05,news_tfidf_720m_06,news_tfidf_720m_07,news_tfidf_720m_08,news_tfidf_720m_09,news_tfidf_720m_10,news_tfidf_720m_11,news_tfidf_720m_12,news_tfidf_720m_13,news_tfidf_720m_14,news_tfidf_720m_15,news_tfidf_720m_16,news_tfidf_720m_17,news_tfidf_720m_18,news_tfidf_720m_19,news_tfidf_720m_20,news_tfidf_720m_21,news_tfidf_720m_22,news_tfidf_720m_23,news_tfidf_720m_24,news_tfidf_720m_25,news_tfidf_720m_26,news_tfidf_720m_27,news_tfidf_720m_28,news_tfidf_720m_29,news_tfidf_720m_30,news_tfidf_720m_31
SBER,1m,tech_v3,intraday_v2,2025-11-15T09:59:00+0000,30,-0.000504303388918697,0.0015129101667562823,0.001042227003765473,False,False,-0.000504303388918697,0.000504303388918697,0.17357142857141689,1.418840015570181,0.921810699588487,0.0,0.9408662377185075,0.0,0.0,0.00034572468430993375,0.00016589664846899943,0.0008078336621399895,0.0,0.0,0.07391333209201292,0.10271531033549763,0.028801978243484717,1.0,0.0,0.0,0.0,76.85185185185433,0.0013046061856849533,0.9829059829059967,0.9871794871794984,0.0,0.000200711897742277,0.0003359401076517654,0.00023754843395981017,-0.6074650056909068,1.0,0.0,0.0,0,0,0,0,0,0,0.18,92.5826388888889,0.068,92.5826388888889,1.2,92.5826388888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBER,1m,tech_v3,intraday_v2,2025-11-15T09:59:00+0000,60,-0.0014792899408283947,0.0015129101667562823,0.0021516944593867214,False,False,-0.0014792899408283947,0.0014792899408283947,0.17357142857141689,1.418840015570181,0.921810699588487,0.0,0.9408662377185075,0.0,0.0,0.00034572468430993375,0.00016589664846899943,0.0008078336621399895,0.0,0.0,0.07391333209201292,0.10271531033549763,0.028801978243484717,1.0,0.0,0.0,0.0,76.85185185185433,0.0013046061856849533,0.9829059829059967,0.9871794871794984,0.0,0.000200711897742277,0.0003359401076517654,0.00023754843395981017,-0.6074650056909068,0.0,1.0,0.0,0,0,0,0,0,0,0.18,92.5826388888889,0.068,92.5826388888889,1.2,92.5826388888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBER,1m,tech_v3,intraday_v2,2025-11-15T09:59:00+0000,120,-0.001143087681549136,0.0015129101667562823,0.0021516944593867214,False,False,-0.001143087681549136,0.001143087681549136,0.17357142857141689,1.418840015570181,0.921810699588487,0.0,0.9408662377185075,0.0,0.0,0.00034572468430993375,0.00016589664846899943,0.0008078336621399895,0.0,0.0,0.07391333209201292,0.10271531033549763,0.028801978243484717,1.0,0.0,0.0,0.0,76.85185185185433,0.0013046061856849533,0.9829059829059967,0.9871794871794984,0.0,0.000200711897742277,0.0003359401076517654,0.00023754843395981017,-0.6074650056909068,0.0,0.0,1.0,0,0,0,0,0,0,0.18,92.5826388888889,0.068,92.5826388888889,1.2,92.5826388888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBER,1m,tech_v3,intraday_v2,2025-11-15T10:00:00+0000,30,-0.001813906617399945,0.0002015451797111262,0.0019146792072556036,False,False,-0.001813906617399945,0.001813906617399945,0.21499999999999123,1.4827586206896064,1.125581395348864,0.0,1.0774852456171047,0.0,0.0008068311705775873,0.00045317586077442407,0.0002812272659471482,0.0009988043213078335,0.002317769566677856,0.0008740671014589892,0.08468586082955856,0.13465930428043293,0.049973443450874365,1.0,0.0008741258741258306,0.0008741258741258306,0.0008741258741258306,80.76923076923363,0.001412141725842364,0.9395404231469863,0.8442622950819653,0.0006387413433738915,0.0002153691838989858,0.0003775611863187098,0.0002622325459572921,0.05109648504496091,1.0,0.0,0.0,0,0,0,0,0,0,0.18,92.58333333333333,0.068,92.58333333333333,1.2,92.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBER,1m,tech_v3,intraday_v2,2025-11-15T10:00:00+0000,60,-0.0023849512932481677,0.0002015451797111262,0.0030231776956667024,False,False,-0.0023849512932481677,0.0023849512932481677,0.21499999999999123,1.4827586206896064,1.125581395348864,0.0,1.0774852456171047,0.0,0.0008068311705775873,0.00045317586077442407,0.0002812272659471482,0.0009988043213078335,0.002317769566677856,0.0008740671014589892,0.08468586082955856,0.13465930428043293,0.049973443450874365,1.0,0.0008741258741258306,0.0008741258741258306,0.0008741258741258306,80.76923076923363,0.001412141725842364,0.9395404231469863,0.8442622950819653,0.0006387413433738915,0.0002153691838989858,0.0003775611863187098,0.0002622325459572921,0.05109648504496091,0.0,1.0,0.0,0,0,0,0,0,0,0.18,92.58333333333333,0.068,92.58333333333333,1.2,92.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBER,1m,tech_v3,intraday_v2,2025-11-15T10:00:00+0000,120,-0.002149815250251886,0.0002015451797111262,0.0030231776956667024,False,False,-0.002149815250251886,0.002149815250251886,0.21499999999999123,1.4827586206896064,1.125581395348864,0.0,1.0774852456171047,0.0,0.0008068311705775873,0.00045317586077442407,0.0002812272659471482,0.0009988043213078335,0.002317769566677856,0.0008740671014589892,0.08468586082955856,0.13465930428043293,0.049973443450874365,1.0,0.0008741258741258306,0.0008741258741258306,0.0008741258741258306,80.76923076923363,0.001412141725842364,0.9395404231469863,0.8442622950819653,0.0006387413433738915,0.0002153691838989858,0.0003775611863187098,0.0002622325459572921,0.05109648504496091,0.0,0.0,1.0,0,0,0,0,0,0,0.18,92.58333333333333,0.068,92.58333333333333,1.2,92.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBER,1m,tech_v3,intraday_v2,2025-11-15T10:01:00+0000,30,-0.0018811515334744274,3.3591991669155515e-05,0.001914743525143583,False,False,-0.0018811515334744274,0.0018811515334744274,0.22642857142856446,1.4929356357927477,1.1924290220820255,0.0,0.9821239601417856,0.0,0.00040326645831234516,0.0005294808326452571,0.0003791577752267905,0.0010741872889983295,0.0008733917833988071,0.00023523876734883617,0.08590472539927377,0.15735435019996658,0.07144962480069281,0.9890109890109986,-3.359086328513783e-05,-3.359086328513783e-05,-3.359086328513783e-05,79.20000000000339,0.0014607581132659586,0.8891691186773191,0.8360655737704972,0.00023523876734883617,0.0002154257704572414,0.000379587262255053,0.00026233725234684765,-0.5736647436916925,1.0,0.0,0.0,0,0,0,0,0,0,0.18,92.58402777777778,0.068,92.58402777777778,1.2,92.58402777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBER,1m,tech_v3,intraday_v2,2025-11-15T10:01:00+0000,60,-0.002317847425173831,3.3591991669155515e-05,0.002989687258557514,False,False,-0.002317847425173831,0.002317847425173831,0.22642857142856446,1.4929356357927477,1.1924290220820255,0.0,0.9821239601417856,0.0,0.00040326645831234516,0.0005294808326452571,0.0003791577752267905,0.0010741872889983295,0.0008733917833988071,0.00023523876734883617,0.08590472539927377,0.15735435019996658,0.07144962480069281,0.9890109890109986,-3.359086328513783e-05,-3.359086328513783e-05,-3.359086328513783e-05,79.20000000000339,0.0014607581132659586,0.8891691186773191,0.8360655737704972,0.00023523876734883617,0.0002154257704572414,0.000379587262255053,0.00026233725234684765,-0.5736647436916925,0.0,1.0,0.0,0,0,0,0,0,0,0.18,92.58402777777778,0.068,92.58402777777778,1.2,92.58402777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBER,1m,tech_v3,intraday_v2,2025-11-15T10:01:00+0000,120,-0.001981927508481894,3.3591991669155515e-05,0.002989687258557514,False,False,-0.001981927508481894,0.001981927508481894,0.22642857142856446,1.4929356357927477,1.1924290220820255,0.0,0.9821239601417856,0.0,0.00040326645831234516,0.0005294808326452571,0.0003791577752267905,0.0010741872889983295,0.0008733917833988071,0.00023523876734883617,0.08590472539927377,0.15735435019996658,0.07144962480069281,0.9890109890109986,-3.359086328513783e-05,-3.359086328513783e-05,-3.359086328513783e-05,79.20000000000339,0.0014607581132659586,0.8891691186773191,0.8360655737704972,0.00023523876734883617,0.0002154257704572414,0.000379587262255053,0.00026233725234684765,-0.5736647436916925,0.0,0.0,1.0,0,0,0,0,0,0,0.18,92.58402777777778,0.068,92.58402777777778,1.2,92.58402777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBER,1m,tech_v3,intraday_v2,2025-11-15T10:02:00+0000,30,-0.001042051833675089,0.00047060405391773286,0.0012437392853541448,False,False,-0.001042051833675089,0.001042051833675089,0.250714285714281,1.5225563909774333,1.411965811965824,1.0,0.7858468979474346,0.0,-0.0007054081289888463,0.0005295530790063729,0.00042163303801423524,0.0009253660122519047,0.001680728763992067,0.0009741350352704752,0.06875049308762265,0.15738774116022114,0.08863724807259848,0.7692307692307836,-0.0006718398333837028,-0.0006718398333837028,-0.0006718398333837028,70.71428571428632,0.001393292005734681,0.7841530054644844,0.6721311475409943,0.0,0.00022452274421254676,0.0004156056896372416,0.00027626494350103595,0.10190791429345686,1.0,0.0,0.0,0,0,0,0,0,0,0.18,92.58472222222223,0.068,92.58472222222223,1.2,92.58472222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
