epoch,lr-Adam,step,train_loss
,0.001,0,
,0.001,9,
,0.001,18,
2,,19,17.530771255493164
,0.001,27,
,0.001,36,
4,,39,0.007626257836818695
,0.001,27,
,0.001,36,
4,,39,0.01891973614692688
,0.001,45,
,0.001,54,
6,,59,0.03597318381071091
,0.001,45,
,0.001,54,
6,,59,0.024134580045938492
,0.001,63,
,0.001,72,
8,,79,0.02582508698105812
,0.001,63,
,0.001,72,
8,,79,15.444682121276855
,0.001,81,
,0.001,90,
,0.001,99,
11,,99,0.013463892042636871
,0.001,81,
,0.001,90,
,0.001,99,
11,,99,0.01869698241353035
,0.001,108,
,0.001,117,
13,,119,0.02238554134964943
,0.001,108,
,0.001,117,
13,,119,14.97769546508789
,0.001,126,
,0.001,126,
