epoch,lr-Adam,step,train_loss,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc
,0.001,0,,,,,,
0,,19,0.0961284339427948,,,,,
0,,39,0.0019931793212890625,,,,,
0,,59,0.002939864993095398,,,,,
0,,73,,0.023159747943282127,nan,0.0,0.0,nan
,0.001,74,,,,,,
1,,79,0.024159785360097885,,,,,
1,,99,0.009365905076265335,,,,,
1,,119,0.03659669682383537,,,,,
1,,139,0.01299673318862915,,,,,
1,,147,,0.018728630617260933,nan,0.0,0.0,nan
,0.001,148,,,,,,
2,,159,0.02115955948829651,,,,,
2,,179,0.01598641648888588,,,,,
2,,199,0.03484124690294266,,,,,
2,,219,0.022299479693174362,,,,,
2,,221,,0.018689734861254692,nan,0.0,0.0,nan
,0.001,222,,,,,,
3,,239,0.010577544569969177,,,,,
3,,259,0.027989905327558517,,,,,
3,,279,18.468599319458008,,,,,
3,,295,,0.011846956796944141,nan,0.0,0.0,nan
,0.001,296,,,,,,
4,,299,12.597644805908203,,,,,
4,,319,0.006413530558347702,,,,,
4,,339,0.0004397854208946228,,,,,
4,,359,0.05373562499880791,,,,,
4,,369,,0.02090427465736866,nan,0.0,0.0,nan
,0.001,370,,,,,,
5,,379,0.01028585433959961,,,,,
5,,399,0.010841388255357742,,,,,
5,,419,0.008513670414686203,,,,,
5,,439,17.19998550415039,,,,,
5,,443,,0.06313270330429077,nan,0.0,0.0,nan
,0.001,444,,,,,,
6,,459,0.009360816329717636,,,,,
6,,479,0.02140362188220024,,,,,
6,,499,0.024719037115573883,,,,,
6,,517,,0.016734234988689423,nan,0.0,0.0,nan
,0.001,518,,,,,,
7,,519,0.024801336228847504,,,,,
7,,539,0.0017065182328224182,,,,,
7,,559,0.004298977553844452,,,,,
7,,579,0.01411573588848114,,,,,
7,,591,,0.004581215791404247,nan,0.0,0.0,nan
,0.001,592,,,,,,
8,,599,0.005902208387851715,,,,,
8,,619,0.014252305030822754,,,,,
8,,639,0.03156796097755432,,,,,
8,,659,0.0011035352945327759,,,,,
8,,665,,0.004623161628842354,nan,0.0,0.0,nan
,0.001,666,,,,,,
9,,679,0.043390266597270966,,,,,
9,,699,0.037947483360767365,,,,,
9,,719,16.240015029907227,,,,,
9,,739,0.004106233827769756,,,,,
9,,739,,0.0035399501211941242,nan,0.0,0.0,nan
,0.001,740,,,,,,
10,,759,0.0002570822834968567,,,,,
10,,779,0.004446841776371002,,,,,
10,,799,0.009268831461668015,,,,,
10,,813,,0.010714855045080185,nan,0.0,0.0,nan
,0.001,814,,,,,,
11,,819,0.009884973987936974,,,,,
11,,839,0.03412126749753952,,,,,
11,,859,0.0006063506007194519,,,,,
11,,879,0.00711609423160553,,,,,
11,,887,,0.00017574509547557682,nan,0.0,0.0,nan
,0.001,888,,,,,,
12,,899,0.0012809783220291138,,,,,
12,,919,0.00939645990729332,,,,,
12,,939,0.007607364095747471,,,,,
12,,959,0.026718027889728546,,,,,
12,,961,,0.0003150192787870765,nan,0.0,0.0,nan
,0.001,962,,,,,,
13,,979,0.0034503377974033356,,,,,
13,,999,25.365520477294922,,,,,
13,,1019,0.004266493022441864,,,,,
13,,1035,,0.00519350403919816,nan,0.0,0.0,nan
,0.001,1036,,,,,,
14,,1039,0.010757982730865479,,,,,
14,,1059,0.007041972130537033,,,,,
14,,1079,0.0052650608122348785,,,,,
14,,1099,0.00042916834354400635,,,,,
14,,1109,,0.008598987944424152,nan,0.0,0.0,nan
